GEO_ID,B16009_001E,B16009_001M,B16009_002E,B16009_002M,B16009_003E,B16009_003M,B16009_004E,B16009_004M,B16009_005E,B16009_005M,B16009_006E,B16009_006M,B16009_007E,B16009_007M,B16009_008E,B16009_008M,B16009_009E,B16009_009M,B16009_010E,B16009_010M,B16009_011E,B16009_011M,B16009_012E,B16009_012M,B16009_013E,B16009_013M,B16009_014E,B16009_014M,B16009_015E,B16009_015M,B16009_016E,B16009_016M,B16009_017E,B16009_017M,B16009_018E,B16009_018M,B16009_019E,B16009_019M,B16009_020E,B16009_020M,B16009_021E,B16009_021M,B16009_022E,B16009_022M,B16009_023E,B16009_023M,B16009_024E,B16009_024M,B16009_025E,B16009_025M,B16009_026E,B16009_026M,B16009_027E,B16009_027M,NAME,B16009_001EA,B16009_001MA,B16009_002EA,B16009_002MA,B16009_003MA,B16009_003EA,B16009_004MA,B16009_004EA,B16009_005MA,B16009_005EA,B16009_006MA,B16009_006EA,B16009_007EA,B16009_007MA,B16009_008EA,B16009_008MA,B16009_009MA,B16009_009EA,B16009_010MA,B16009_010EA,B16009_011MA,B16009_011EA,B16009_012EA,B16009_012MA,B16009_013EA,B16009_013MA,B16009_014MA,B16009_014EA,B16009_015MA,B16009_015EA,B16009_016MA,B16009_016EA,B16009_017EA,B16009_017MA,B16009_018EA,B16009_018MA,B16009_019MA,B16009_019EA,B16009_020MA,B16009_020EA,B16009_021MA,B16009_021EA,B16009_022EA,B16009_022MA,B16009_023EA,B16009_023MA,B16009_024MA,B16009_024EA,B16009_025MA,B16009_025EA,B16009_026MA,B16009_026EA,B16009_027MA,B16009_027EA,state
0400000US06,34806185,5580,5697800,59216,1539853,26813,579479,18427,840838,20470,29603,4454,73129,5273,16804,3312,4157947,41266,1902268,24416,1634155,26577,169174,10694,395119,14071,57231,6805,29108385,59598,5067256,26631,3013441,26232,1510363,21666,174329,7714,332012,8574,37111,5255,24041129,41465,13842837,40348,6144179,38293,1229489,25417,2608340,21110,216284,12216,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4736271,2826,627865,17583,156993,8723,100893,7697,48327,5043,1652,789,2136,1118,3985,1874,470872,11856,347282,9633,95037,5783,9715,1922,8120,1637,10718,2711,4108406,18061,723041,8924,607679,9642,87378,5731,13497,1781,10071,1916,4416,1579,3385365,12037,2875178,15306,332657,9457,86965,5990,67801,4122,22764,3747,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3293440,1436,339473,13064,83619,5894,51514,5129,27558,2953,2159,1224,721,505,1667,1349,255854,9566,155255,6626,73338,5450,15972,2106,4773,1665,6516,2867,2953967,13393,510423,6283,415264,6646,48086,3637,31063,3130,11067,1564,4943,2276,2443544,9695,1936437,12074,222957,5819,203871,8974,59226,3474,21053,3406,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,835858,970,95366,7037,22934,3363,17500,2712,4256,1674,646,453,110,175,422,505,72432,5286,60644,4522,8005,1745,1900,786,1434,862,449,522,740492,7027,123030,3349,107372,3269,10723,1940,3491,1000,1047,553,397,336,617462,5363,541039,6289,36967,3077,21943,2772,13013,1760,4500,1336,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,559640,576,99999,7123,19890,2762,16963,2589,2785,901,57,94,85,103,0,197,80109,5621,66959,5233,7584,1642,2614,1021,1384,580,1568,618,459641,6946,49476,2784,40626,2899,5250,1178,1746,708,445,348,1409,650,410165,5496,341271,7123,30308,2832,19907,2796,6739,1533,11940,3164,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,17857549,5480,2939599,45490,701754,21703,445324,17003,204213,11349,42033,4612,6159,1650,4025,1651,2237845,30678,1456566,27417,581894,19628,148303,9663,32314,4792,18768,3313,14917950,44834,2184956,21269,1605251,18805,437925,12669,98614,6558,29761,3491,13405,3466,12732994,31112,9330532,31821,2457149,23358,657464,18256,213080,7830,74769,6540,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,8988856,4366,1643284,32649,466791,16005,368454,13377,78992,6851,8202,2000,5465,1498,5678,2510,1176493,21848,974215,20273,133909,9671,35443,5091,20711,3313,12215,2808,7345572,32958,1336931,15830,1171009,15352,107721,7283,26827,3948,22975,2560,8399,2107,6008641,22697,5266476,23669,388589,10464,169886,10921,138871,6950,44819,5197,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1268399,969,141593,8643,35583,3919,26509,3315,338,337,265,245,8288,2046,183,181,106010,6021,72101,4803,1041,413,1893,603,30614,3430,361,302,1126806,8663,175360,3896,145679,3869,3074,1049,1590,720,24858,2701,159,187,951446,6006,705304,9114,16994,2678,15305,2464,212779,8139,1064,575,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1453157,2153,220980,12743,59018,6615,45333,5333,12435,3170,703,797,390,292,157,144,161962,7728,136208,6760,19044,3423,3153,1266,2729,1116,828,472,1232177,12184,247545,6362,225661,5889,17725,2776,2474,1209,1401,637,284,214,984632,7687,894736,8081,61858,4954,14539,2801,9889,1663,3610,1168,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,11771600,3925,1663995,29072,437705,14823,296488,11237,114572,8246,14454,3314,5143,1504,7048,2478,1226290,20081,897226,16400,212260,9295,55870,4660,41732,4853,19202,3490,10107605,29618,1780152,15444,1379264,12165,272819,9398,79577,5586,34462,2917,14030,2942,8327453,20124,6513462,21749,961363,12852,539695,14656,242694,8373,70239,7301,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5925243,3377,876785,18531,235984,8680,198262,8398,26546,3161,6801,2245,3207,1121,1168,961,640801,12458,560380,11305,47409,4195,14077,2631,14588,2000,4347,1645,5048458,18567,909332,9066,831209,9227,44453,4003,22919,2643,7601,1809,3150,1197,4139126,13213,3832820,14238,158311,6940,92049,5855,41950,3428,13996,2554,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
