GEO_ID,C23002A_001E,C23002A_001M,C23002A_002E,C23002A_002M,C23002A_003E,C23002A_003M,C23002A_004E,C23002A_004M,C23002A_005E,C23002A_005M,C23002A_006E,C23002A_006M,C23002A_007E,C23002A_007M,C23002A_008E,C23002A_008M,C23002A_009E,C23002A_009M,C23002A_010E,C23002A_010M,C23002A_011E,C23002A_011M,C23002A_012E,C23002A_012M,C23002A_013E,C23002A_013M,C23002A_014E,C23002A_014M,C23002A_015E,C23002A_015M,C23002A_016E,C23002A_016M,C23002A_017E,C23002A_017M,C23002A_018E,C23002A_018M,C23002A_019E,C23002A_019M,C23002A_020E,C23002A_020M,C23002A_021E,C23002A_021M,C23002A_022E,C23002A_022M,C23002A_023E,C23002A_023M,C23002A_024E,C23002A_024M,C23002A_025E,C23002A_025M,C23002A_026E,C23002A_026M,C23002A_027E,C23002A_027M,NAME,C23002A_001EA,C23002A_001MA,C23002A_002EA,C23002A_002MA,C23002A_003EA,C23002A_003MA,C23002A_004MA,C23002A_004EA,C23002A_005EA,C23002A_005MA,C23002A_006EA,C23002A_006MA,C23002A_007EA,C23002A_007MA,C23002A_008EA,C23002A_008MA,C23002A_009MA,C23002A_009EA,C23002A_010EA,C23002A_010MA,C23002A_011EA,C23002A_011MA,C23002A_012EA,C23002A_012MA,C23002A_013MA,C23002A_013EA,C23002A_014EA,C23002A_014MA,C23002A_015MA,C23002A_015EA,C23002A_016EA,C23002A_016MA,C23002A_017EA,C23002A_017MA,C23002A_018MA,C23002A_018EA,C23002A_019EA,C23002A_019MA,C23002A_020MA,C23002A_020EA,C23002A_021MA,C23002A_021EA,C23002A_022EA,C23002A_022MA,C23002A_023EA,C23002A_023MA,C23002A_024MA,C23002A_024EA,C23002A_025EA,C23002A_025MA,C23002A_026MA,C23002A_026EA,C23002A_027EA,C23002A_027MA,state
0400000US06,18945726,42937,9420833,25252,7925113,24034,6276424,25845,93045,4609,6183379,25505,5501674,27211,681705,12671,1648689,20452,1495720,4468,342003,6128,313827,6147,28176,2296,1153717,6886,9524893,23182,7646128,21461,5130758,22534,9666,1718,5121092,22589,4570580,23659,550512,11516,2515370,24550,1878765,5002,260436,6468,238967,6472,21469,2197,1618329,7564,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3504290,11148,1742583,6432,1490336,6385,1237213,7629,22976,2376,1214237,7701,1125790,8318,88447,4602,253123,6923,252247,1217,64926,3198,60910,3082,4016,880,187321,3062,1761707,6611,1452099,6437,1056824,8746,2874,655,1053950,8704,979435,9328,74515,4979,395275,8556,309608,1299,51134,2482,47514,2360,3620,720,258474,2649,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2312159,8073,1112559,5632,907864,5496,754857,5975,6224,1059,748633,6021,683080,7131,65553,4384,153007,4600,204695,638,52923,2202,48155,2182,4768,947,151772,2285,1199600,4506,925568,4467,702683,5755,561,371,702122,5720,647729,6106,54393,3427,222885,6096,274032,919,43871,2505,41680,2389,2191,561,230161,2551,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,529740,3073,255657,2090,203398,2079,160317,2811,1925,735,158392,2988,146526,3156,11866,1764,43081,2478,52259,372,11572,1328,10414,1262,1158,356,40687,1304,274083,1775,209276,1798,148677,3334,38,46,148639,3342,138452,3349,10187,1788,60599,3065,64807,534,10566,1234,10137,1241,429,225,54241,1419,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224391,3314,110599,1899,99214,1849,85612,2650,2461,741,83151,2612,80017,2754,3134,837,13602,2081,11385,304,4841,642,4652,668,189,197,6544,547,113792,1858,100417,1792,86573,2307,349,330,86224,2355,82841,2359,3383,1142,13844,1776,13375,409,3668,881,3491,885,177,167,9707,964,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12356889,17717,6007488,11968,4601160,11618,3590730,14253,35205,2996,3555525,14035,3181870,17748,373655,11755,1010430,13386,1406328,2585,241290,6182,216678,6219,24612,2545,1165038,6540,6349401,11337,4636951,11207,3180235,17171,4729,1388,3175506,17401,2867233,17719,308273,10596,1456716,17787,1712450,2691,192421,6238,176632,6252,15789,1830,1520029,6659,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4797457,11154,2357473,7502,1978945,7287,1573333,10828,33579,2473,1539754,10766,1401648,12570,138106,5914,405612,10196,378528,1211,79527,3591,74469,3584,5058,792,299001,3492,2439984,6232,1956614,6095,1289696,12216,3421,1122,1286275,12008,1178331,11198,107944,5191,666918,11733,483370,1511,58203,3240,54516,3116,3687,915,425167,3506,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,304810,2340,168750,1477,141262,1481,116482,2515,23916,1957,92566,3118,86432,3189,6134,1179,24780,2316,27488,357,7788,1108,7195,1038,593,339,19700,1206,136060,1522,109043,1456,73393,2425,1915,531,71478,2485,66396,2533,5082,1216,35650,2423,27017,409,4840,763,4660,737,180,153,22177,955,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1121567,4618,556141,2726,460346,2675,362426,4830,1950,596,360476,4912,332317,5528,28159,3067,97920,4666,95795,701,18717,1644,17576,1600,1141,470,77078,1718,565426,3296,456344,3256,313391,6276,363,283,313028,6268,289335,6173,23693,2825,142953,5367,109082,774,12983,1746,12386,1707,597,299,96099,1851,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7557850,15841,3690830,8972,3087527,8962,2547664,12392,10779,1483,2536885,12468,2313813,12976,223072,7471,539863,9918,603303,1701,132194,4323,125440,4102,6754,1001,471109,4253,3867020,9494,3066358,9211,2261270,12973,2535,1105,2258735,12997,2087961,13147,170774,5551,805088,12692,800662,1924,113495,4405,107244,4365,6251,1097,687167,4427,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
