GEO_ID,C12002A_001E,C12002A_001M,C12002A_002E,C12002A_002M,C12002A_003E,C12002A_003M,C12002A_004E,C12002A_004M,C12002A_005E,C12002A_005M,C12002A_006E,C12002A_006M,NAME,C12002A_001MA,C12002A_001EA,C12002A_002MA,C12002A_002EA,C12002A_003EA,C12002A_003MA,C12002A_004EA,C12002A_004MA,C12002A_005MA,C12002A_005EA,C12002A_006MA,C12002A_006EA,state
0400000US06,19256618,43276,6535576,30819,9127334,46868,422900,12500,1062576,11615,2108232,24844,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3558855,10797,1049077,13049,1846360,18760,51966,3867,163330,5407,448122,11544,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2351412,7759,717045,11365,1198798,14636,24872,2664,155312,5181,255385,8095,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,536923,3032,150084,4013,275326,6617,8551,1648,36954,2925,66008,4426,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,225600,3349,130255,4520,75972,4402,2016,833,3792,883,13565,1696,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,12513885,17313,3409091,25959,6129659,37652,274427,10418,972535,14543,1728173,24019,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4868749,10510,1265724,16710,2661175,25228,86949,5211,302428,7626,552473,13396,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,306482,2281,81704,3515,168080,4617,4453,985,13143,1489,39102,3271,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1140852,4609,281961,7000,640364,11819,13440,1806,62675,3824,142412,5964,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,7677197,15556,2325712,19964,3971307,28761,99322,5527,485503,9281,795353,13649,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4481846,6869,1220833,14309,2349420,20905,52902,3940,282508,6311,576183,12512,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2296449,4080,619249,8280,1236933,13631,26601,2617,148866,3716,264800,7930,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1980505,4664,520465,8141,1068900,11169,28075,2558,121848,3771,241217,6899,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3140462,4108,801317,11168,1641663,17364,63837,3840,218326,5190,415319,10421,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2372770,5701,642542,9085,1227842,14061,50217,4322,162295,5512,289874,10156,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1066786,989,285448,6333,547831,8569,12201,1759,69729,3016,151577,5785,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2853197,9202,815629,12259,1515739,16196,57003,4235,180933,5438,283893,8046,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4484497,9152,1504502,14069,2144664,19064,73721,4354,287395,6247,474215,11259,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
