GEO_ID,C11002G_001E,C11002G_001M,C11002G_002E,C11002G_002M,C11002G_003E,C11002G_003M,NAME,C11002G_001MA,C11002G_001EA,C11002G_002MA,C11002G_002EA,C11002G_003EA,C11002G_003MA,state
0400000US06,1140327,31570,950940,28977,189387,10345,California,null,null,null,null,null,null,06
0400000US08,115055,9304,94313,9032,20742,3072,Colorado,null,null,null,null,null,null,08
0400000US09,59072,6920,50443,6932,8629,1687,Connecticut,null,null,null,null,null,null,09
0400000US10,13461,3504,11670,3528,1791,575,Delaware,null,null,null,null,null,null,10
0400000US11,11764,2597,7399,2220,4365,1183,District of Columbia,null,null,null,null,null,null,11
0400000US12,315352,16431,261328,16602,54024,4761,Florida,null,null,null,null,null,null,12
0400000US13,126974,11180,107962,11060,19012,3529,Georgia,null,null,null,null,null,null,13
0400000US15,234202,13045,206743,12688,27459,3135,Hawaii,null,null,null,null,null,null,15
0400000US16,27005,4091,23414,4028,3591,1165,Idaho,null,null,null,null,null,null,16
0400000US17,162428,11141,133812,10429,28616,3619,Illinois,null,null,null,null,null,null,17
0400000US18,71691,5975,58273,5699,13418,2616,Indiana,null,null,null,null,null,null,18
0400000US19,31708,4453,26291,4506,5417,1363,Iowa,null,null,null,null,null,null,19
0400000US20,53959,5474,44269,5257,9690,1687,Kansas,null,null,null,null,null,null,20
0400000US21,54196,5582,46710,5447,7486,1487,Kentucky,null,null,null,null,null,null,21
0400000US22,52144,6472,42178,5593,9966,1963,Louisiana,null,null,null,null,null,null,22
0400000US23,17529,3162,13138,2490,4391,1544,Maine,null,null,null,null,null,null,23
0400000US24,108003,7477,93443,7775,14560,2197,Maryland,null,null,null,null,null,null,24
0400000US25,130167,10934,105229,10957,24938,3733,Massachusetts,null,null,null,null,null,null,25
0400000US26,148654,9030,122198,8657,26456,3146,Michigan,null,null,null,null,null,null,26
0400000US27,69336,6081,55756,5624,13580,2963,Minnesota,null,null,null,null,null,null,27
0400000US28,18915,3644,16344,3423,2571,824,Mississippi,null,null,null,null,null,null,28
0400000US29,78089,7281,62648,6207,15441,2498,Missouri,null,null,null,null,null,null,29
0400000US30,18656,2813,16030,2708,2626,709,Montana,null,null,null,null,null,null,30
0400000US31,22755,3576,18978,3338,3777,1263,Nebraska,null,null,null,null,null,null,31
0400000US32,71661,7978,59691,7841,11970,2056,Nevada,null,null,null,null,null,null,32
0400000US33,14680,2854,11443,2722,3237,1157,New Hampshire,null,null,null,null,null,null,33
0400000US34,154456,10637,137190,10317,17266,2481,New Jersey,null,null,null,null,null,null,34
0400000US35,41519,5007,34278,4973,7241,1385,New Mexico,null,null,null,null,null,null,35
0400000US36,382010,15015,317487,13700,64523,5406,New York,null,null,null,null,null,null,36
0400000US37,126037,9336,106074,8717,19963,3049,North Carolina,null,null,null,null,null,null,37
0400000US38,5877,1546,4847,1522,1030,458,North Dakota,null,null,null,null,null,null,38
0400000US39,141835,10422,114551,9636,27284,3003,Ohio,null,null,null,null,null,null,39
0400000US40,218154,8983,180214,8624,37940,2834,Oklahoma,null,null,null,null,null,null,40
0400000US41,108287,10434,88250,9499,20037,2703,Oregon,null,null,null,null,null,null,41
0400000US42,146776,9732,120125,9802,26651,3423,Pennsylvania,null,null,null,null,null,null,42
0400000US44,14957,2663,12200,2550,2757,948,Rhode Island,null,null,null,null,null,null,44
0400000US45,47222,6054,39419,5665,7803,1871,South Carolina,null,null,null,null,null,null,45
0400000US46,9062,2190,8256,2158,806,285,South Dakota,null,null,null,null,null,null,46
0400000US47,70672,7541,56227,6931,14445,2699,Tennessee,null,null,null,null,null,null,47
0400000US48,428274,18944,357870,19344,70404,5263,Texas,null,null,null,null,null,null,48
0400000US49,39834,6501,35255,6392,4579,1333,Utah,null,null,null,null,null,null,49
0400000US50,6992,1321,5210,1324,1782,687,Vermont,null,null,null,null,null,null,50
0400000US51,160568,11119,136992,10814,23576,3356,Virginia,null,null,null,null,null,null,51
0400000US53,223996,10478,179729,10776,44267,4913,Washington,null,null,null,null,null,null,53
0400000US54,23611,3323,20069,3399,3542,850,West Virginia,null,null,null,null,null,null,54
0400000US55,60852,6736,48846,6265,12006,1896,Wisconsin,null,null,null,null,null,null,55
0400000US56,10238,2365,8450,2185,1788,858,Wyoming,null,null,null,null,null,null,56
0400000US72,438954,15662,384848,15884,54106,4093,Puerto Rico,null,null,null,null,null,null,72
0400000US01,48334,5129,40082,4902,8252,1471,Alabama,null,null,null,null,null,null,01
0400000US02,41560,5653,35455,5288,6105,1276,Alaska,null,null,null,null,null,null,02
0400000US04,121329,10515,101165,10713,20164,3065,Arizona,null,null,null,null,null,null,04
0400000US05,39419,4559,32828,4501,6591,1150,Arkansas,null,null,null,null,null,null,05
