GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001MA,C27003_001EA,C27003_002MA,C27003_002EA,C27003_003EA,C27003_003MA,C27003_004EA,C27003_004MA,C27003_005MA,C27003_005EA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008EA,C27003_008MA,C27003_009EA,C27003_009MA,C27003_010MA,C27003_010EA,C27003_011EA,C27003_011MA,C27003_012MA,C27003_012EA,C27003_013EA,C27003_013MA,C27003_014EA,C27003_014MA,C27003_015EA,C27003_015MA,C27003_016EA,C27003_016MA,C27003_017EA,C27003_017MA,C27003_018EA,C27003_018MA,C27003_019EA,C27003_019MA,C27003_020EA,C27003_020MA,C27003_021MA,C27003_021EA,state
0400000US06,37524274,5678,18510580,6787,4711947,3872,1924886,23126,2787061,23457,11816597,6723,1513856,21065,10302741,21921,1982036,3012,1872536,5698,109500,4996,19013694,5371,4511541,3767,1831869,20655,2679672,20449,11981784,4242,1891918,20761,10089866,21513,2520369,2794,2391911,4999,128458,4371,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,2528913,4620,626825,2688,193523,7576,433302,7697,1633437,3669,178755,6579,1454682,7329,268651,1391,256625,1889,12026,1564,2565853,3561,602183,2712,193027,7174,409156,7144,1636726,2764,205435,8186,1431291,8446,326944,1422,314055,1889,12889,1470,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,1715299,2409,405052,1503,129048,5391,276004,5623,1091233,2202,149654,6336,941579,6838,219014,1191,209393,1747,9621,1330,1819320,2365,386773,1500,124844,5228,261929,5151,1141926,1728,185892,6223,956034,6434,290621,1391,277090,2088,13531,1621,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,434398,1313,104302,816,40058,3115,64244,3086,268894,960,45473,3030,223421,3227,61202,569,59470,698,1732,493,468517,1018,100192,812,39623,2930,60569,2870,292323,787,59042,3889,233281,3930,76002,683,74376,905,1626,486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,290874,931,54766,360,28093,1895,26673,1933,207898,794,45394,2852,162504,2890,28210,316,26034,599,2176,519,330506,735,54416,271,27763,2164,26653,2198,234492,636,56635,3040,177857,2941,41598,482,38170,927,3428,771,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,9208249,7257,2032111,5212,842943,15756,1189168,14686,5633240,5919,762035,16553,4871205,17671,1542898,3018,1487516,5101,55382,4297,9802821,7129,1959032,5430,806993,17710,1152039,18062,5945373,4955,846174,19311,5099199,19474,1898416,3412,1830520,5763,67896,4748,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,4691533,8342,1273249,6100,511524,13363,761725,12207,2939296,6247,332049,10089,2607247,10990,478988,2652,464643,3391,14345,1827,5027878,8176,1218912,6320,485905,10847,733007,12286,3177981,6012,396108,10249,2781873,10977,630985,2925,608846,3589,22139,2984,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,659117,2704,155075,898,48724,3159,106351,3288,412707,2804,61132,3736,351575,4862,91335,939,85994,1357,5341,922,682591,1728,147490,907,47999,3363,99491,3290,420903,1332,64628,3687,356275,3866,114198,669,108231,1641,5967,1388,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,784512,3345,216859,2382,72109,4854,144750,4764,470784,2062,60598,4160,410186,3933,96869,875,94344,1075,2525,751,791170,3288,207067,2312,76926,5532,130141,5951,474175,2041,54897,4379,419278,4771,109928,1077,107336,1344,2592,789,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,6204342,5323,1560473,3036,632262,11659,928211,11455,3940161,4352,431404,8670,3508757,8511,703708,1879,674999,3116,28709,2543,6494029,5389,1498582,3071,611238,11054,887344,10927,4066344,4048,628156,9991,3438188,9501,929103,2947,890024,3897,39079,2767,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
