GEO_ID,C17010H_001E,C17010H_001M,C17010H_002E,C17010H_002M,C17010H_003E,C17010H_003M,C17010H_004E,C17010H_004M,C17010H_005E,C17010H_005M,C17010H_006E,C17010H_006M,C17010H_007E,C17010H_007M,C17010H_008E,C17010H_008M,C17010H_009E,C17010H_009M,C17010H_010E,C17010H_010M,C17010H_011E,C17010H_011M,C17010H_012E,C17010H_012M,C17010H_013E,C17010H_013M,C17010H_014E,C17010H_014M,C17010H_015E,C17010H_015M,C17010H_016E,C17010H_016M,C17010H_017E,C17010H_017M,NAME,C17010H_001MA,C17010H_001EA,C17010H_002MA,C17010H_002EA,C17010H_003EA,C17010H_003MA,C17010H_004EA,C17010H_004MA,C17010H_005EA,C17010H_005MA,C17010H_006MA,C17010H_006EA,C17010H_007MA,C17010H_007EA,C17010H_008EA,C17010H_008MA,C17010H_009EA,C17010H_009MA,C17010H_010EA,C17010H_010MA,C17010H_011MA,C17010H_011EA,C17010H_012MA,C17010H_012EA,C17010H_013MA,C17010H_013EA,C17010H_014EA,C17010H_014MA,C17010H_015EA,C17010H_015MA,C17010H_016EA,C17010H_016MA,C17010H_017MA,C17010H_017EA,state
0400000US06,3844181,18496,243698,7901,110780,5722,56309,4164,132918,6109,30298,2469,18774,2142,102620,5235,79553,4545,3600483,19324,2916773,17493,1069766,13577,683710,12765,220232,8093,102946,5558,463478,10342,222103,7773,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,950986,7936,52662,3914,22176,2423,12745,1680,30486,3005,6830,1333,4736,1064,23656,2709,19769,2621,898324,8670,744484,8999,296136,6494,153840,5331,52079,3417,29819,2776,101761,4655,59934,3889,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,664276,8061,24417,2728,9447,1622,4949,1320,14970,1966,2380,872,2039,786,12590,1660,9579,1538,639859,7624,522443,7424,204973,4832,117416,4967,39546,3291,18319,2652,77870,3655,40731,3024,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,154384,3314,7446,1038,3414,883,2138,816,4032,841,987,453,708,411,3045,729,2478,671,146938,3216,119923,3459,42802,2148,27015,2425,7710,1220,4570,1094,19305,1955,10645,1641,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,36807,1975,394,258,311,226,165,169,83,99,0,197,0,197,83,99,83,99,36413,1987,32261,2168,11199,1411,4152,989,1593,535,796,398,2559,802,1422,547,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2829660,17760,218796,7830,100601,5272,41824,3170,118195,5598,25866,2415,18984,2170,92329,5407,74006,4415,2610864,17792,2155016,17365,612367,10737,455848,10049,138953,5951,68484,4199,316895,8204,158328,6448,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1446778,11895,129233,6904,58431,3994,29681,3036,70802,5242,12139,1861,9231,1693,58663,4656,48524,4078,1317545,11718,1115498,12388,451776,9625,202047,7753,62965,4089,31949,2970,139082,5981,69711,4224,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,87463,3082,5964,1194,3764,1007,2465,895,2200,656,384,331,343,328,1816,581,1779,583,81499,3014,70134,2890,25707,2142,11365,1441,3866,911,1208,478,7499,1120,3351,827,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,355002,5712,35399,3073,16714,2129,10392,1575,18685,2018,2749,737,1967,601,15936,1965,14258,1851,319603,5981,271685,5599,107601,4568,47918,3622,15267,2326,9928,1982,32651,2914,17985,2055,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2119337,12093,129482,4939,51123,3089,26655,2178,78359,4327,15301,1991,10785,1597,63058,3968,53554,3645,1989855,12421,1664389,13063,643668,9518,325466,8384,104875,4699,48211,3259,220591,7146,112244,5298,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1397442,11555,122283,4064,45494,2726,27093,2217,76789,3913,15239,1843,11853,1644,61550,3659,54402,3584,1275159,11229,1049053,10960,405482,7972,226106,6465,73323,3641,41964,2878,152783,6004,84995,4688,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,725682,6341,52033,2789,17357,1448,7918,1149,34676,2493,6559,1336,5570,1370,28117,2049,24951,1918,673649,6787,566238,6394,213181,5029,107411,4711,35152,3041,22038,2180,72259,3118,44127,2564,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
