GEO_ID,B27001G_001E,B27001G_001M,B27001G_002E,B27001G_002M,B27001G_003E,B27001G_003M,B27001G_004E,B27001G_004M,B27001G_005E,B27001G_005M,B27001G_006E,B27001G_006M,B27001G_007E,B27001G_007M,B27001G_008E,B27001G_008M,B27001G_009E,B27001G_009M,B27001G_010E,B27001G_010M,B27001G_011E,B27001G_011M,B27001G_012E,B27001G_012M,B27001G_013E,B27001G_013M,B27001G_014E,B27001G_014M,B27001G_015E,B27001G_015M,B27001G_016E,B27001G_016M,B27001G_017E,B27001G_017M,B27001G_018E,B27001G_018M,B27001G_019E,B27001G_019M,B27001G_020E,B27001G_020M,B27001G_021E,B27001G_021M,B27001G_022E,B27001G_022M,B27001G_023E,B27001G_023M,B27001G_024E,B27001G_024M,B27001G_025E,B27001G_025M,B27001G_026E,B27001G_026M,B27001G_027E,B27001G_027M,B27001G_028E,B27001G_028M,NAME,B27001G_001EA,B27001G_001MA,B27001G_002MA,B27001G_002EA,B27001G_003MA,B27001G_003EA,B27001G_004EA,B27001G_004MA,B27001G_005EA,B27001G_005MA,B27001G_006EA,B27001G_006MA,B27001G_007MA,B27001G_007EA,B27001G_008MA,B27001G_008EA,B27001G_009EA,B27001G_009MA,B27001G_010EA,B27001G_010MA,B27001G_011EA,B27001G_011MA,B27001G_012EA,B27001G_012MA,B27001G_013MA,B27001G_013EA,B27001G_014MA,B27001G_014EA,B27001G_015EA,B27001G_015MA,B27001G_016EA,B27001G_016MA,B27001G_017EA,B27001G_017MA,B27001G_018MA,B27001G_018EA,B27001G_019MA,B27001G_019EA,B27001G_020EA,B27001G_020MA,B27001G_021EA,B27001G_021MA,B27001G_022EA,B27001G_022MA,B27001G_023EA,B27001G_023MA,B27001G_024MA,B27001G_024EA,B27001G_025MA,B27001G_025EA,B27001G_026EA,B27001G_026MA,B27001G_027EA,B27001G_027MA,B27001G_028EA,B27001G_028MA,state
0400000US26,250102,9974,49934,4146,48282,4114,1652,875,80553,4726,76766,4749,3787,1410,29038,3188,22308,2725,6730,1548,24942,2785,18438,2038,6504,1544,21288,2113,16979,1748,4309,1131,17993,1723,13717,1502,4276,1003,15092,1444,13037,1398,2055,532,7023,1118,6997,1122,26,48,4239,892,4185,882,54,76,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,134473,7271,30236,3148,28326,2806,1910,859,48691,3806,45418,3675,3273,1079,14600,1574,13188,1523,1412,478,15165,1787,12149,1706,3016,859,11257,1641,9267,1424,1990,802,6359,1018,5613,871,746,422,5283,978,4773,953,510,313,2119,592,2085,592,34,55,763,371,763,371,0,139,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,31808,3473,6869,1647,6796,1631,73,92,10212,2267,9421,2151,791,674,2471,796,1630,677,841,457,3382,1453,2181,1362,1201,519,2166,811,1265,488,901,558,2098,795,1636,736,462,309,2401,702,2209,641,192,155,1317,470,1317,470,0,198,892,426,892,426,0,198,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,139290,6842,28884,3684,27712,3628,1172,571,41698,3711,39672,3617,2026,769,18591,2183,13392,1885,5199,1236,13609,2314,9196,1749,4413,1199,9744,1593,6929,1312,2815,863,11123,1456,8742,1294,2381,719,8125,1314,7138,1174,987,502,4970,1133,4908,1100,62,102,2546,620,2546,620,0,177,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,25397,2638,3186,688,2675,693,511,333,7388,1335,6817,1297,571,427,3656,1108,2304,797,1352,721,2533,662,971,396,1562,568,2241,773,1438,629,803,462,2388,592,1606,490,782,377,3051,802,2484,746,567,354,612,248,612,248,0,157,342,200,342,200,0,157,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,37914,3675,8024,1232,7412,1203,612,324,13286,1840,12068,1725,1218,581,4299,1065,3449,1008,850,392,4545,1077,3140,861,1405,536,3026,777,1993,622,1033,506,2272,706,2003,693,269,179,1669,488,1278,388,391,271,602,389,521,351,81,132,191,123,191,123,0,149,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,112449,7305,21694,2658,19473,2597,2221,838,34200,3153,30462,3036,3738,1643,13107,1937,8343,1501,4764,1228,12616,1815,8774,1669,3842,1093,10044,1620,6972,1325,3072,974,8143,1445,5342,1123,2801,950,6165,1182,4903,1042,1262,550,4242,1337,4182,1347,60,100,2238,808,2238,808,0,200,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,23882,2859,4309,1162,4249,1145,60,96,8014,1599,7866,1593,148,143,2239,659,1371,503,868,522,3054,779,2572,794,482,377,2174,729,1482,545,692,488,2353,836,2050,777,303,188,897,368,873,354,24,42,591,300,591,300,0,181,251,155,251,155,0,181,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,220871,11496,38517,3679,37040,3730,1477,621,59672,5033,56169,5073,3503,1166,24930,2853,19030,2210,5900,1447,29167,2978,21062,2570,8105,1537,20558,2245,14716,1990,5842,1209,21583,2570,15858,1878,5725,1555,15249,1833,12254,1660,2995,844,7110,1154,6689,1122,421,329,4085,1002,4085,1002,0,192,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,64095,5437,9926,1913,9667,1888,259,216,18872,2877,17197,2722,1675,582,7295,1243,5375,1003,1920,761,7699,1729,6079,1519,1620,625,4892,1157,3594,870,1298,767,5693,1103,4795,994,898,390,4927,1087,4297,967,630,368,3371,937,3371,937,0,185,1420,448,1420,448,0,185,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
