GEO_ID,C27008_001E,C27008_001M,C27008_002E,C27008_002M,C27008_003E,C27008_003M,C27008_004E,C27008_004M,C27008_005E,C27008_005M,C27008_006E,C27008_006M,C27008_007E,C27008_007M,C27008_008E,C27008_008M,C27008_009E,C27008_009M,C27008_010E,C27008_010M,C27008_011E,C27008_011M,C27008_012E,C27008_012M,C27008_013E,C27008_013M,C27008_014E,C27008_014M,C27008_015E,C27008_015M,C27008_016E,C27008_016M,C27008_017E,C27008_017M,C27008_018E,C27008_018M,C27008_019E,C27008_019M,C27008_020E,C27008_020M,C27008_021E,C27008_021M,NAME,C27008_001MA,C27008_001EA,C27008_002MA,C27008_002EA,C27008_003EA,C27008_003MA,C27008_004EA,C27008_004MA,C27008_005MA,C27008_005EA,C27008_006MA,C27008_006EA,C27008_007MA,C27008_007EA,C27008_008EA,C27008_008MA,C27008_009EA,C27008_009MA,C27008_010MA,C27008_010EA,C27008_011MA,C27008_011EA,C27008_012MA,C27008_012EA,C27008_013EA,C27008_013MA,C27008_014EA,C27008_014MA,C27008_015EA,C27008_015MA,C27008_016MA,C27008_016EA,C27008_017MA,C27008_017EA,C27008_018EA,C27008_018MA,C27008_019EA,C27008_019MA,C27008_020EA,C27008_020MA,C27008_021MA,C27008_021EA,state
0400000US06,37524274,5678,18510580,6787,4711947,3872,76434,5687,4635513,7263,11816597,6723,137630,6293,11678967,9470,1982036,3012,118047,4453,1863989,5195,19013694,5371,4511541,3767,74805,6007,4436736,7245,11981784,4242,163926,6529,11817858,7731,2520369,2794,107292,4017,2413077,4574,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,2528913,4620,626825,2688,28825,3182,598000,4156,1633437,3669,46031,3454,1587406,4731,268651,1391,27995,1732,240656,2340,2565853,3561,602183,2712,25783,2733,576400,3826,1636726,2764,58165,3629,1578561,4159,326944,1422,26478,1690,300466,2277,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,1715299,2409,405052,1503,3426,898,401626,1801,1091233,2202,8933,1369,1082300,2467,219014,1191,10675,1271,208339,1890,1819320,2365,386773,1500,4844,1258,381929,2016,1141926,1728,10410,1478,1131516,2434,290621,1391,7319,1138,283302,1763,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,434398,1313,104302,816,2418,759,101884,1149,268894,960,7491,1548,261403,1800,61202,569,5107,880,56095,1117,468517,1018,100192,812,2524,852,97668,1146,292323,787,7822,1319,284501,1416,76002,683,4560,854,71442,908,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,290874,931,54766,360,1835,838,52931,948,207898,794,3806,958,204092,1365,28210,316,1427,460,26783,572,330506,735,54416,271,1430,509,52986,561,234492,636,3007,810,231485,1096,41598,482,1451,559,40147,626,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,9208249,7257,2032111,5212,55799,4050,1976312,6611,5633240,5919,135244,6380,5497996,9243,1542898,3018,138300,4852,1404598,5561,9802821,7129,1959032,5430,53492,5092,1905540,7197,5945373,4955,151288,6669,5794085,9152,1898416,3412,128063,4423,1770353,5594,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,4691533,8342,1273249,6100,51227,3840,1222022,6913,2939296,6247,93574,5379,2845722,7919,478988,2652,53777,3179,425211,4003,5027878,8176,1218912,6320,46750,4329,1172162,8100,3177981,6012,110241,5765,3067740,7864,630985,2925,51189,2879,579796,3783,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,659117,2704,155075,898,21501,2003,133574,2168,412707,2804,25573,2798,387134,3669,91335,939,9724,1010,81611,1284,682591,1728,147490,907,21477,2468,126013,2718,420903,1332,36984,2234,383919,2547,114198,669,10602,1267,103596,1402,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,784512,3345,216859,2382,4143,1379,212716,2934,470784,2062,10188,1729,460596,2848,96869,875,8387,1164,88482,1296,791170,3288,207067,2312,3295,1011,203772,2460,474175,2041,10083,1944,464092,2638,109928,1077,7249,1233,102679,1576,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,6204342,5323,1560473,3036,16298,2631,1544175,4154,3940161,4352,40421,3478,3899740,5383,703708,1879,26042,1786,677666,2773,6494029,5389,1498582,3071,14327,2159,1484255,4021,4066344,4048,37471,2924,4028873,5273,929103,2947,21125,1654,907978,3250,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
