GEO_ID,B25007_001E,B25007_001M,B25007_002E,B25007_002M,B25007_003E,B25007_003M,B25007_004E,B25007_004M,B25007_005E,B25007_005M,B25007_006E,B25007_006M,B25007_007E,B25007_007M,B25007_008E,B25007_008M,B25007_009E,B25007_009M,B25007_010E,B25007_010M,B25007_011E,B25007_011M,B25007_012E,B25007_012M,B25007_013E,B25007_013M,B25007_014E,B25007_014M,B25007_015E,B25007_015M,B25007_016E,B25007_016M,B25007_017E,B25007_017M,B25007_018E,B25007_018M,B25007_019E,B25007_019M,B25007_020E,B25007_020M,B25007_021E,B25007_021M,NAME,B25007_001MA,B25007_001EA,B25007_002MA,B25007_002EA,B25007_003EA,B25007_003MA,B25007_004EA,B25007_004MA,B25007_005MA,B25007_005EA,B25007_006MA,B25007_006EA,B25007_007MA,B25007_007EA,B25007_008MA,B25007_008EA,B25007_009EA,B25007_009MA,B25007_010MA,B25007_010EA,B25007_011MA,B25007_011EA,B25007_012MA,B25007_012EA,B25007_013MA,B25007_013EA,B25007_014EA,B25007_014MA,B25007_015EA,B25007_015MA,B25007_016MA,B25007_016EA,B25007_017MA,B25007_017EA,B25007_018EA,B25007_018MA,B25007_019MA,B25007_019EA,B25007_020EA,B25007_020MA,B25007_021MA,B25007_021EA,state
0400000US06,12552658,18433,6781817,25470,38607,3086,499251,9768,1126637,12819,1606293,14227,818124,11409,763055,9641,1061449,9712,609356,7520,259045,5616,5770841,24980,391947,7925,1474774,16131,1365957,14493,1107235,16178,414080,10591,320147,8496,367448,7544,207450,6681,121803,5126,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1278158,11129,11459,1730,132805,4519,229743,5279,299474,5910,158845,4749,139509,4555,182267,3878,93171,2944,30885,2227,717930,9538,90476,4059,211132,5890,146497,5811,117148,5183,44990,3240,32624,2385,37837,2611,21742,1757,15484,1539,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,908452,7756,3649,1136,64240,3600,147998,4513,233986,4729,110714,4061,98709,3793,135125,3208,77493,2612,36538,2197,449360,8680,28373,2929,113394,4210,88844,5141,84267,4358,32758,2792,24155,2249,35361,2591,26296,2338,15912,1611,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,241050,3609,778,398,22758,1860,36321,2268,54536,2328,28680,2124,25727,1574,42553,1428,22265,1478,7432,1037,99258,4117,10691,1680,23557,1946,21585,2620,16427,2244,8058,1445,5017,892,6834,1133,4301,967,2788,779,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,110681,3549,355,288,12287,1348,22573,1755,21230,1680,11501,1318,11578,1293,16162,1219,10480,1115,4515,865,155981,4855,12127,1433,50600,2761,30260,2504,24022,2305,11700,1451,8712,1302,11052,1111,5078,988,2430,627,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,4724428,21345,30058,3354,313911,9063,635262,11456,969919,12561,519728,9624,520111,8099,928687,8839,584262,8759,222490,5795,2473515,22250,203038,8287,604829,10545,541721,11979,456242,10183,174719,7359,133481,5463,181134,7057,107781,5290,70570,4441,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,2248702,19411,18565,2361,212506,7090,410258,8579,539351,8579,262702,6164,241559,6020,345783,5622,170901,4190,47077,2727,1284206,16668,130780,6342,361194,8650,300263,8482,212761,7880,81461,4153,66459,4008,71566,3757,38237,2533,21485,2225,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,254770,4107,1174,463,16852,1940,30521,2277,52120,2410,32359,2042,33661,1756,46087,1865,26797,2018,15199,1308,192978,4122,14725,1703,50054,2502,42061,2172,33351,2174,13649,1799,13689,1856,14538,1490,6968,1158,3943,854,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,398671,5979,5577,1361,44180,3271,63215,2834,83289,3039,44598,2517,46721,2402,65753,1975,33289,1962,12049,1353,184435,6150,31169,2484,51416,3730,35475,3246,26112,2534,8779,1484,7520,1082,12225,1754,6620,1395,5119,998,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3177104,16645,23046,2173,315170,6914,558148,7509,739257,8650,366915,6604,329052,6620,459761,5059,276614,5089,109141,3688,1593090,15616,149042,5446,447217,8602,321240,7583,262583,7807,113851,5360,81872,3527,103941,4646,65903,2849,47441,3208,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
