GEO_ID,B24091_001E,B24091_001M,B24091_002E,B24091_002M,B24091_003E,B24091_003M,B24091_004E,B24091_004M,B24091_005E,B24091_005M,B24091_006E,B24091_006M,B24091_007E,B24091_007M,B24091_008E,B24091_008M,B24091_009E,B24091_009M,NAME,B24091_001EA,B24091_001MA,B24091_002EA,B24091_002MA,B24091_003EA,B24091_003MA,B24091_004EA,B24091_004MA,B24091_005EA,B24091_005MA,B24091_006EA,B24091_006MA,B24091_007EA,B24091_007MA,B24091_008MA,B24091_008EA,B24091_009EA,B24091_009MA,state
0400000US06,46435,187,42845,445,42164,140,63539,3614,50747,444,60612,375,60152,658,60173,899,35139,909,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,45782,437,45011,885,43827,1273,57086,4529,46004,924,49443,1439,46690,1443,60649,1317,32371,1856,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,54365,898,52511,940,52132,438,71762,6296,51406,1248,63315,2593,67166,2206,59885,3203,42293,3987,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,45928,820,45296,1528,45079,1816,55210,9820,44801,3791,49142,5533,46901,1528,56820,7835,36324,4682,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62292,1256,55905,2991,54476,4533,86126,25538,60095,2767,60040,3363,63668,9711,90735,1917,60200,17634,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,37270,190,36101,247,35505,257,48649,2106,40854,564,41943,288,40658,693,56424,861,25662,884,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,40420,210,39655,619,38706,632,51492,1364,41917,697,40724,587,40380,846,55583,1469,31043,928,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,41880,437,38264,1316,37491,1042,52218,9099,44817,3097,51407,2963,48056,1559,60398,2415,40246,6121,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,37040,548,35894,728,35098,1024,51953,2010,41806,3080,40217,2914,41645,1546,55501,3124,31258,1399,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,46031,263,44298,620,43221,610,60558,1280,45258,1026,55276,950,51554,645,58621,1617,35429,1147,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,40288,198,39891,408,39508,515,50439,2503,40689,702,42189,857,41379,855,59635,2501,31541,926,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,40788,259,40160,295,39823,585,50364,2326,38359,1626,45549,1068,49416,1475,56059,1367,31965,700,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,40066,400,39693,806,39152,895,50505,1882,39837,1705,40063,1100,40965,854,54904,2624,30976,915,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
