GEO_ID,B18101G_001E,B18101G_001M,B18101G_002E,B18101G_002M,B18101G_003E,B18101G_003M,B18101G_004E,B18101G_004M,B18101G_005E,B18101G_005M,B18101G_006E,B18101G_006M,B18101G_007E,B18101G_007M,B18101G_008E,B18101G_008M,B18101G_009E,B18101G_009M,B18101G_010E,B18101G_010M,NAME,B18101G_001MA,B18101G_001EA,B18101G_002EA,B18101G_002MA,B18101G_003EA,B18101G_003MA,B18101G_004EA,B18101G_004MA,B18101G_005EA,B18101G_005MA,B18101G_006MA,B18101G_006EA,B18101G_007EA,B18101G_007MA,B18101G_008MA,B18101G_008EA,B18101G_009EA,B18101G_009MA,B18101G_010EA,B18101G_010MA,state
0400000US06,1658338,31817,717246,18431,27695,2982,689551,17663,857385,19497,93587,5597,763798,17409,83707,3690,35337,2779,48370,2866,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,168166,8610,76012,5545,4202,1218,71810,5383,86250,4493,10898,1865,75352,4136,5904,1051,3130,784,2774,662,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,91722,6039,45419,4721,2059,725,43360,4638,43445,3690,5463,1239,37982,3379,2858,816,1137,435,1721,598,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23689,3650,13272,2628,115,112,13157,2630,9585,1876,1468,604,8117,1775,832,381,227,180,605,347,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15728,2740,5176,1295,199,208,4977,1242,9808,1919,787,612,9021,1767,744,290,159,172,585,322,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,451997,15393,200517,9671,10660,1913,189857,9021,220101,9097,26969,2495,193132,8531,31379,2937,12482,1831,18897,2244,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,198280,12244,101965,8162,4967,1171,96998,8032,87909,6883,11499,1717,76410,6734,8406,1506,4186,1159,4220,1015,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,317883,12323,122926,6004,3485,934,119441,5978,176241,7448,17040,2122,159201,7196,18716,1683,7173,1280,11543,1311,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38780,3809,18250,2165,1083,838,17167,2116,18595,2375,2604,673,15991,2316,1935,756,645,329,1290,674,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,279751,11476,147475,7953,6357,1238,141118,7510,121360,7240,13607,1891,107753,6634,10916,1278,4500,906,6416,930,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,137976,7468,78110,5561,5346,978,72764,5565,55020,3588,10158,1324,44862,3391,4846,852,2361,636,2485,651,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,59114,4984,34265,3572,3495,982,30770,3158,23371,2831,3469,932,19902,2489,1478,456,678,332,800,378,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,89491,6241,45507,3621,3114,925,42393,3356,40424,3700,5696,1040,34728,3323,3560,852,1459,526,2101,592,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,84643,6134,45463,3989,5804,1836,39659,3604,34593,3101,7285,1391,27308,2883,4587,1044,3099,936,1488,547,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,77201,6208,38662,4250,2343,652,36319,4061,34546,3584,6090,1088,28456,3460,3993,776,2061,602,1932,521,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
