GEO_ID,C12002H_001E,C12002H_001M,C12002H_002E,C12002H_002M,C12002H_003E,C12002H_003M,C12002H_004E,C12002H_004M,C12002H_005E,C12002H_005M,C12002H_006E,C12002H_006M,NAME,C12002H_001EA,C12002H_001MA,C12002H_002MA,C12002H_002EA,C12002H_003MA,C12002H_003EA,C12002H_004MA,C12002H_004EA,C12002H_005EA,C12002H_005MA,C12002H_006EA,C12002H_006MA,state
0400000US06,12909745,5639,3853523,18112,6352919,28981,222249,8377,845250,10521,1635804,20435,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3014719,2224,843743,10422,1597336,15759,35136,2840,146567,4315,391937,10261,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2136745,2003,620340,9609,1113861,13708,19296,2487,148901,4904,234347,7974,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,502635,1357,136558,3907,258899,6128,7743,1544,36179,2904,63256,4282,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,203167,669,116456,3923,69861,4079,1320,451,3086,703,12444,1637,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9514766,4823,2381514,19825,4789134,31729,173282,8130,814245,12940,1356591,20316,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,4511305,2106,1130791,14499,2477958,22746,75120,4555,294184,7665,533252,13069,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,282250,395,73459,3146,154917,4245,3944,926,12731,1402,37199,3058,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1059751,931,254197,6499,598759,10374,11315,1480,60700,3633,134780,5432,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,6782042,3463,1950134,16812,3564095,24867,78460,5154,455623,8495,733730,12893,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4332144,2022,1156515,13316,2283749,20163,48692,3784,278276,6220,564912,12403,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2224074,1437,590690,7902,1203185,12867,24694,2474,147624,3677,257881,7777,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,1827940,533,462742,6981,993382,10230,22276,2299,119163,3593,230377,6934,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3083490,1179,781437,10977,1612443,16845,62191,3764,217207,5284,410212,10350,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2264355,1741,600933,9068,1179797,14224,47257,3817,157339,5520,279029,9982,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1057069,340,281307,6090,543310,8272,12153,1727,69468,3005,150831,5724,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,2669690,746,743915,9841,1427063,14998,52464,3904,176922,5399,269326,7373,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,4252167,3540,1389374,13266,2066463,18010,62959,3971,279972,6135,453399,11021,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,6270865,1665,1768690,14154,3284182,21314,66536,3257,399190,7351,752267,12676,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3665384,1161,1047842,9209,2005422,14085,30933,2781,202138,5100,379049,7253,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1411192,1475,326846,8392,772406,12187,26488,2648,109234,4876,176218,6660,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,3992727,1750,1047207,13058,2095681,20252,66868,3798,276948,6730,506023,13311,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,730790,394,189964,5236,396324,7284,8915,1489,44728,2280,90859,4930,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1232721,1020,331369,6501,676321,9335,12848,1509,81841,2871,130342,5587,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1246240,995,331467,7188,601792,11775,23183,2328,77450,3672,212348,8727,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1020521,349,295274,6771,528072,10430,11767,1620,57381,2677,128027,6000,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
