GEO_ID,C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,NAME,C15002G_001EA,C15002G_001MA,C15002G_002EA,C15002G_002MA,C15002G_003MA,C15002G_003EA,C15002G_004EA,C15002G_004MA,C15002G_005EA,C15002G_005MA,C15002G_006EA,C15002G_006MA,C15002G_007EA,C15002G_007MA,C15002G_008MA,C15002G_008EA,C15002G_009MA,C15002G_009EA,C15002G_010EA,C15002G_010MA,C15002G_011EA,C15002G_011MA,state
0400000US18,44026,2807,22095,1992,4160,1112,7657,1186,5594,1039,4684,1059,21931,1935,2849,792,5595,1142,7759,1373,5728,1178,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,18451,2144,10101,1432,2002,667,3478,859,2462,652,2159,807,8350,1303,1199,522,1954,618,3461,760,1736,482,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,32025,2759,16332,1994,2029,564,4642,1122,6282,1264,3379,885,15693,1704,1522,453,2757,804,7946,1242,3468,730,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,30786,2619,14123,1624,3266,822,3471,819,5733,1103,1653,524,16663,2040,3152,742,3489,763,5797,1224,4225,991,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,31019,3174,15287,1831,2681,819,4798,1192,5156,1049,2652,825,15732,1849,2042,602,4225,878,5705,1309,3760,762,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,10806,1057,5475,743,933,472,2228,624,1487,517,827,371,5331,851,593,333,1455,448,1717,600,1566,575,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,73364,4328,34539,3080,4540,1037,6994,1402,11326,2073,11679,1385,38825,2812,2724,771,5466,1106,15019,1772,15616,2001,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,83659,6000,42853,4401,11929,1905,11566,1997,9132,1721,10226,1932,40806,2943,9474,1519,9132,1572,9643,1540,12557,1535,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,93561,4579,45555,3344,6298,1153,14107,1672,14497,1696,10653,1421,48006,3044,6637,1089,10054,1299,18830,1787,12485,1900,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,42131,3152,20335,2291,2174,588,5474,1169,7180,1334,5507,1158,21796,1894,2180,615,3960,763,9340,1282,6316,951,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,12899,2359,6088,1800,984,527,915,517,2667,907,1522,791,6811,1195,1025,524,1728,647,2630,665,1428,565,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,52245,3559,25208,2387,4608,909,6309,1197,9665,1535,4626,893,27037,2290,3140,660,6640,1190,9519,1447,7738,1496,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,11447,1477,5387,794,622,281,1741,629,1694,529,1330,529,6060,1235,547,339,2088,610,2497,862,928,395,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,12695,1721,6197,1071,751,402,1292,418,2577,880,1577,450,6498,1175,699,297,919,325,2803,704,2077,697,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,44869,4112,20563,2429,3818,908,4402,1205,7818,1502,4525,1014,24306,2814,4162,1016,5831,1451,9861,1664,4452,1035,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,9489,1352,4879,977,588,374,1260,523,1855,645,1176,625,4610,991,692,443,1242,634,1459,595,1217,426,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,98842,5651,47222,3939,9259,1589,12703,2173,12270,1746,12990,1681,51620,3379,8638,1382,12302,1491,15938,1863,14742,1688,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,29297,2559,16303,1963,2102,804,4214,1217,5139,1189,4848,1346,12994,1532,2142,780,2483,628,5247,991,3122,886,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,248547,9096,118484,5531,27393,3057,28460,2690,32581,2693,30050,2782,130063,5500,27334,2840,27318,2876,35415,2663,39996,3239,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,77402,4596,36411,2904,5653,1231,8318,1508,13005,1800,9435,1595,40991,3141,5449,1221,7878,1467,16813,1820,10851,1538,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,4924,1006,2110,599,309,252,657,313,700,368,444,303,2814,736,209,164,608,312,1411,549,586,349,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,88864,4786,42187,3103,5610,997,12507,1429,14340,1790,9730,1659,46677,3329,6494,1040,10875,1706,19074,2320,10234,1601,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,132462,4532,63828,2487,10466,1340,20943,1552,20561,1459,11858,1308,68634,2922,9095,1195,18011,1796,26606,2023,14922,1267,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,67452,4623,32857,2856,4057,1080,8519,1357,12592,1791,7689,1288,34595,3162,4087,1043,7888,1430,13740,1927,8880,1531,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,92894,4979,45814,3425,8092,1306,14155,1883,12690,1784,10877,1737,47080,3177,6000,1409,12932,1764,15814,1784,12334,1330,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,11145,1521,5786,973,1056,375,1422,567,1918,604,1390,588,5359,1015,1114,402,1319,601,1558,517,1368,524,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,31075,2909,13891,1666,2135,754,3518,845,4304,1103,3934,1063,17184,2249,2037,719,4174,1046,7049,1333,3924,1152,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5954,1097,2770,595,511,264,885,404,851,314,523,295,3184,769,483,383,717,362,1222,423,762,340,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,46934,4041,21626,2382,3620,960,6218,1238,7616,1495,4172,943,25308,2319,3745,925,6233,1230,9306,1381,6024,1190,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,253038,9273,117858,5049,21499,2504,25343,2940,39709,2864,31307,3132,135180,6816,19601,2221,25963,2750,52918,4125,36698,3721,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
