GEO_ID,C17007_001E,C17007_001M,C17007_002E,C17007_002M,C17007_003E,C17007_003M,C17007_004E,C17007_004M,C17007_005E,C17007_005M,C17007_006E,C17007_006M,C17007_007E,C17007_007M,NAME,C17007_001MA,C17007_001EA,C17007_002EA,C17007_002MA,C17007_003EA,C17007_003MA,C17007_004MA,C17007_004EA,C17007_005EA,C17007_005MA,C17007_006MA,C17007_006EA,C17007_007EA,C17007_007MA,state
0400000US06,6676494,53404,1859206,27099,854240,17386,1004966,19283,4817288,41004,2521147,28269,2296141,24387,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1061264,16630,263577,9275,127614,5911,135963,6056,797687,13467,408890,10165,388797,7808,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,639084,13755,132964,6560,64124,4418,68840,4318,506120,11298,240305,7385,265815,7298,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,171057,6547,40066,3847,15731,1972,24335,2812,130991,5562,63684,4010,67307,3757,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,232131,6533,48439,4201,21985,2799,26454,2740,183692,5895,89510,3856,94182,3993,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3870063,35129,1053924,20652,486233,14453,567691,13629,2816139,30021,1411493,22467,1404646,16009,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1613738,21931,468945,10818,208099,7749,260846,8780,1144793,18322,584817,12425,559976,12877,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,240201,7998,56446,3703,23861,2662,32585,2507,183755,6710,100523,4343,83232,4131,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,263938,8642,78966,4407,36856,2829,42110,3387,184972,7519,94183,4667,90789,4751,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2299936,23426,584975,13675,266609,10296,318366,9293,1714961,20254,835693,12669,879268,12696,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1169654,17267,324069,9110,149559,5840,174510,5968,845585,15915,420664,9847,424921,9382,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
