GEO_ID,B05003I_001E,B05003I_001M,B05003I_002E,B05003I_002M,B05003I_003E,B05003I_003M,B05003I_004E,B05003I_004M,B05003I_005E,B05003I_005M,B05003I_006E,B05003I_006M,B05003I_007E,B05003I_007M,B05003I_008E,B05003I_008M,B05003I_009E,B05003I_009M,B05003I_010E,B05003I_010M,B05003I_011E,B05003I_011M,B05003I_012E,B05003I_012M,B05003I_013E,B05003I_013M,B05003I_014E,B05003I_014M,B05003I_015E,B05003I_015M,B05003I_016E,B05003I_016M,B05003I_017E,B05003I_017M,B05003I_018E,B05003I_018M,B05003I_019E,B05003I_019M,B05003I_020E,B05003I_020M,B05003I_021E,B05003I_021M,B05003I_022E,B05003I_022M,B05003I_023E,B05003I_023M,NAME,B05003I_001MA,B05003I_001EA,B05003I_002MA,B05003I_002EA,B05003I_003EA,B05003I_003MA,B05003I_004MA,B05003I_004EA,B05003I_005MA,B05003I_005EA,B05003I_006MA,B05003I_006EA,B05003I_007EA,B05003I_007MA,B05003I_008EA,B05003I_008MA,B05003I_009MA,B05003I_009EA,B05003I_010MA,B05003I_010EA,B05003I_011MA,B05003I_011EA,B05003I_012MA,B05003I_012EA,B05003I_013MA,B05003I_013EA,B05003I_014EA,B05003I_014MA,B05003I_015EA,B05003I_015MA,B05003I_016EA,B05003I_016MA,B05003I_017MA,B05003I_017EA,B05003I_018MA,B05003I_018EA,B05003I_019MA,B05003I_019EA,B05003I_020EA,B05003I_020MA,B05003I_021EA,B05003I_021MA,B05003I_022EA,B05003I_022MA,B05003I_023EA,B05003I_023MA,state
0400000US06,14537661,-555555555,7347254,1395,2442616,1298,2303670,7333,138946,7239,14847,2218,124099,6437,4904638,516,2338477,18170,2566161,18221,811350,14911,1754811,21015,7190407,1392,2345113,1298,2212750,6865,132363,6814,11871,1746,120492,6586,4845294,519,2334242,17834,2511052,17731,907795,14752,1603257,17837,California,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1088742,-555555555,554800,2024,195567,1577,184852,2538,10715,1802,1402,552,9313,1674,359233,1331,227279,5313,131954,4976,31439,3060,100515,4884,533942,2025,186456,1695,176656,2269,9800,1720,1084,584,8716,1592,347486,1245,236989,5116,110497,5076,30003,2730,80494,4330,Colorado,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,510647,-555555555,255325,891,85151,799,80647,1296,4504,964,615,388,3889,936,170174,456,105494,3763,64680,3733,19569,2203,45111,3941,255322,891,81079,798,76620,1293,4459,1076,291,239,4168,1068,174243,453,114164,3544,60079,3534,23618,2291,36461,3196,Connecticut,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,78813,-555555555,41232,659,14960,636,13208,1123,1752,809,452,404,1300,738,26272,260,14039,1722,12233,1686,3497,938,8736,1447,37581,659,13949,635,13411,711,538,399,0,182,538,399,23632,259,12382,1467,11250,1508,2623,811,8627,1423,Delaware,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,62726,-555555555,32291,-555555555,7599,-555555555,6856,482,743,481,161,162,582,484,24692,-555555555,8824,1383,15868,1383,3926,1142,11942,1367,30435,-555555555,7465,-555555555,6598,494,867,494,265,264,602,437,22970,-555555555,7899,1251,15071,1252,3791,792,11280,1389,District of Columbia,*****,null,*****,null,null,*****,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,*****,null,null,*****,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,4484201,-555555555,2217588,3202,581902,2261,522360,4601,59542,4007,11431,1554,48111,4181,1635686,2450,662351,11821,973335,11748,445160,10737,528175,12354,2266613,3202,560059,2905,503858,5299,56201,4574,9593,1852,46608,4077,1706554,1689,669740,12066,1036814,12042,562957,10685,473857,11630,Florida,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,904343,3608,484322,4242,175009,3656,160839,4202,14170,2121,1667,815,12503,1890,309313,2678,94537,6688,214776,6618,42014,3758,172762,6590,420021,3938,162845,2885,150110,3559,12735,2189,1675,828,11060,1906,257176,2494,95415,5074,161761,5068,37983,3375,123778,5314,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,131743,-555555555,68430,654,25161,653,25099,659,62,100,0,177,62,100,43269,-555555555,37771,1497,5498,1497,3162,1010,2336,882,63313,654,22546,655,22437,657,109,100,0,177,109,100,40767,-555555555,33583,1763,7184,1763,4196,1299,2988,1286,Hawaii,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,15
0400000US16,185159,-555555555,96128,1948,37753,1739,34888,2106,2865,1016,461,361,2404,986,58375,869,28787,2412,29588,2369,7836,1655,21752,2222,89031,1948,36379,1741,34586,1766,1793,659,22,43,1771,664,52652,831,29226,2188,23426,2211,6729,1515,16697,2140,Idaho,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2100008,1920,1083676,2340,374111,1751,352149,2795,21962,2676,3698,955,18264,2684,709565,1870,300421,7843,409144,7629,126980,5831,282164,8482,1016332,2442,358517,1784,335882,3195,22635,2696,4098,1166,18537,2433,657815,1511,301322,5923,356493,5707,121185,5206,235308,6329,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,408900,1327,211265,2618,81048,2392,73775,3188,7273,1915,1244,636,6029,1793,130217,2378,62102,3553,68115,3569,14479,1777,53636,3468,197635,2481,77503,2036,71464,2361,6039,1353,1072,628,4967,1307,120132,1698,67437,3116,52695,2991,11962,1780,40733,3256,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
