GEO_ID,C27014_001E,C27014_001M,C27014_002E,C27014_002M,C27014_003E,C27014_003M,C27014_004E,C27014_004M,C27014_005E,C27014_005M,C27014_006E,C27014_006M,C27014_007E,C27014_007M,C27014_008E,C27014_008M,C27014_009E,C27014_009M,C27014_010E,C27014_010M,C27014_011E,C27014_011M,C27014_012E,C27014_012M,C27014_013E,C27014_013M,C27014_014E,C27014_014M,C27014_015E,C27014_015M,C27014_016E,C27014_016M,C27014_017E,C27014_017M,C27014_018E,C27014_018M,C27014_019E,C27014_019M,C27014_020E,C27014_020M,C27014_021E,C27014_021M,C27014_022E,C27014_022M,NAME,C27014_001MA,C27014_001EA,C27014_002EA,C27014_002MA,C27014_003EA,C27014_003MA,C27014_004EA,C27014_004MA,C27014_005MA,C27014_005EA,C27014_006MA,C27014_006EA,C27014_007EA,C27014_007MA,C27014_008EA,C27014_008MA,C27014_009EA,C27014_009MA,C27014_010EA,C27014_010MA,C27014_011MA,C27014_011EA,C27014_012MA,C27014_012EA,C27014_013MA,C27014_013EA,C27014_014MA,C27014_014EA,C27014_015EA,C27014_015MA,C27014_016EA,C27014_016MA,C27014_017MA,C27014_017EA,C27014_018MA,C27014_018EA,C27014_019MA,C27014_019EA,C27014_020EA,C27014_020MA,C27014_021EA,C27014_021MA,C27014_022MA,C27014_022EA,state
0400000US06,28300786,5990,11135482,39916,10760157,40005,523399,11677,10236758,41802,375325,9046,288348,7774,86977,4294,7400403,37523,6897569,35646,926377,16160,5971192,35878,502834,10547,467489,9597,35345,3105,9764901,40563,6140655,37821,1955998,22286,4184657,32842,3624246,12372,3508610,13591,115636,5188,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3865758,2996,1751392,14674,1694692,14487,78321,4392,1616371,14168,56700,3107,44684,2348,12016,1710,1072989,15408,983434,14625,121934,5892,861500,14235,89555,4080,85912,4058,3643,924,1041377,13314,592037,11981,183935,7579,408102,10496,449340,4312,440084,4398,9256,1448,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2742794,1530,1186018,11334,1139030,11281,59164,4447,1079866,11102,46988,2682,36002,2450,10986,1548,744302,11274,670872,11001,110985,5194,559887,10228,73430,3274,70012,3216,3418,776,812474,10782,423257,9593,165397,6911,257860,7317,389217,3812,380469,4124,8748,1595,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,698421,815,300009,5999,290011,5721,18665,2379,271346,6154,9998,1152,8515,1032,1483,533,174916,5166,155680,4719,33314,2933,122366,4953,19236,1571,18616,1520,620,287,223496,4891,115526,4904,52536,3969,62990,3814,107970,2070,106715,2259,1255,537,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512198,740,245250,5310,235086,5152,21666,2505,213420,5350,10164,1368,8017,1284,2147,615,122796,5231,114584,5009,28044,2777,86540,4728,8212,1222,7644,1200,568,311,144152,5914,92720,5131,52319,3623,40401,3536,51432,1764,48543,1653,2889,780,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15019927,4591,5749328,29253,5524997,28678,250267,9226,5274730,29129,224331,7062,185378,6803,38953,3298,3395137,26253,3048606,25905,359944,12110,2688662,26312,346531,8481,331664,8561,14867,2293,5875462,28487,3005010,29042,997998,19573,2007012,27702,2870452,11319,2800994,11946,69458,5590,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7227250,5374,3060195,22590,2973284,22108,100342,5386,2872942,22208,86911,4557,72608,4121,14303,2057,1633984,19634,1517067,18591,132893,5954,1384174,18070,116917,4353,112207,4284,4710,1094,2533071,22858,1626926,21534,494922,14288,1132004,17891,906145,6471,888674,6408,17471,2803,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1039143,2521,446687,7474,422975,6852,22283,2437,400692,7218,23712,1979,18208,2073,5504,1232,253800,6802,231604,6698,36944,3458,194660,6356,22196,1791,20767,1605,1429,596,338656,6337,179031,5875,66533,4528,112498,5089,159625,2438,155250,2571,4375,1182,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1151756,1357,455325,8119,441534,8119,18672,2544,422862,8413,13791,1533,11811,1399,1980,618,339266,9274,310898,9197,31904,3486,278994,8377,28368,2408,27746,2379,622,356,357165,7414,192527,7312,64919,3808,127608,5985,164638,3189,162123,3167,2515,817,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9639316,2624,4200644,20759,4064798,21192,201322,7592,3863476,19147,135846,4863,107695,4389,28151,2590,2413214,22044,2213539,20960,299927,8721,1913612,20533,199675,6068,191233,5911,8442,1374,3025458,18803,1728168,16971,558311,10078,1169857,13450,1297290,7439,1266095,8003,31195,2700,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,4851707,3062,2043523,16554,1984929,16221,67562,4371,1917367,16166,58594,2863,49136,2788,9458,1574,1277716,13704,1168996,13316,136617,5715,1032379,13197,108720,3886,106349,3869,2371,740,1530468,14796,844333,15028,304603,9445,539730,11125,686135,5006,680183,4894,5952,1313,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2308437,2349,1074174,9278,1040739,9087,44718,3027,996021,9281,33435,2359,28871,2136,4564,852,612064,9022,539085,8835,85126,4829,453959,8787,72979,2830,71629,2829,1350,355,622199,7609,282929,6864,114957,4892,167972,5529,339270,3699,337715,3736,1555,389,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2105499,2916,980426,7898,940059,7911,28032,2088,912027,7978,40367,2010,34499,1958,5868,883,540294,7602,484593,6965,43490,3110,441103,6873,55701,3007,54520,2902,1181,475,584779,7806,305184,7474,96293,4062,208891,6086,279595,3056,277455,3124,2140,593,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3276692,2482,1306953,12792,1266856,13093,47862,3562,1218994,13360,40097,2555,35147,2536,4950,977,767495,10570,706234,9938,73640,4194,632594,9950,61261,3221,60063,3106,1198,393,1202244,12281,712645,11173,325714,7840,386931,8056,489599,4091,486282,4036,3317,673,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
