GEO_ID,C23002I_001E,C23002I_001M,C23002I_002E,C23002I_002M,C23002I_003E,C23002I_003M,C23002I_004E,C23002I_004M,C23002I_005E,C23002I_005M,C23002I_006E,C23002I_006M,C23002I_007E,C23002I_007M,C23002I_008E,C23002I_008M,C23002I_009E,C23002I_009M,C23002I_010E,C23002I_010M,C23002I_011E,C23002I_011M,C23002I_012E,C23002I_012M,C23002I_013E,C23002I_013M,C23002I_014E,C23002I_014M,C23002I_015E,C23002I_015M,C23002I_016E,C23002I_016M,C23002I_017E,C23002I_017M,C23002I_018E,C23002I_018M,C23002I_019E,C23002I_019M,C23002I_020E,C23002I_020M,C23002I_021E,C23002I_021M,C23002I_022E,C23002I_022M,C23002I_023E,C23002I_023M,C23002I_024E,C23002I_024M,C23002I_025E,C23002I_025M,C23002I_026E,C23002I_026M,C23002I_027E,C23002I_027M,NAME,C23002I_001EA,C23002I_001MA,C23002I_002MA,C23002I_002EA,C23002I_003MA,C23002I_003EA,C23002I_004EA,C23002I_004MA,C23002I_005EA,C23002I_005MA,C23002I_006EA,C23002I_006MA,C23002I_007MA,C23002I_007EA,C23002I_008MA,C23002I_008EA,C23002I_009EA,C23002I_009MA,C23002I_010EA,C23002I_010MA,C23002I_011EA,C23002I_011MA,C23002I_012MA,C23002I_012EA,C23002I_013MA,C23002I_013EA,C23002I_014MA,C23002I_014EA,C23002I_015EA,C23002I_015MA,C23002I_016EA,C23002I_016MA,C23002I_017MA,C23002I_017EA,C23002I_018MA,C23002I_018EA,C23002I_019MA,C23002I_019EA,C23002I_020EA,C23002I_020MA,C23002I_021EA,C23002I_021MA,C23002I_022MA,C23002I_022EA,C23002I_023MA,C23002I_023EA,C23002I_024MA,C23002I_024EA,C23002I_025EA,C23002I_025MA,C23002I_026EA,C23002I_026MA,C23002I_027MA,C23002I_027EA,state
0400000US01,118203,2286,65449,2179,63103,2064,54343,2129,1169,548,53174,2097,49091,2206,4083,1621,8760,1498,2346,616,184,143,184,143,0,184,2162,599,52754,1734,50087,1657,27785,2084,47,97,27738,2078,24326,2106,3412,1122,22302,2038,2667,743,401,337,401,337,0,184,2266,770,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,30138,578,15305,513,14906,527,12692,836,2216,707,10476,1029,10178,1055,298,217,2214,778,399,256,244,214,244,214,0,143,155,138,14833,532,13848,639,9295,1072,196,197,9099,1048,8788,1024,311,208,4553,1107,985,439,196,245,196,245,0,143,789,450,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1342958,2859,672707,1988,624184,2049,472468,5381,3248,803,469220,5173,416985,6034,52235,4006,151716,5798,48523,496,8430,1149,7472,1117,958,387,40093,1177,670251,1870,608878,1907,376182,6344,566,405,375616,6326,330136,6857,45480,3668,232696,6654,61373,376,6418,975,6073,978,345,278,54955,1074,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,125332,1993,66207,1730,64214,1656,54620,1805,321,263,54299,1825,51071,2043,3228,915,9594,1738,1993,690,395,373,395,373,0,184,1598,593,59125,1599,56828,1670,32944,2071,0,184,32944,2071,31002,1938,1942,678,23884,2276,2297,781,406,282,406,282,0,184,1891,706,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,10284819,6207,5181884,4728,4824213,4761,3821956,12695,22168,2512,3799788,13143,3328836,16720,470952,11170,1002257,12704,357671,814,75374,3800,68200,3520,7174,1270,282297,3941,5102935,5031,4622188,4993,2905673,16651,2732,869,2902941,16813,2483276,18967,419665,10890,1716515,16844,480747,712,52411,2942,46482,2743,5929,1046,428336,3046,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,740849,1815,377781,1821,350735,1980,280989,3246,3209,885,277780,3297,249861,3965,27919,2613,69746,4146,27046,766,6055,1075,5526,1108,529,363,20991,1237,363068,1809,329360,1833,218087,4552,917,439,217170,4509,191947,5264,25223,2609,111273,4748,33708,711,5047,1024,4883,1021,164,144,28661,1046,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,361007,1098,179138,1017,168339,994,130781,2537,538,375,130243,2551,111398,3514,18845,2599,37558,2646,10799,477,2322,708,2204,715,118,135,8477,641,181869,963,166667,1058,116299,3033,0,193,116299,3033,99040,3511,17259,2245,50368,3184,15202,602,1971,650,1765,631,206,189,13231,572,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,52426,528,27582,427,26248,477,21576,951,326,229,21250,989,19279,1047,1971,578,4672,1051,1334,262,472,259,472,259,0,182,862,322,24844,506,23147,457,16633,1389,0,182,16633,1389,14347,1613,2286,988,6514,1261,1697,298,141,140,141,140,0,182,1556,329,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,48645,258,25271,214,23997,214,19785,999,65,82,19720,1000,18638,1078,1082,621,4212,997,1274,-555555555,546,307,546,307,0,197,728,307,23374,267,21403,267,15860,1010,0,197,15860,1010,14226,1208,1634,731,5543,993,1971,-555555555,841,347,372,329,469,450,1130,347,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,11
0400000US12,3467296,4202,1697945,3807,1497199,4233,1207584,8969,7298,1661,1200286,8831,1071906,9273,128380,6386,289615,8985,200746,1703,40934,2666,36142,2473,4792,1114,159812,3017,1769351,3857,1490456,4345,1018000,11269,823,420,1017177,11316,896383,12672,120794,7675,472456,11903,278895,1771,24652,2229,22246,2156,2406,590,254243,2795,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
