GEO_ID,C17010_001E,C17010_001M,C17010_002E,C17010_002M,C17010_003E,C17010_003M,C17010_004E,C17010_004M,C17010_005E,C17010_005M,C17010_006E,C17010_006M,C17010_007E,C17010_007M,C17010_008E,C17010_008M,C17010_009E,C17010_009M,C17010_010E,C17010_010M,C17010_011E,C17010_011M,C17010_012E,C17010_012M,C17010_013E,C17010_013M,C17010_014E,C17010_014M,C17010_015E,C17010_015M,C17010_016E,C17010_016M,C17010_017E,C17010_017M,NAME,C17010_001EA,C17010_001MA,C17010_002EA,C17010_002MA,C17010_003EA,C17010_003MA,C17010_004EA,C17010_004MA,C17010_005MA,C17010_005EA,C17010_006MA,C17010_006EA,C17010_007EA,C17010_007MA,C17010_008MA,C17010_008EA,C17010_009EA,C17010_009MA,C17010_010EA,C17010_010MA,C17010_011MA,C17010_011EA,C17010_012EA,C17010_012MA,C17010_013MA,C17010_013EA,C17010_014EA,C17010_014MA,C17010_015EA,C17010_015MA,C17010_016MA,C17010_016EA,C17010_017MA,C17010_017EA,state
0400000US06,8585787,27380,1111400,15617,471618,9445,337822,7708,639782,12282,136835,5712,103205,4998,502947,10630,427927,10167,7474387,28093,5632481,27118,2654713,20521,1841906,20764,622453,12792,320039,8675,1219453,15928,657145,12640,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,47192,3409,33766,2954,71415,4599,14582,2108,11740,2053,56833,4188,48875,3945,1159657,11072,927878,11729,398415,8587,231779,6532,77714,4051,44245,3204,154065,5615,95493,4817,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,20201,2445,12752,2025,50723,3321,6295,1400,4810,1221,44428,3185,37182,3105,831445,8840,640675,8470,272232,5670,190770,6524,56922,3897,27134,2702,133848,5347,78037,4375,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,5984,1260,3962,1184,12415,1677,2028,630,1685,610,10387,1632,8771,1547,207194,4348,157476,4530,62380,2830,49718,3535,14233,2110,8964,1691,35485,2747,21753,2242,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,2274,745,1472,753,13416,1415,1422,584,784,402,11994,1395,9049,1254,96803,3781,59875,3094,23111,1867,36928,2435,7956,1249,3482,941,28972,2078,15700,1568,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,226660,7825,125473,6109,354129,9725,64598,4050,49018,3762,289531,9091,242507,8388,4017433,24594,3092960,22883,1082531,17425,924473,14572,259303,9265,126419,6224,665170,10080,363869,10563,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,120443,6072,78091,5017,241377,8503,35701,2570,26578,2311,205676,8198,175850,7592,2044406,15943,1572943,17075,695077,12499,471463,11691,130717,5897,66086,4486,340746,10111,198843,8075,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,11141,1234,6682,1162,15373,1789,2744,832,2210,836,12629,1647,11220,1621,282651,5838,217886,6168,95920,3875,64765,3503,20825,1895,8975,1404,43940,2948,22029,2297,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,22630,2412,15186,2028,24928,2647,3868,953,2954,859,21060,2486,19180,2442,358350,6909,299595,6422,125302,4980,58755,4228,20466,2715,12850,2254,38289,3132,21119,2178,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,111903,5129,74373,4318,227692,6957,36832,3216,26873,2671,190860,6302,163329,5957,2781425,15435,2177526,18209,939046,12635,603899,11431,183297,6670,90999,4923,420602,9957,232973,6997,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
