GEO_ID,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,NAME,B25070_001EA,B25070_001MA,B25070_002MA,B25070_002EA,B25070_003EA,B25070_003MA,B25070_004MA,B25070_004EA,B25070_005MA,B25070_005EA,B25070_006EA,B25070_006MA,B25070_007EA,B25070_007MA,B25070_008EA,B25070_008MA,B25070_009MA,B25070_009EA,B25070_010MA,B25070_010EA,B25070_011MA,B25070_011EA,state
0400000US06,5770841,24980,135084,5993,346456,11685,564327,11434,660309,13764,616603,12231,506466,10403,401556,10446,577068,11861,1668124,18986,294848,8381,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,717930,9538,20969,2450,52544,3465,88529,4858,90618,5063,82457,4703,64909,3771,46521,3574,63102,4062,174274,6974,34007,2733,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,449360,8680,15206,1993,31326,2750,51058,4242,49034,3320,51030,4165,36931,2718,29209,2618,36763,3044,120027,4446,28776,2873,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,99258,4117,3905,813,8547,1405,12005,1996,11158,1945,12282,1833,8567,1585,5133,1036,8876,1510,22720,2619,6065,1237,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,155981,4855,6939,1328,11577,1648,19479,2442,18054,2220,20888,2076,11702,1351,8785,1301,13199,1596,37687,2631,7671,1535,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2473515,22250,55609,3725,131013,6882,232412,9987,273636,9565,252875,8604,209876,8314,171778,8499,246969,8900,712307,13065,187040,6937,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1284206,16668,37907,3298,92043,5601,138665,7076,139447,6644,134192,6292,101912,6662,80409,4866,113235,5917,317642,10790,128754,5613,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,192978,4122,4045,953,12044,1369,18489,2156,23731,2493,20088,2129,17252,2158,12182,1735,17634,2023,49941,3359,17572,1964,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,184435,6150,7133,1319,15167,2032,24600,2895,19765,2470,18190,2322,17424,2253,12327,1886,15032,2203,39743,3243,15054,1986,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1593090,15616,56398,3588,129150,5557,186045,6545,183805,6655,170911,7352,124349,4951,94289,4771,128432,6221,401270,11371,118441,4703,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,759297,12471,25851,2696,67764,4082,93851,4324,87305,5021,80565,4613,61754,3642,39507,2954,60606,4420,182524,5660,59570,3838,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,344464,7798,19101,2395,37718,2811,45354,3025,40329,2753,32783,2502,25737,2285,16495,1988,24680,2815,75938,4216,26329,1888,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,374720,6600,14683,1395,36559,2793,49535,3252,45650,3110,44741,3359,28796,2363,21046,2422,29225,2342,74301,4061,30184,2292,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,562695,7784,22479,2617,50800,3544,63408,3765,66495,4102,53983,3750,45001,3761,30084,2273,40831,3183,124143,5772,65471,3277,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,589339,11722,23009,2368,51509,3613,60510,4247,56544,3713,51517,3596,42534,3296,35024,3348,47977,3318,143743,6185,76972,4445,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,158529,4335,4932,1037,10073,1501,17901,1944,17235,2023,19464,2234,14072,1654,10446,1509,13338,1722,36987,3060,14081,1792,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,723780,9709,20478,2439,51519,3978,86614,5452,98170,4396,82331,4676,64811,4400,47760,4005,63316,4136,171290,5601,37491,2960,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,952339,10308,37437,3220,76135,4954,113419,5481,110093,5039,118948,5815,84487,4751,56135,3725,71542,4041,233371,7341,50772,3823,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1105104,13859,35445,2544,80011,4154,114262,4469,120384,5277,113148,4972,85935,4313,68191,4082,91174,4989,304538,7612,92016,4176,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
