GEO_ID,B07403_001E,B07403_001M,B07403_002E,B07403_002M,B07403_003E,B07403_003M,B07403_004E,B07403_004M,B07403_005E,B07403_005M,B07403_006E,B07403_006M,B07403_007E,B07403_007M,B07403_008E,B07403_008M,B07403_009E,B07403_009M,B07403_010E,B07403_010M,B07403_011E,B07403_011M,B07403_012E,B07403_012M,B07403_013E,B07403_013M,B07403_014E,B07403_014M,B07403_015E,B07403_015M,NAME,B07403_001EA,B07403_001MA,B07403_002EA,B07403_002MA,B07403_003EA,B07403_003MA,B07403_004MA,B07403_004EA,B07403_005MA,B07403_005EA,B07403_006EA,B07403_006MA,B07403_007EA,B07403_007MA,B07403_008EA,B07403_008MA,B07403_009EA,B07403_009MA,B07403_010MA,B07403_010EA,B07403_011MA,B07403_011EA,B07403_012EA,B07403_012MA,B07403_013EA,B07403_013MA,B07403_014EA,B07403_014MA,B07403_015MA,B07403_015EA,state
0400000US06,37391472,34906,18592911,21793,18798561,19794,31777868,67939,15761908,38096,16015960,38217,3989910,57306,1982417,29391,2007493,33661,1056708,26852,554972,14330,501736,17619,566986,19755,293614,10025,273372,12053,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5044808,17818,2526820,11090,2517988,10556,4131357,21752,2068059,12923,2063298,12279,492637,16457,243743,9257,248894,9251,259284,10801,130579,6664,128705,6599,161530,10348,84439,6505,77091,6038,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3536881,9647,1722820,5885,1814061,6075,3114940,16188,1515767,8571,1599173,10460,270801,12487,129226,6649,141575,8210,64117,5802,35415,3716,28702,3140,87023,5968,42412,3171,44611,4046,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,893368,6530,434054,3706,459314,3956,782216,9177,379992,5097,402224,5032,78219,7541,37571,3976,40648,4578,7784,2008,3633,1058,4151,1419,25149,3775,12858,2223,12291,2210,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621772,8154,295662,4510,326110,4878,500267,6225,234778,3887,265489,4312,61992,5668,29472,3429,32520,3432,0,184,0,184,0,184,59513,6154,31412,3427,28101,3374,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18841230,31746,9208400,17724,9632830,20385,16032617,49245,7808689,25629,8223928,31192,1810664,39338,882664,21732,928000,23966,569624,22145,299132,12613,270492,12739,428325,18406,217915,9716,210410,11238,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719948,20440,4744979,13417,4974969,13937,8231384,34188,3994044,21384,4237340,19262,776217,30392,380636,16501,395581,16679,460085,18753,238644,10924,221441,11173,252262,12868,131655,7204,120607,7153,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1360481,8891,681042,5412,679439,4898,1164145,10466,578635,6143,585510,6237,128363,9721,66861,5109,61502,5837,6464,2446,4126,1790,2338,877,61509,6100,31420,3782,30089,3074,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1562317,8611,780832,5228,781485,5853,1296975,12998,646037,7047,650938,8369,152985,9897,75785,5169,77200,6210,57166,5994,30397,3618,26769,3397,55191,6257,28613,3773,26578,3218,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12728465,16113,6237178,11222,6491287,11034,11009321,31714,5385655,17653,5623666,19371,1112540,23723,545375,12046,567165,14835,328651,12905,167630,7122,161021,8805,277953,12722,138518,6949,139435,7637,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
