B18103_036E,B18103_036M,B18103_037E,B18103_037M,B18103_038E,B18103_038M,B18103_039E,B18103_039M,GEO_ID,B18103_001E,B18103_001M,B18103_002E,B18103_002M,B18103_003E,B18103_003M,B18103_004E,B18103_004M,B18103_005E,B18103_005M,B18103_006E,B18103_006M,B18103_007E,B18103_007M,B18103_008E,B18103_008M,B18103_009E,B18103_009M,B18103_010E,B18103_010M,B18103_011E,B18103_011M,B18103_012E,B18103_012M,B18103_013E,B18103_013M,B18103_014E,B18103_014M,B18103_015E,B18103_015M,B18103_016E,B18103_016M,B18103_017E,B18103_017M,B18103_018E,B18103_018M,B18103_019E,B18103_019M,B18103_020E,B18103_020M,B18103_021E,B18103_021M,B18103_022E,B18103_022M,B18103_023E,B18103_023M,B18103_024E,B18103_024M,B18103_025E,B18103_025M,B18103_026E,B18103_026M,B18103_027E,B18103_027M,B18103_028E,B18103_028M,B18103_029E,B18103_029M,B18103_030E,B18103_030M,B18103_031E,B18103_031M,B18103_032E,B18103_032M,B18103_033E,B18103_033M,B18103_034E,B18103_034M,B18103_035E,B18103_035M,B18103_036MA,B18103_036EA,B18103_037EA,B18103_037MA,B18103_038EA,B18103_038MA,B18103_039EA,B18103_039MA,NAME,B18103_001EA,B18103_001MA,B18103_002MA,B18103_002EA,B18103_003MA,B18103_003EA,B18103_004EA,B18103_004MA,B18103_005EA,B18103_005MA,B18103_006EA,B18103_006MA,B18103_007EA,B18103_007MA,B18103_008MA,B18103_008EA,B18103_009EA,B18103_009MA,B18103_010MA,B18103_010EA,B18103_011EA,B18103_011MA,B18103_012EA,B18103_012MA,B18103_013MA,B18103_013EA,B18103_014MA,B18103_014EA,B18103_015EA,B18103_015MA,B18103_016EA,B18103_016MA,B18103_017EA,B18103_017MA,B18103_018MA,B18103_018EA,B18103_019MA,B18103_019EA,B18103_020EA,B18103_020MA,B18103_021EA,B18103_021MA,B18103_022EA,B18103_022MA,B18103_023EA,B18103_023MA,B18103_024MA,B18103_024EA,B18103_025MA,B18103_025EA,B18103_026EA,B18103_026MA,B18103_027MA,B18103_027EA,B18103_028EA,B18103_028MA,B18103_029EA,B18103_029MA,B18103_030MA,B18103_030EA,B18103_031EA,B18103_031MA,B18103_032EA,B18103_032MA,B18103_033EA,B18103_033MA,B18103_034EA,B18103_034MA,B18103_035MA,B18103_035EA,state
1290716,4295,1172459,2953,129116,5304,1043343,5456,0400000US06,37524274,5678,18510580,6787,1296205,2473,5835,1355,1290370,2692,3415742,3971,27133,2630,3388609,4467,4690216,6825,36245,3150,4653971,8036,7126381,5933,129993,5672,6996388,7596,1163816,2547,42543,2906,1121273,3635,818220,2646,71918,3497,746302,4367,19013694,5371,1240479,2396,5941,1556,1234538,2703,3271062,3334,22333,2375,3248729,3996,4574937,3413,40218,3363,4534719,4588,7406847,3472,137472,6109,7269375,7074,1347910,2438,57194,3773,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
180612,1830,141445,1522,14088,1667,127357,2182,0400000US08,5094766,2656,2528913,4620,172562,2030,1806,772,170756,2111,454263,2288,1979,637,452284,2386,619699,3533,5518,1525,614181,3926,1013738,3151,19902,2673,993836,3947,168926,1211,5051,954,163875,1405,99725,1230,9356,1243,90369,1788,2565853,3561,164433,2154,726,533,163707,2320,437750,2208,3462,919,434288,2389,603726,2494,5013,1090,598713,2766,1033000,2453,16530,2226,1016470,3329,185499,1542,4887,1020,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
145391,1450,140943,1185,12250,1442,128693,1746,0400000US09,3534619,1149,1715299,2409,99546,993,450,391,99096,1098,305506,1227,2292,1136,303214,1721,375873,1816,1452,750,374421,2087,715360,1950,10347,1297,705013,2421,128363,850,3328,840,125035,1229,90651,906,6628,881,84023,1385,1819320,2365,93524,834,466,266,93058,906,293249,1287,2896,829,290353,1271,378717,1592,3319,913,375398,2061,763209,1627,10349,1482,752860,2320,149678,1028,4287,1036,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
41233,820,33398,785,3707,835,29691,868,0400000US10,902915,849,434398,1313,28446,344,115,149,28331,380,75856,827,320,254,75536,861,98955,895,951,577,98004,1064,169939,909,4136,1056,165803,1138,37599,604,616,260,36983,624,23603,506,2353,666,21250,816,468517,1018,27739,277,341,453,27398,537,72453,800,316,212,72137,763,103201,685,950,474,102251,805,189122,996,3384,869,185738,1283,42604,513,1371,632,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
20829,548,19569,458,1758,460,17811,653,0400000US11,621380,727,290874,931,19836,279,0,197,19836,279,34930,285,555,306,34375,399,99374,745,853,493,98521,902,108524,844,2982,780,105542,1146,17199,376,777,449,16422,550,11011,369,1129,518,9882,645,330506,735,19113,33,131,215,18982,218,35303,275,670,407,34633,545,118676,384,642,349,118034,492,115816,532,4960,1106,110856,1267,22029,324,1200,502,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
971616,3917,891862,3134,89906,5043,801956,5260,0400000US12,19011070,3625,9208249,7257,544693,3113,2683,1157,542010,3248,1487418,4578,11403,1997,1476015,4749,2015338,5494,18446,2643,1996892,5861,3617902,6414,79527,4893,3538375,7895,877145,3068,33903,3039,843242,3833,665753,3224,51355,3404,614398,4635,9802821,7129,524267,3362,2263,795,522004,3426,1434765,4789,9612,1757,1425153,5152,2052883,4782,16324,2468,2036559,5192,3892490,4537,86758,5007,3805732,6553,1006554,2839,34938,2765,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
345565,3404,266602,2430,31734,2467,234868,3598,0400000US13,9719411,3607,4691533,8342,341922,4139,2468,1147,339454,4013,931327,5485,8568,2253,922759,5810,1105808,5449,14104,2135,1091704,5587,1833488,5933,53966,4412,1779522,7395,312163,2983,16553,2330,295610,3528,166825,2708,15908,1908,150917,2948,5027878,8176,329183,4145,2100,1063,327083,3844,889729,5171,7959,2092,881770,5783,1166909,5679,12999,2254,1153910,6149,2011072,4907,55066,3679,1956006,6100,364383,2756,18818,1966,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
55762,807,56320,651,3673,1067,52647,1175,0400000US15,1341708,2427,659117,2704,45753,259,23,51,45730,264,109322,808,739,471,108583,919,151413,2393,406,284,151007,2431,261294,1602,4683,1052,256611,1777,53534,634,2347,699,51187,915,37801,885,3852,901,33949,1235,682591,1728,43260,390,51,71,43209,401,104230,766,548,390,103682,873,151548,1062,908,512,150640,1279,269355,827,4222,1103,265133,1319,57878,480,2116,634,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
59991,1132,47875,738,6490,1111,41385,1279,0400000US16,1575682,687,784512,3345,58069,1489,240,388,57829,1539,158790,2209,1792,801,156998,2265,181234,2210,1720,642,179514,2231,289550,1657,6233,1311,283317,2042,59858,866,2366,678,57492,951,37011,656,3321,774,33690,949,791170,3288,55667,1309,83,99,55584,1288,151400,1837,1046,513,150354,1816,179184,1885,1426,539,177758,1820,294991,1827,7156,1587,287835,2463,62053,919,2062,573,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
470185,2436,437790,2809,46042,2741,391748,3698,0400000US17,12698371,1130,6204342,5323,415426,2218,2618,1089,412808,2475,1145047,3007,9919,1570,1135128,3179,1489427,4180,14553,1973,1474874,4578,2450734,4024,44082,3145,2406652,4960,421499,2035,14632,1847,406867,2588,282209,1493,22690,2049,259519,2487,6494029,5389,398601,1957,1932,589,396669,2052,1099981,2692,8430,1961,1091551,3134,1494316,3315,12924,1783,1481392,3689,2572028,3571,49312,3263,2522716,4782,491313,1655,21128,2134,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
