GEO_ID,C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,NAME,C14007G_001EA,C14007G_001MA,C14007G_002EA,C14007G_002MA,C14007G_003EA,C14007G_003MA,C14007G_004MA,C14007G_004EA,C14007G_005MA,C14007G_005EA,C14007G_006EA,C14007G_006MA,C14007G_007EA,C14007G_007MA,state
0400000US06,1536490,28646,726207,18724,92654,5733,299776,10520,148165,6299,185612,7593,810283,16487,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,158808,8178,76486,5790,10643,1926,31850,3209,15182,2132,18811,2433,82322,4386,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,87062,5475,45867,4307,8074,1413,19257,2790,9028,1606,9508,1591,41195,3548,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20487,3278,10455,2314,1679,645,4567,1235,2745,1466,1464,630,10032,1912,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,14161,2487,5305,1383,1257,565,1183,576,647,316,2218,773,8856,1786,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,417278,14862,191811,9429,30805,2906,83740,5876,32795,3323,44471,4140,225467,9488,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,182430,11548,95473,7820,14545,1949,43195,4952,18343,2803,19390,3289,86957,6444,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,301234,11582,119754,5964,16764,1742,53951,3500,23343,2099,25696,2443,181480,7903,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36719,3847,18268,2803,1264,528,8705,1765,4772,1089,3527,1253,18451,2173,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,253912,11208,137519,8053,25604,3059,60906,5296,26658,2664,24351,2466,116393,5815,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,126853,6660,69073,4627,11181,1856,31061,3081,14454,2017,12377,1700,57780,3588,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,52980,4809,29525,3223,5185,1178,14622,2087,5119,1077,4599,1096,23455,2527,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,83865,5950,45331,4154,5805,1185,19772,2275,9526,1577,10228,1687,38534,3098,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,79228,6073,42385,4320,6776,1387,19726,2835,8116,1571,7767,1366,36843,2950,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,71036,5754,33629,4024,6750,1733,16289,2296,5080,1190,5510,1443,37407,3571,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,24225,2177,11748,1603,681,285,6701,1235,2017,542,2349,657,12477,1297,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,166273,8814,85624,6033,15071,2098,35578,3588,15672,2151,19303,2819,80649,5079,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
