GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001MA,C17010I_001EA,C17010I_002EA,C17010I_002MA,C17010I_003EA,C17010I_003MA,C17010I_004EA,C17010I_004MA,C17010I_005EA,C17010I_005MA,C17010I_006MA,C17010I_006EA,C17010I_007MA,C17010I_007EA,C17010I_008EA,C17010I_008MA,C17010I_009EA,C17010I_009MA,C17010I_010EA,C17010I_010MA,C17010I_011MA,C17010I_011EA,C17010I_012MA,C17010I_012EA,C17010I_013EA,C17010I_013MA,C17010I_014EA,C17010I_014MA,C17010I_015EA,C17010I_015MA,C17010I_016EA,C17010I_016MA,C17010I_017MA,C17010I_017EA,state
0400000US06,2852251,13626,623077,10739,271484,6756,228961,6257,351593,8961,75740,4393,64248,4120,275853,7961,247370,7607,2229174,15546,1522742,14889,977149,14063,706432,12757,270775,7944,161274,6713,435657,9752,275363,7922,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,224339,4560,50188,3365,19957,2269,16908,2057,30231,2855,6126,1337,5581,1362,24105,2511,21191,2612,174151,4728,120394,4885,69864,4209,53757,3602,19269,2088,11246,1980,34488,2925,24431,2589,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,110775,2692,28281,2253,7249,1414,5447,1169,21032,1811,2404,922,1754,627,18628,1917,16421,1767,82494,2778,48573,2896,29314,2591,33921,2657,9982,1837,5268,1323,23939,2374,16661,1967,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15948,1350,3409,996,1393,636,1214,660,2016,855,264,229,264,229,1752,867,1590,810,12539,1472,8508,1107,5974,1136,4031,1048,2102,873,1435,687,1929,671,1322,545,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10751,1350,2111,593,1083,476,913,540,1028,439,283,238,242,224,745,366,599,318,8640,1306,4928,1167,2669,852,3712,855,910,484,384,304,2802,653,1988,610,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,972475,10557,189819,8162,83806,5188,56228,3973,106013,6577,19913,2655,15856,2538,86100,5726,72932,5142,782656,10085,554684,9565,282154,8795,227972,8062,71793,4538,34280,3460,156179,6657,89766,5502,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,179168,5214,52339,3932,25492,2935,23902,2911,26847,3339,7885,1548,6669,1318,18962,2854,18173,2825,126829,5326,95298,4883,63228,4123,31531,3421,16416,2610,9895,2029,15115,2168,11782,1923,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,22077,1757,3756,1097,940,507,379,277,2816,886,422,403,384,405,2394,777,2362,777,18321,1565,13902,1471,7807,1156,4419,943,1297,526,596,411,3122,775,2476,786,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35771,1952,9681,1698,4711,1138,4026,1054,4970,1264,490,379,358,355,4480,1204,4330,1211,26090,2074,18624,1943,12470,1698,7466,1438,3661,1179,1805,792,3805,936,1923,703,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,423911,7200,82388,4698,37887,3373,33216,3234,44501,3543,10563,1697,8630,1554,33938,3102,30236,2956,341523,6682,238723,7163,162014,6116,102800,3944,41369,3235,25536,2685,61431,2972,40952,2550,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
