GEO_ID,C05003F_001E,C05003F_001M,C05003F_002E,C05003F_002M,C05003F_003E,C05003F_003M,C05003F_004E,C05003F_004M,C05003F_005E,C05003F_005M,C05003F_006E,C05003F_006M,C05003F_007E,C05003F_007M,C05003F_008E,C05003F_008M,C05003F_009E,C05003F_009M,C05003F_010E,C05003F_010M,C05003F_011E,C05003F_011M,C05003F_012E,C05003F_012M,C05003F_013E,C05003F_013M,C05003F_014E,C05003F_014M,C05003F_015E,C05003F_015M,NAME,C05003F_001MA,C05003F_001EA,C05003F_002MA,C05003F_002EA,C05003F_003EA,C05003F_003MA,C05003F_004EA,C05003F_004MA,C05003F_005MA,C05003F_005EA,C05003F_006MA,C05003F_006EA,C05003F_007EA,C05003F_007MA,C05003F_008MA,C05003F_008EA,C05003F_009EA,C05003F_009MA,C05003F_010EA,C05003F_010MA,C05003F_011MA,C05003F_011EA,C05003F_012EA,C05003F_012MA,C05003F_013MA,C05003F_013EA,C05003F_014EA,C05003F_014MA,C05003F_015EA,C05003F_015MA,state
0400000US06,4912894,55894,2507942,32200,789638,16901,740223,16796,49415,4266,1718304,21387,722888,14381,995416,16411,2404952,29779,759926,15610,707061,14922,52865,4220,1645026,19333,693380,12883,951646,14679,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,219565,13256,111361,7299,33029,3673,30185,3367,2844,1135,78332,5162,41462,3372,36870,3631,108204,7514,35371,4080,32428,3827,2943,1076,72833,4669,42637,3256,30196,3079,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,163423,10914,85612,6936,23992,3105,22165,3043,1827,658,61620,5254,31941,3255,29679,3712,77811,5702,23298,2796,21534,2774,1764,779,54513,3831,29740,3106,24773,2614,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23251,4014,12622,2636,3870,1121,3431,1099,439,455,8752,1896,4459,1361,4293,1461,10629,2351,3395,1358,3382,1361,13,22,7234,1575,2542,904,4692,1360,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28401,4268,15637,2344,3577,993,3166,922,411,459,12060,1737,3776,986,8284,1718,12764,2374,3207,776,2866,749,341,382,9557,1872,1759,779,7798,1609,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,459361,23271,236775,13629,61989,6405,55808,5973,6181,1460,174786,10504,77526,6691,97260,7929,222586,12335,64529,5654,58586,5388,5943,1538,158057,9148,66526,5445,91531,6206,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,297813,14511,166809,8632,57596,5436,52714,5192,4882,1299,109213,6026,28130,4246,81083,5978,131004,7843,50292,4152,45388,4239,4904,1512,80712,5049,25787,2951,54925,4506,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15499,2568,8178,1532,1521,598,1459,584,62,100,6657,1251,4618,958,2039,941,7321,1390,1884,656,1884,656,0,177,5437,1072,3535,999,1902,924,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,46011,6380,23739,3165,7806,1663,6768,1514,1038,744,15933,2321,6900,1785,9033,1755,22272,4132,8968,2134,8595,2078,373,292,13304,2436,6498,2067,6806,1580,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,731378,24796,385335,13379,128715,6335,120032,6304,8683,1916,256620,8595,93092,5915,163528,7449,346043,13540,117103,7031,108073,6739,9030,1882,228940,8325,90329,5556,138611,6333,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
