GEO_ID,C15002D_001E,C15002D_001M,C15002D_002E,C15002D_002M,C15002D_003E,C15002D_003M,C15002D_004E,C15002D_004M,C15002D_005E,C15002D_005M,C15002D_006E,C15002D_006M,C15002D_007E,C15002D_007M,C15002D_008E,C15002D_008M,C15002D_009E,C15002D_009M,C15002D_010E,C15002D_010M,C15002D_011E,C15002D_011M,NAME,C15002D_001MA,C15002D_001EA,C15002D_002MA,C15002D_002EA,C15002D_003MA,C15002D_003EA,C15002D_004EA,C15002D_004MA,C15002D_005EA,C15002D_005MA,C15002D_006EA,C15002D_006MA,C15002D_007EA,C15002D_007MA,C15002D_008MA,C15002D_008EA,C15002D_009MA,C15002D_009EA,C15002D_010MA,C15002D_010EA,C15002D_011MA,C15002D_011EA,state
0400000US06,3614707,10352,1653501,6299,186943,6640,239654,8768,395240,9265,831664,11241,1961206,6773,310785,7420,284778,7637,426972,9724,938671,12995,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,98886,2342,43522,1596,5969,1283,6033,917,8820,1323,22700,1918,55364,1564,9358,1713,8760,1405,11778,1840,25468,2240,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,96367,1321,44740,1011,3496,766,4755,903,6709,1155,29780,1607,51627,862,6485,994,7015,1239,7380,1199,30747,1770,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20653,872,9459,563,711,479,1224,552,838,417,6686,815,11194,481,991,444,1230,452,2406,740,6567,722,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16129,1087,6391,666,382,293,353,238,430,251,5226,680,9738,641,689,355,616,400,1058,490,7375,778,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,338468,4747,150367,2909,17051,2295,26516,2921,30950,2713,75850,3593,188101,3189,32033,2519,33535,2583,39466,2955,83067,4187,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,218446,3531,101777,2200,10764,1915,12840,2004,18999,2172,59174,2522,116669,2314,16557,2365,21224,2320,20786,2300,58102,2789,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,414923,6302,185570,3596,20586,2137,53568,3188,57340,3143,54076,2646,229353,3962,32059,2519,58460,3170,65061,3609,73773,3401,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14203,1416,5876,912,686,495,947,487,1676,638,2567,608,8327,1022,1554,605,1537,545,2038,815,3198,798,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,425997,3612,199524,2593,16203,1955,20277,2537,31128,2621,131916,3780,226473,2071,26066,2473,26616,2722,36463,2595,137328,3620,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,67540,2321,30755,1329,3716,1289,4841,1292,3837,1025,18361,1673,36785,1722,5538,1085,5618,1370,6325,1101,19304,1726,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,33448,1424,15615,1193,2085,733,3078,779,2590,896,7862,1077,17833,1056,2862,653,3802,818,2420,669,8749,1092,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,45015,1513,21207,1171,3802,937,3006,846,3774,994,10625,1091,23808,996,3971,787,5198,1038,4463,996,10176,1066,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,33757,1897,15479,1072,2403,877,2071,665,1723,605,9282,1009,18278,1321,2929,849,3567,837,3445,805,8337,1141,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46231,1959,20247,1386,4614,944,3795,736,3279,726,8559,1411,25984,1342,6180,1024,4943,822,3902,832,10959,1499,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8605,966,3616,767,1086,582,861,467,606,414,1063,461,4989,635,1651,448,1200,531,814,403,1324,487,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,235187,2452,107027,1533,8963,1260,13913,2068,15956,1818,68195,2331,128160,1952,14915,1721,19551,2201,20423,2141,73271,3288,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,248010,2963,117000,1846,16693,1657,17344,1819,14332,1945,68631,2908,131010,1748,23175,2387,23013,2798,14230,1878,70592,2579,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,155844,2834,72060,1963,6616,1359,6129,1133,10802,1392,48513,2611,83784,1708,13659,1836,8429,1316,14738,1908,46958,2271,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,130691,2142,61784,1273,9716,1331,10357,1170,12923,1599,28788,1910,68907,1613,15684,1391,11909,1306,10818,1399,30496,2132,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,15693,1636,6221,1022,1009,525,1558,588,1343,653,2311,597,9472,1093,1691,525,2395,769,2316,913,3070,823,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,66574,2310,29527,1372,5448,819,3438,1146,4271,1012,16370,1514,37047,1515,6802,1174,5957,1319,5024,1026,19264,1817,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,4356,963,1538,619,154,179,189,98,310,269,885,436,2818,769,209,193,878,411,602,286,1129,560,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,22842,1170,10886,651,2208,613,1276,409,1613,434,5789,763,11956,725,2396,556,2522,588,1422,466,5616,648,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,149847,2968,64209,1555,6204,1285,15161,1960,20809,1959,22035,2336,85638,1971,10900,1659,17656,1927,25845,2395,31237,2521,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,19739,1224,8987,974,1300,584,1482,672,907,448,5298,853,10752,792,2463,1113,2408,827,1343,478,4538,787,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,532847,3745,254416,2241,15694,1792,26340,2407,32486,2481,179896,4049,278431,2312,27091,2106,32601,2635,38569,3131,180170,4689,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,19016,1268,7764,845,1130,631,626,380,1474,538,4534,861,11252,797,1964,517,1683,501,2903,673,4702,898,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,1043117,5278,486702,3661,107005,4860,84418,4158,72144,3422,223135,5441,556415,2962,130233,5089,97305,4677,85131,4162,243746,6054,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,147086,2877,68052,2075,9972,1420,6880,1321,12673,1751,38527,2543,79034,1752,14269,1681,12086,1451,14249,1779,38430,2220,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,3614,650,2035,524,153,251,414,306,395,269,1073,567,1579,325,191,177,331,275,511,184,546,198,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,132455,2876,62544,1871,6110,1265,6845,1340,7053,1460,42536,2529,69911,2183,9403,1601,11516,1253,10848,1222,38144,2095,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,44726,1508,20102,962,2592,595,4517,781,3759,960,9234,1172,24624,1006,5138,934,5869,802,5027,937,8590,996,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,100881,2280,44068,1550,4351,861,6977,1634,10913,1299,21827,1814,56813,1621,8628,1302,9733,1326,13464,1559,24988,1889,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,239181,2941,113027,2208,19424,2202,15436,2125,14033,1485,64134,2970,126154,1703,24988,2091,18542,2316,18435,1670,64189,3079,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,19819,809,9012,592,1528,435,1413,578,1201,434,4870,730,10807,476,2804,605,1506,486,1944,732,4553,692,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,40418,2029,17184,1477,2624,861,3925,1007,3259,918,7376,1265,23234,1428,4985,1180,5013,1085,4520,1066,8716,1242,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,5188,873,2654,474,695,214,527,295,335,225,1097,370,2534,590,769,357,216,164,174,126,1375,511,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,64480,2119,29633,1321,2794,645,5054,927,4600,1034,17185,1619,34847,1478,6316,1106,5869,1062,7576,1344,15086,1405,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,701290,5030,332520,2977,37680,3275,38476,3811,64953,4113,191411,5545,368770,3640,60430,4080,55975,3966,71263,4559,181102,6367,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,40464,1459,18615,1031,2637,727,2744,681,4202,763,9032,976,21849,986,5064,915,3457,873,3159,619,10169,1014,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
