GEO_ID,C17023_001E,C17023_001M,C17023_002E,C17023_002M,C17023_003E,C17023_003M,C17023_004E,C17023_004M,C17023_005E,C17023_005M,C17023_006E,C17023_006M,C17023_007E,C17023_007M,C17023_008E,C17023_008M,C17023_009E,C17023_009M,C17023_010E,C17023_010M,C17023_011E,C17023_011M,C17023_012E,C17023_012M,C17023_013E,C17023_013M,C17023_014E,C17023_014M,C17023_015E,C17023_015M,C17023_016E,C17023_016M,C17023_017E,C17023_017M,C17023_018E,C17023_018M,C17023_019E,C17023_019M,C17023_020E,C17023_020M,C17023_021E,C17023_021M,C17023_022E,C17023_022M,C17023_023E,C17023_023M,NAME,C17023_001EA,C17023_001MA,C17023_002MA,C17023_002EA,C17023_003MA,C17023_003EA,C17023_004EA,C17023_004MA,C17023_005EA,C17023_005MA,C17023_006EA,C17023_006MA,C17023_007EA,C17023_007MA,C17023_008MA,C17023_008EA,C17023_009MA,C17023_009EA,C17023_010EA,C17023_010MA,C17023_011EA,C17023_011MA,C17023_012EA,C17023_012MA,C17023_013MA,C17023_013EA,C17023_014MA,C17023_014EA,C17023_015EA,C17023_015MA,C17023_016EA,C17023_016MA,C17023_017EA,C17023_017MA,C17023_018MA,C17023_018EA,C17023_019MA,C17023_019EA,C17023_020MA,C17023_020EA,C17023_021EA,C17023_021MA,C17023_022EA,C17023_022MA,C17023_023MA,C17023_023EA,state
0400000US06,8585787,27380,1111400,15617,471618,9445,153646,5892,317972,7687,639782,12282,136835,5712,46983,3451,89852,4667,502947,10630,119174,5459,383773,9582,7474387,28093,5632481,27118,3162510,21512,2469971,19845,1841906,20764,622453,12792,362548,8867,259905,7593,1219453,15928,694161,11978,525292,12208,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278264,10500,118607,5656,47192,3409,14778,1909,32414,2972,71415,4599,14582,2108,4454,1304,10128,1962,56833,4188,11057,1596,45776,3776,1159657,11072,927878,11729,548354,9379,379524,8004,231779,6532,77714,4051,39044,3413,38670,3127,154065,5615,71556,4263,82509,4514,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,902369,9154,70924,4265,20201,2445,8088,1424,12113,1981,50723,3321,6295,1400,1612,657,4683,1194,44428,3185,10024,1369,34404,2997,831445,8840,640675,8470,380163,6812,260512,5413,190770,6524,56922,3897,33409,3019,23513,2771,133848,5347,67757,3588,66091,3825,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,225593,4537,18399,2121,5984,1260,2212,656,3772,1150,12415,1677,2028,630,524,253,1504,601,10387,1632,3286,725,7101,1429,207194,4348,157476,4530,101439,3939,56037,2360,49718,3535,14233,2110,7172,1147,7061,1440,35485,2747,18100,2139,17385,1970,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112493,3951,15690,1571,2274,745,802,377,1472,753,13416,1415,1422,584,749,460,673,367,11994,1395,4000,770,7994,1191,96803,3781,59875,3094,38160,2474,21715,1921,36928,2435,7956,1249,5299,907,2657,788,28972,2078,16915,1580,12057,1455,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4598222,24279,580789,12915,226660,7825,111797,5164,114863,5765,354129,9725,64598,4050,21475,2263,43123,3216,289531,9091,74789,4722,214742,8142,4017433,24594,3092960,22883,2086476,17351,1006484,16497,924473,14572,259303,9265,152679,6306,106624,5696,665170,10080,369237,7366,295933,9477,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2406226,16700,361820,10541,120443,6072,48193,4081,72250,4817,241377,8503,35701,2570,13096,1896,22605,2243,205676,8198,55177,3963,150499,7614,2044406,15943,1572943,17075,929927,12182,643016,12237,471463,11691,130717,5897,76069,3807,54648,4348,340746,10111,180486,6857,160260,7475,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,309165,5759,26514,2112,11141,1234,5220,1119,5921,1126,15373,1789,2744,832,998,441,1746,737,12629,1647,1979,653,10650,1652,282651,5838,217886,6168,133943,4097,83943,3744,64765,3503,20825,1895,14860,1607,5965,1102,43940,2948,30194,2335,13746,1870,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,405908,6386,47558,3550,22630,2412,8354,1703,14276,1865,24928,2647,3868,953,1063,465,2805,878,21060,2486,2722,740,18338,2435,358350,6909,299595,6422,180694,4427,118901,4804,58755,4228,20466,2715,8397,1689,12069,2219,38289,3132,20530,2199,17759,2203,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3121020,16046,339595,8078,111903,5129,42736,2990,69167,4188,227692,6957,36832,3216,12637,1642,24195,2532,190860,6302,46377,2778,144483,5523,2781425,15435,2177526,18209,1287832,11634,889694,12357,603899,11431,183297,6670,106381,4576,76916,4524,420602,9957,226685,6757,193917,6633,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
