GEO_ID,C25122_001E,C25122_001M,C25122_002E,C25122_002M,C25122_003E,C25122_003M,C25122_004E,C25122_004M,C25122_005E,C25122_005M,C25122_006E,C25122_006M,C25122_007E,C25122_007M,C25122_008E,C25122_008M,C25122_009E,C25122_009M,C25122_010E,C25122_010M,C25122_011E,C25122_011M,C25122_012E,C25122_012M,C25122_013E,C25122_013M,C25122_014E,C25122_014M,C25122_015E,C25122_015M,C25122_016E,C25122_016M,C25122_017E,C25122_017M,C25122_018E,C25122_018M,C25122_019E,C25122_019M,C25122_020E,C25122_020M,C25122_021E,C25122_021M,C25122_022E,C25122_022M,C25122_023E,C25122_023M,C25122_024E,C25122_024M,C25122_025E,C25122_025M,C25122_026E,C25122_026M,C25122_027E,C25122_027M,C25122_028E,C25122_028M,C25122_029E,C25122_029M,C25122_030E,C25122_030M,C25122_031E,C25122_031M,NAME,C25122_001MA,C25122_001EA,C25122_002MA,C25122_002EA,C25122_003MA,C25122_003EA,C25122_004MA,C25122_004EA,C25122_005EA,C25122_005MA,C25122_006MA,C25122_006EA,C25122_007MA,C25122_007EA,C25122_008EA,C25122_008MA,C25122_009MA,C25122_009EA,C25122_010EA,C25122_010MA,C25122_011EA,C25122_011MA,C25122_012MA,C25122_012EA,C25122_013EA,C25122_013MA,C25122_014MA,C25122_014EA,C25122_015MA,C25122_015EA,C25122_016EA,C25122_016MA,C25122_017EA,C25122_017MA,C25122_018MA,C25122_018EA,C25122_019MA,C25122_019EA,C25122_020MA,C25122_020EA,C25122_021EA,C25122_021MA,C25122_022EA,C25122_022MA,C25122_023EA,C25122_023MA,C25122_024MA,C25122_024EA,C25122_025MA,C25122_025EA,C25122_026EA,C25122_026MA,C25122_027EA,C25122_027MA,C25122_028EA,C25122_028MA,C25122_029MA,C25122_029EA,C25122_030MA,C25122_030EA,C25122_031MA,C25122_031EA,state
0400000US06,5770841,24980,578088,11766,94537,5274,210495,6546,240238,7733,32818,2930,917400,14597,166792,5637,392377,9982,327092,9632,31139,2560,1102800,17420,45881,3531,462368,10325,557121,11528,37430,3275,851955,13033,20090,2189,257414,7498,549330,10953,25121,2870,962571,16504,11559,1604,187341,7150,740814,14372,22857,2082,1358027,17422,7835,1648,101186,4761,1221207,17519,27799,2480,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,717930,9538,88594,4196,23981,2516,41669,3132,18571,2151,4373,1055,112877,4607,20178,1932,62813,3398,24651,2585,5235,1069,155435,6235,11194,1892,95552,5331,43651,3347,5038,1060,116376,5788,3815,892,60571,4224,48852,3884,3138,707,123876,5474,2558,876,45235,3251,73202,4275,2881,647,120772,5839,1379,674,21616,2405,94274,5221,3503,768,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,449360,8680,60225,3642,18005,1752,20616,2468,18586,2544,3018,951,78349,4175,22121,2102,29686,2653,23082,2511,3460,874,89460,4738,6075,1188,43328,2979,37099,3250,2958,756,59747,3304,1860,728,26210,2832,29320,2724,2357,739,74646,4679,1430,557,24128,2722,46594,3723,2494,769,86933,5580,928,457,13714,1951,67839,4959,4452,1059,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,99258,4117,11837,1892,3400,966,4252,978,3346,989,839,347,14287,2382,3429,889,6368,1449,3607,1074,883,505,23472,2626,1687,655,14312,2287,6491,1352,982,440,13810,1744,572,369,6303,1134,6251,1338,684,343,18205,2293,853,547,6978,1523,10057,1693,317,222,17647,2160,195,177,3521,880,13404,2288,527,311,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,155981,4855,24190,2274,7973,1251,6134,1036,9057,1594,1026,520,17336,1696,4903,860,6588,1169,5569,1095,276,225,22727,2298,2613,821,9126,1341,10519,1692,469,281,20835,2114,693,465,7251,1270,12705,1795,186,180,21514,2296,450,304,5312,1231,15404,1864,348,205,49379,2920,571,429,3328,826,44649,3022,831,445,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2473515,22250,343991,9766,72420,4580,166436,7410,81126,5002,24009,2692,445078,11843,60613,4204,247767,8887,111618,5652,25080,2579,570923,14070,26871,2830,328176,10674,188764,7768,27112,2759,397699,10378,9605,1590,194192,7111,177404,6371,16498,2013,373620,10653,4894,1299,122962,6222,231892,8435,13872,1996,342204,10795,3149,1032,59337,3917,265775,9912,13943,1889,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1284206,16668,222646,7171,59151,4083,106036,5047,31720,2880,25739,2932,236107,9001,51129,3739,135473,6824,30579,3410,18926,2267,291473,9123,25605,3167,191296,7184,59330,4758,15242,1933,195987,8218,9443,1743,113077,6118,63387,3997,10080,1638,184154,8120,5610,1220,88729,4988,80205,4794,9610,1916,153839,6725,2475,759,45472,3922,100882,6211,5010,1019,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,192978,4122,17959,2201,4347,861,4223,1008,7711,1557,1678,534,22174,2653,3861,829,7553,1175,9265,1838,1495,441,30130,2529,1383,475,8178,1295,17413,2079,3156,1033,29666,2335,677,327,5358,1067,21633,2103,1998,536,37887,2473,734,413,5331,939,29507,2280,2315,597,55162,3410,470,256,2948,813,48817,3361,2927,736,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,184435,6150,25365,2912,10050,1600,11878,2130,1730,566,1707,646,37654,3389,11044,1653,21110,2555,3448,1370,2052,581,46727,3637,6101,1149,31661,2858,6090,1578,2875,704,30820,3210,3066,784,20067,2679,4914,1147,2773,1120,24701,2644,1475,599,14562,2191,6811,1464,1853,509,19168,2504,491,460,6906,1223,10678,2171,1093,565,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1593090,15616,259185,7863,82818,4383,109374,5142,48776,3634,18217,2322,275580,8177,64547,3654,143437,5482,54728,4093,12868,2103,332106,8603,32588,2008,205346,7441,79838,4311,14334,2011,234215,7490,11157,1597,135979,6566,77461,3901,9618,1217,237587,6775,7448,1127,113135,5240,109250,5158,7754,1100,254417,7095,5095,1109,65938,4124,172968,6402,10416,1507,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
