GEO_ID,C15003_001E,C15003_001M,C15003_002E,C15003_002M,C15003_003E,C15003_003M,C15003_004E,C15003_004M,C15003_005E,C15003_005M,C15003_006E,C15003_006M,C15003_007E,C15003_007M,C15003_008E,C15003_008M,C15003_009E,C15003_009M,C15003_010E,C15003_010M,C15003_011E,C15003_011M,C15003_012E,C15003_012M,C15003_013E,C15003_013M,C15003_014E,C15003_014M,C15003_015E,C15003_015M,C15003_016E,C15003_016M,C15003_017E,C15003_017M,C15003_018E,C15003_018M,NAME,C15003_001EA,C15003_001MA,C15003_002MA,C15003_002EA,C15003_003MA,C15003_003EA,C15003_004EA,C15003_004MA,C15003_005EA,C15003_005MA,C15003_006EA,C15003_006MA,C15003_007EA,C15003_007MA,C15003_008MA,C15003_008EA,C15003_009EA,C15003_009MA,C15003_010EA,C15003_010MA,C15003_011EA,C15003_011MA,C15003_012EA,C15003_012MA,C15003_013MA,C15003_013EA,C15003_014MA,C15003_014EA,C15003_015EA,C15003_015MA,C15003_016EA,C15003_016MA,C15003_017EA,C15003_017MA,C15003_018MA,C15003_018EA,state
0400000US06,24779784,3987,609711,13377,447857,11496,988602,18504,463313,13041,533933,13214,370771,9807,528707,11731,643839,13188,4558433,31014,549534,11994,1411077,18959,4054381,25280,1959097,21968,4865203,31380,1861112,21782,569482,11971,364732,8288,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3444654,3718,29793,2498,18713,2111,46119,4887,42685,3818,41992,3200,40081,3406,57175,4551,47377,3454,619568,11596,132632,5818,209243,6911,580017,8862,288253,7592,818469,13724,342776,8853,76550,3750,53211,3614,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2457978,1904,22425,2620,15702,2271,25671,2938,38347,3082,29420,2658,40605,3357,40853,3351,36163,2889,607054,10988,75153,4492,130546,5221,302473,6991,182429,4839,503440,9936,294155,7730,73294,3696,40248,3025,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,618612,1103,5448,1124,3359,936,6494,1745,10190,1813,7987,1392,12740,1837,15341,2083,9742,1587,173099,5688,21805,2206,38540,2509,86847,4595,44331,3053,111921,5213,52001,3845,9864,1328,8903,1201,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,439531,534,5055,954,3916,1106,3311,994,6929,1424,5882,1075,5571,1268,11681,1540,7794,1408,69175,4162,11906,1792,15782,2133,45655,2918,14083,1888,100904,4522,77488,4099,38125,2877,16274,1731,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13503747,6413,172988,8734,101003,7202,222589,9916,222707,8895,212914,8595,293225,10587,299839,10859,296193,9784,3457338,32714,562857,12665,863192,15089,1939033,26864,1236800,23291,2329936,24428,874523,13218,272260,7952,146350,5974,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6403838,8246,75146,5277,53359,4911,92065,5921,136782,6769,129825,5568,177569,7236,186567,8439,108712,7293,1492541,17951,318325,9412,365365,10364,1007268,19155,453039,10789,1140757,18884,468599,11364,123173,5571,74746,4406,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,952281,1173,10657,1438,3933,929,13951,1974,12451,1383,8776,1729,11444,1915,14592,1995,15682,1970,244511,7252,24793,2429,49630,2496,159959,5763,95686,4961,186586,5291,66566,3527,22483,2218,10581,1303,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1012786,2996,8842,1534,6565,1695,12407,2037,13624,1829,10679,1733,18883,2479,19180,2228,13177,2058,229196,7911,51266,3628,88109,4704,191670,6969,91295,5029,175020,7778,56911,4077,14927,1783,11035,1732,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8558895,4172,95553,5265,58991,4317,152756,6512,173031,7555,116687,5684,145346,5636,166938,7291,151829,6162,2006099,22899,307103,8674,565971,9579,1264199,16780,647039,11649,1684348,17797,751407,12053,175113,6110,96485,4912,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
