GEO_ID,B15012_001E,B15012_001M,B15012_002E,B15012_002M,B15012_003E,B15012_003M,B15012_004E,B15012_004M,B15012_005E,B15012_005M,B15012_006E,B15012_006M,B15012_007E,B15012_007M,B15012_008E,B15012_008M,B15012_009E,B15012_009M,B15012_010E,B15012_010M,B15012_011E,B15012_011M,B15012_012E,B15012_012M,B15012_013E,B15012_013M,B15012_014E,B15012_014M,B15012_015E,B15012_015M,B15012_016E,B15012_016M,NAME,B15012_001MA,B15012_001EA,B15012_002MA,B15012_002EA,B15012_003MA,B15012_003EA,B15012_004EA,B15012_004MA,B15012_005EA,B15012_005MA,B15012_006MA,B15012_006EA,B15012_007MA,B15012_007EA,B15012_008MA,B15012_008EA,B15012_009EA,B15012_009MA,B15012_010EA,B15012_010MA,B15012_011MA,B15012_011EA,B15012_012MA,B15012_012EA,B15012_013MA,B15012_013EA,B15012_014MA,B15012_014EA,B15012_015EA,B15012_015MA,B15012_016MA,B15012_016EA,state
0400000US06,8190691,37916,404359,11431,529371,10245,276512,7769,429242,10551,833045,11706,790422,14629,65456,4749,635873,11270,1481129,17755,601139,12286,438832,10179,496589,12873,484169,9178,333872,9550,390681,9960,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1405590,17547,68522,4279,98907,4004,58405,3606,75683,3917,114952,4708,114477,5225,12383,1928,114906,6068,270635,7238,141631,5946,64006,3267,70409,4052,59581,4134,63578,4229,77515,4225,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,982149,12573,42187,3412,50137,3280,33322,2360,60516,3741,99803,4356,75407,4165,3784,786,83891,4291,182663,6582,110373,4106,62315,3591,57278,3594,40892,2985,33611,2716,45970,3535,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,195863,7350,7934,1258,13837,1899,9658,1396,8065,1340,12794,1844,15690,1608,1816,589,17214,1987,41770,3073,24751,2443,8032,1272,10052,1374,6132,1151,5423,1033,12695,2052,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,262638,6391,9354,1506,13238,1789,7971,1397,12142,1932,66873,3658,10873,1785,5022,964,9250,1255,30483,2552,11514,1546,26167,2118,23358,2300,12535,1507,14888,2031,8970,1782,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3854707,32040,149128,6978,191580,7149,126179,5682,182838,6921,288716,8670,289094,9407,22109,2731,373037,11676,895474,15266,559984,11385,141276,6313,173114,6799,121626,4533,136801,6871,203751,7400,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1918345,22630,94794,5315,101268,6405,54197,3803,91442,5139,134342,6289,133763,6643,8205,1408,165807,6308,462862,12474,259815,8440,74500,5113,83023,4810,70888,4453,74509,4515,108930,4918,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,303431,6636,10571,1499,21995,2338,9775,1310,15496,1696,31187,2593,18602,1623,1709,473,25699,2240,61472,3788,38670,2707,14842,1481,14609,1384,13413,1516,10208,1340,15183,1901,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,278862,10741,6934,1489,26509,2436,9804,1799,12491,2046,19538,2563,19804,2199,1384,560,30256,3374,46949,4089,45640,3210,11269,1727,12274,1734,9574,1872,10268,1663,16168,2085,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2914665,23225,135894,5685,150702,4984,90723,5116,138178,5420,225209,6914,200986,6371,18106,2086,261294,7957,626933,14044,389214,8451,127491,5913,141959,5473,124671,5174,138953,4540,144352,5552,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
