GEO_ID,B10060_001E,B10060_001M,B10060_002E,B10060_002M,B10060_003E,B10060_003M,B10060_004E,B10060_004M,B10060_005E,B10060_005M,B10060_006E,B10060_006M,B10060_007E,B10060_007M,B10060_008E,B10060_008M,B10060_009E,B10060_009M,B10060_010E,B10060_010M,B10060_011E,B10060_011M,B10060_012E,B10060_012M,B10060_013E,B10060_013M,B10060_014E,B10060_014M,B10060_015E,B10060_015M,B10060_016E,B10060_016M,NAME,B10060_001EA,B10060_001MA,B10060_002EA,B10060_002MA,B10060_003MA,B10060_003EA,B10060_004EA,B10060_004MA,B10060_005MA,B10060_005EA,B10060_006MA,B10060_006EA,B10060_007EA,B10060_007MA,B10060_008MA,B10060_008EA,B10060_009MA,B10060_009EA,B10060_010EA,B10060_010MA,B10060_011MA,B10060_011EA,B10060_012EA,B10060_012MA,B10060_013MA,B10060_013EA,B10060_014MA,B10060_014EA,B10060_015EA,B10060_015MA,B10060_016MA,B10060_016EA,state
0400000US06,1110960,19894,897430,19009,227792,9032,132377,6758,95415,4927,669638,15046,177099,8164,53150,4461,40401,3888,12749,1821,123949,7654,36431,3996,13335,2260,8580,1820,4755,1380,23096,2931,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88294,6236,71647,5800,28948,3516,20283,3028,8665,1373,42699,3998,9956,2262,3697,1218,3189,1160,508,315,6259,1893,6691,1621,3082,1097,1759,903,1323,618,3609,1276,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65291,4400,48372,4246,12950,2190,7917,1443,5033,1391,35422,3594,16731,2349,7523,1756,5803,1679,1720,689,9208,1649,188,162,79,92,33,53,46,75,109,109,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26483,3422,22174,3289,8249,1546,4667,1010,3582,1153,13925,2834,1423,604,607,409,390,324,217,229,816,401,2886,960,1315,823,908,827,407,213,1571,783,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10341,1736,6153,1164,1643,694,893,507,750,419,4510,1091,4188,1238,1319,674,940,588,379,351,2869,1003,0,197,0,197,0,197,0,197,0,197,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463705,13594,360229,11471,124797,7705,76130,6313,48667,4019,235432,8739,66883,6350,20664,2554,12653,2000,8011,1773,46219,5499,36593,3995,16503,2604,10651,2156,5852,1195,20090,2786,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,265530,12042,209881,10893,93515,6943,59522,5251,33993,3312,116366,7061,21536,2843,10526,2052,7472,1801,3054,1226,11010,2089,34113,3518,20454,2546,15082,2201,5372,1332,13659,2334,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54743,3527,45756,3246,11843,1927,6369,1700,5474,948,33913,2703,8947,1540,3292,1166,2504,967,788,427,5655,1318,40,66,40,66,0,177,40,66,0,177,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23085,2832,18941,2479,7453,1663,4400,1221,3053,1032,11488,1742,1278,678,540,392,326,331,214,200,738,550,2866,1038,1885,758,1271,630,614,364,981,611,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,275078,9959,208349,8785,73334,5234,48682,4323,24652,2455,135015,7125,58944,5273,20338,2598,14156,2084,6182,1406,38606,4357,7785,1454,4033,1188,2479,927,1554,613,3752,957,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
