B08126_090M,B08126_091E,B08126_091M,B08126_092E,B08126_092M,B08126_093E,B08126_093M,B08126_094E,B08126_094M,B08126_095E,B08126_095M,B08126_096E,B08126_096M,B08126_097E,B08126_097M,B08126_098E,B08126_098M,B08126_099E,B08126_099M,B08126_100E,B08126_100M,B08126_101E,B08126_101M,B08126_102E,B08126_102M,B08126_103E,B08126_103M,B08126_104E,B08126_104M,B08126_105E,B08126_105M,GEO_ID,B08126_001E,B08126_001M,B08126_002E,B08126_002M,B08126_003E,B08126_003M,B08126_004E,B08126_004M,B08126_005E,B08126_005M,B08126_006E,B08126_006M,B08126_007E,B08126_007M,B08126_008E,B08126_008M,B08126_009E,B08126_009M,B08126_010E,B08126_010M,B08126_011E,B08126_011M,B08126_012E,B08126_012M,B08126_013E,B08126_013M,B08126_014E,B08126_014M,B08126_015E,B08126_015M,B08126_016E,B08126_016M,B08126_017E,B08126_017M,B08126_018E,B08126_018M,B08126_019E,B08126_019M,B08126_020E,B08126_020M,B08126_021E,B08126_021M,B08126_022E,B08126_022M,B08126_023E,B08126_023M,B08126_024E,B08126_024M,B08126_025E,B08126_025M,B08126_026E,B08126_026M,B08126_027E,B08126_027M,B08126_028E,B08126_028M,B08126_029E,B08126_029M,B08126_030E,B08126_030M,B08126_031E,B08126_031M,B08126_032E,B08126_032M,B08126_033E,B08126_033M,B08126_034E,B08126_034M,B08126_035E,B08126_035M,B08126_036E,B08126_036M,B08126_037E,B08126_037M,B08126_038E,B08126_038M,B08126_039E,B08126_039M,B08126_040E,B08126_040M,B08126_041E,B08126_041M,B08126_042E,B08126_042M,B08126_043E,B08126_043M,B08126_044E,B08126_044M,B08126_045E,B08126_045M,B08126_046E,B08126_046M,B08126_047E,B08126_047M,B08126_048E,B08126_048M,B08126_049E,B08126_049M,B08126_050E,B08126_050M,B08126_051E,B08126_051M,B08126_052E,B08126_052M,B08126_053E,B08126_053M,B08126_054E,B08126_054M,B08126_055E,B08126_055M,B08126_056E,B08126_056M,B08126_057E,B08126_057M,B08126_058E,B08126_058M,B08126_059E,B08126_059M,B08126_060E,B08126_060M,B08126_061E,B08126_061M,B08126_062E,B08126_062M,B08126_063E,B08126_063M,B08126_064E,B08126_064M,B08126_065E,B08126_065M,B08126_066E,B08126_066M,B08126_067E,B08126_067M,B08126_068E,B08126_068M,B08126_069E,B08126_069M,B08126_070E,B08126_070M,B08126_071E,B08126_071M,B08126_072E,B08126_072M,B08126_073E,B08126_073M,B08126_074E,B08126_074M,B08126_075E,B08126_075M,B08126_076E,B08126_076M,B08126_077E,B08126_077M,B08126_078E,B08126_078M,B08126_079E,B08126_079M,B08126_080E,B08126_080M,B08126_081E,B08126_081M,B08126_082E,B08126_082M,B08126_083E,B08126_083M,B08126_084E,B08126_084M,B08126_085E,B08126_085M,B08126_086E,B08126_086M,B08126_087E,B08126_087M,B08126_088E,B08126_088M,B08126_089E,B08126_089M,B08126_090E,B08126_090MA,B08126_091EA,B08126_091MA,B08126_092EA,B08126_092MA,B08126_093EA,B08126_093MA,B08126_094EA,B08126_094MA,B08126_095MA,B08126_095EA,B08126_096EA,B08126_096MA,B08126_097EA,B08126_097MA,B08126_098EA,B08126_098MA,B08126_099EA,B08126_099MA,B08126_100EA,B08126_100MA,B08126_101MA,B08126_101EA,B08126_102MA,B08126_102EA,B08126_103MA,B08126_103EA,B08126_104EA,B08126_104MA,B08126_105MA,B08126_105EA,NAME,B08126_001EA,B08126_001MA,B08126_002MA,B08126_002EA,B08126_003MA,B08126_003EA,B08126_004MA,B08126_004EA,B08126_005EA,B08126_005MA,B08126_006MA,B08126_006EA,B08126_007MA,B08126_007EA,B08126_008MA,B08126_008EA,B08126_009MA,B08126_009EA,B08126_010EA,B08126_010MA,B08126_011EA,B08126_011MA,B08126_012EA,B08126_012MA,B08126_013MA,B08126_013EA,B08126_014MA,B08126_014EA,B08126_015MA,B08126_015EA,B08126_016EA,B08126_016MA,B08126_017EA,B08126_017MA,B08126_018MA,B08126_018EA,B08126_019MA,B08126_019EA,B08126_020EA,B08126_020MA,B08126_021EA,B08126_021MA,B08126_022EA,B08126_022MA,B08126_023EA,B08126_023MA,B08126_024MA,B08126_024EA,B08126_025EA,B08126_025MA,B08126_026MA,B08126_026EA,B08126_027EA,B08126_027MA,B08126_028EA,B08126_028MA,B08126_029MA,B08126_029EA,B08126_030EA,B08126_030MA,B08126_031EA,B08126_031MA,B08126_032EA,B08126_032MA,B08126_033EA,B08126_033MA,B08126_034EA,B08126_034MA,B08126_035MA,B08126_035EA,B08126_036EA,B08126_036MA,B08126_037EA,B08126_037MA,B08126_038EA,B08126_038MA,B08126_039EA,B08126_039MA,B08126_040MA,B08126_040EA,B08126_041EA,B08126_041MA,B08126_042EA,B08126_042MA,B08126_043EA,B08126_043MA,B08126_044EA,B08126_044MA,B08126_045EA,B08126_045MA,B08126_046MA,B08126_046EA,B08126_047EA,B08126_047MA,B08126_048EA,B08126_048MA,B08126_049EA,B08126_049MA,B08126_050EA,B08126_050MA,B08126_051MA,B08126_051EA,B08126_052MA,B08126_052EA,B08126_053MA,B08126_053EA,B08126_054EA,B08126_054MA,B08126_055EA,B08126_055MA,B08126_056EA,B08126_056MA,B08126_057MA,B08126_057EA,B08126_058MA,B08126_058EA,B08126_059MA,B08126_059EA,B08126_060EA,B08126_060MA,B08126_061MA,B08126_061EA,B08126_062MA,B08126_062EA,B08126_063MA,B08126_063EA,B08126_064MA,B08126_064EA,B08126_065EA,B08126_065MA,B08126_066EA,B08126_066MA,B08126_067EA,B08126_067MA,B08126_068MA,B08126_068EA,B08126_069MA,B08126_069EA,B08126_070MA,B08126_070EA,B08126_071EA,B08126_071MA,B08126_072EA,B08126_072MA,B08126_073MA,B08126_073EA,B08126_074MA,B08126_074EA,B08126_075EA,B08126_075MA,B08126_076EA,B08126_076MA,B08126_077EA,B08126_077MA,B08126_078EA,B08126_078MA,B08126_079MA,B08126_079EA,B08126_080EA,B08126_080MA,B08126_081MA,B08126_081EA,B08126_082EA,B08126_082MA,B08126_083EA,B08126_083MA,B08126_084MA,B08126_084EA,B08126_085EA,B08126_085MA,B08126_086EA,B08126_086MA,B08126_087EA,B08126_087MA,B08126_088EA,B08126_088MA,B08126_089EA,B08126_089MA,B08126_090EA,state
1417,865162,15704,17331,2001,42798,3590,47498,3799,29521,3209,57152,3713,21147,2873,38948,3487,88105,4942,213391,8058,165930,6957,50308,4038,51736,3673,25312,2788,15985,2933,0400000US06,16432358,41929,392605,10350,950838,16169,1623241,20698,492453,9792,1845604,23211,742965,13913,462555,10919,1034417,20232,2088161,21260,3382902,27683,1657109,24305,893384,16230,728496,13739,137628,5904,12059924,50107,237244,8960,693144,12726,1248022,18064,377240,8210,1406963,23085,596726,12055,335184,8686,765834,16816,1408715,19340,2559532,26511,1152919,22023,631787,13396,568569,12001,78045,4963,1821450,24221,100189,7344,157805,7395,204335,7885,55116,3746,175832,6616,71493,4468,37113,3285,81459,4896,232999,8533,340018,9710,173900,7723,99170,5129,75690,4557,16331,2388,851099,15586,6605,1437,29497,2889,70794,4838,15403,1862,101335,5804,26301,2305,26281,2748,58796,4468,135176,5612,144764,6897,135989,6529,61432,3670,35936,2441,2790,945,441486,12725,11128,2004,10015,2002,20397,2422,5804,1302,60836,4751,5099,1095,11099,2171,27041,2681,44745,3821,102059,5431,86866,6299,29089,2313,9851,1526,17457,2584,393237,12829,20108,4180,17579,2443,32195,2750,9369,1500,43486,4091,22199,2515,13930,1987,13182,1431,53135,4475,70599,4018,57127,4206,20170,2575,13138,1966,7020,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
235,168214,6844,6786,1023,9732,1819,12248,1407,4962,1131,10638,1779,3382,1227,6586,1430,16855,1966,47796,3464,26018,2154,10090,1595,10806,1517,2257,821,58,62,0400000US08,2538793,15597,65563,3825,180381,7310,179290,6525,65246,3421,273311,9442,115178,5212,71323,4116,172449,6362,341085,8509,510332,11778,277139,9958,128063,5894,127315,5568,32118,2572,1889150,18419,43192,3104,131313,5941,138203,6018,51316,3150,215523,7734,93798,4761,54134,3052,129812,5690,229726,6889,398280,9883,187665,8067,94424,4899,102399,4802,19365,2449,245831,9352,9961,1723,29849,3147,18493,2147,5968,1342,23220,2746,9030,1561,6593,1667,10371,1707,29433,3511,41934,3233,31134,3228,13536,2093,12614,2260,3695,1215,81980,5100,1182,432,2181,832,2903,1132,1261,536,8950,1993,3136,750,1822,614,4748,947,13888,2273,14218,2048,19739,2834,2895,924,4924,1127,133,160,85695,5233,3011,877,3280,1015,2900,967,571,381,6927,1322,1372,583,1228,413,7787,1739,9179,1266,16842,2029,17454,2595,4121,1098,2482,917,8541,858,67923,4403,1431,524,4026,1271,4543,1010,1168,406,8053,1402,4460,1134,960,494,2876,746,11063,1778,13040,1792,11057,1737,2281,784,2639,808,326,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
229,71540,4258,483,335,3541,953,4098,1013,2416,644,5410,929,1471,729,2698,682,11172,1573,21055,2248,9076,1312,4008,1032,4303,877,759,353,1050,677,0400000US09,1728325,12264,6968,1510,93896,5547,185892,5818,42140,2837,187521,7161,62084,4316,41865,3569,159777,6036,189914,6858,457927,10218,150998,6692,78411,5109,62623,3565,8309,1211,1358109,13375,4831,1218,72671,4507,155574,5633,35437,2564,147462,6544,51924,4092,31972,3060,122722,5126,131194,5284,378758,9505,107434,5720,58971,4495,55257,3546,3902,1008,142303,6353,1369,781,13543,2525,15260,2231,2611,1082,16573,1986,3787,862,2426,948,7583,1311,17478,2853,30892,2880,18068,2137,8090,1852,4129,934,494,393,82482,5268,0,193,2040,881,5383,1273,1025,464,9217,1566,2563,958,3901,858,14896,1614,13493,1847,14656,1845,10507,2270,3262,935,1539,564,0,193,51475,4279,251,307,755,376,3290,1160,473,267,5952,1413,903,559,611,352,2371,855,4725,1347,18895,2503,7869,1497,2262,672,458,217,2660,681,22416,2678,34,57,1346,555,2287,1021,178,180,2907,922,1436,828,257,221,1033,500,1969,760,5650,1212,3112,808,1523,688,481,318,203,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
56,18567,2031,685,542,1683,724,1199,564,728,439,1377,478,55,60,804,482,3376,1057,4081,1062,2551,669,665,483,1017,518,346,225,0,182,0400000US10,421883,5569,4818,1236,25554,2594,39502,3243,8339,1479,50765,3487,19367,2351,7078,1199,41890,3045,43163,3763,98203,4367,35539,3541,19424,2132,25620,2235,2621,849,343732,6538,3253,886,20049,2407,33737,3190,6975,1336,42392,3423,16981,2295,5243,960,33812,2868,32362,3134,81964,4229,27441,3251,16079,2013,21212,2025,2232,820,34036,2891,650,497,2685,827,3617,1055,453,376,3239,1080,972,425,572,484,2969,752,3738,1105,7746,1212,3720,960,1227,550,2204,784,244,207,10725,1732,55,93,103,125,392,307,154,131,2017,874,480,380,301,308,1096,518,1252,539,1782,608,1308,514,462,342,1323,544,0,182,9550,1740,175,230,283,247,264,204,0,182,905,461,149,145,56,77,395,187,1630,829,3379,1028,1409,496,610,337,183,158,112,153,5273,1134,0,182,751,436,293,302,29,47,835,449,730,519,102,120,242,263,100,101,781,383,996,588,29,38,352,227,33,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
136,15129,1890,0,197,275,219,164,145,193,188,596,321,104,136,393,213,817,373,5769,1160,2724,857,1397,531,1151,486,1135,393,411,671,0400000US11,326143,6312,208,184,10499,2088,4116,1038,1641,673,15340,2135,9909,1582,14029,1817,16258,1970,70101,3871,65546,3429,31632,3025,30143,3531,53393,3170,3328,898,111088,5103,52,88,4374,1030,1996,643,946,468,4751,1333,5414,1276,3297,914,7567,1272,21195,2310,28270,2765,7350,1563,8251,2021,16563,1934,1062,440,18396,2250,24,42,1605,585,375,505,169,202,951,602,990,611,1078,575,1161,552,2481,712,4347,971,942,476,1289,514,2875,907,109,178,125890,5558,132,154,3291,1356,1227,544,228,225,7350,1534,2676,778,5205,1058,3888,836,28939,2493,20238,2635,15104,2136,14096,2044,23024,2546,492,494,38795,3712,0,197,257,242,293,275,105,140,1184,548,231,181,2574,957,2052,816,8305,1599,7477,1133,4580,1302,3526,1034,7115,1444,1096,881,16845,2756,0,197,697,797,61,101,0,197,508,398,494,381,1482,806,773,503,3412,854,2490,847,2259,775,1830,689,2681,723,158,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
494,404287,11109,4319,1091,28377,3406,19767,2883,16107,2486,31945,3603,13586,2602,12301,1892,52801,4135,111377,6078,51919,4276,21382,2721,25200,3357,6294,1488,8912,1862,0400000US12,8161313,33163,90644,6598,499788,13479,431062,11391,233638,8046,1118235,20902,395418,12077,156561,7185,625554,13832,1021519,20376,1731909,22575,977665,20367,431052,12541,396538,11787,51730,3631,6473106,37786,50388,4147,361147,11097,348171,10449,187125,7651,909553,19055,331039,10646,127015,6416,509697,12791,747254,16977,1452383,20011,741718,16997,323500,11217,349975,10814,34141,3181,795280,17080,22134,3658,81445,5960,43287,3400,20695,2715,106289,6815,28231,2743,10135,2059,38213,3867,106679,7504,154881,6791,105714,6526,46983,4364,26458,2853,4136,1084,177143,9552,4364,1964,9590,2522,5976,1527,3803,1210,26082,2714,4179,1092,2133,874,5084,1178,19881,2808,28369,2549,47186,5218,15097,2533,4860,1057,539,367,127838,7423,4028,1930,5531,1617,4344,1236,1466,676,18640,2332,3604,963,1620,623,10877,2061,12506,1966,20693,2759,28199,3592,11118,2326,2322,782,2890,1476,183659,7268,5411,1893,13698,2464,9517,1521,4442,1250,25726,3026,14779,1902,3357,1001,8882,1719,23822,3143,23664,2605,33466,3813,9154,1536,6629,1527,1112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
308,201470,6626,3801,919,11015,2221,15977,2658,6339,1273,12217,1583,5221,1495,8862,1712,20311,2590,59576,4634,25997,2389,8414,1569,11000,2266,4533,1226,8207,1446,0400000US13,4213128,24999,46441,3954,258544,11003,461208,10425,111001,5770,498481,12683,239768,9883,99380,5347,265443,9659,497586,13280,863163,13414,390731,12624,203104,7534,227095,10492,51183,3587,3353644,22638,30729,2881,174441,8643,376791,10797,89764,5608,419719,12256,204422,9376,78951,4686,217238,8434,359900,11202,712110,12839,296379,11762,160534,6484,198318,9490,34348,3353,439477,13300,7812,1859,62417,6083,53522,3812,11698,2053,44710,4276,18205,1910,7433,1665,18363,3588,49546,4824,80894,5197,43074,4310,22786,2352,15756,2148,3261,897,82974,5095,341,288,3407,1458,4461,1362,313,194,8654,1975,4950,1327,2472,740,2704,767,11655,1588,16751,2361,18182,2612,3135,998,5329,1329,620,312,71148,4804,2096,905,2167,700,3764,989,1405,905,7189,1549,1413,629,668,472,4622,1205,5899,1459,17951,2409,15618,2765,3214,851,841,520,4301,938,64415,5076,1662,636,5097,1367,6693,1489,1482,856,5992,1514,5557,1232,994,578,2205,818,11010,2066,9460,1597,9064,2044,2435,1112,2318,837,446,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
717,29476,2735,893,516,2433,877,1209,661,928,310,2008,674,924,474,594,313,3125,926,6716,1283,3441,786,1675,676,2478,716,628,503,2424,1001,0400000US15,670355,7481,10647,2105,44377,2931,19636,2158,13475,2049,78238,5106,37513,2579,9103,1431,39626,3221,70700,4114,120043,4853,103627,4693,29466,2311,56406,3799,37498,2545,437154,8837,6622,1408,30757,2410,12659,1879,9402,1617,48673,3962,28903,2462,6286,1115,25455,2578,40887,2914,81690,3454,62558,3666,18675,1990,42085,3012,22502,2315,102542,5152,1803,722,7793,1394,3232,748,1703,564,12659,2281,4589,917,1111,472,6398,1138,10580,1630,21821,2323,14103,1727,4838,1067,7613,1451,4299,1084,45177,3416,466,423,1191,518,1445,482,899,544,7990,1605,848,320,517,316,2706,646,6621,1302,5739,1034,12128,1797,1951,642,2563,640,113,118,31804,2894,404,304,889,439,603,345,363,340,3809,838,962,560,352,250,1384,500,3279,838,3646,761,7289,1725,1237,637,1705,748,5882,1192,24202,2650,459,452,1314,712,488,340,180,124,3099,1015,1287,490,243,180,558,314,2617,812,3706,961,5874,1169,287,220,1812,663,2278,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
62,41017,3189,3953,1346,3303,1017,2680,790,1001,523,3086,1024,1707,861,665,339,2398,793,9247,1797,7910,1495,1835,546,2395,742,837,389,0,187,0400000US16,697765,7911,39033,2669,52320,3810,67484,4587,21114,2613,85114,4593,30820,2803,13025,2460,35076,3201,62686,4250,159682,5562,65386,4895,29825,2895,33480,2962,2720,710,542709,9910,26087,2184,39235,3652,53111,4342,17726,2336,70258,4309,24021,2539,11105,2303,29395,3009,42999,3425,127218,4997,49705,4088,22731,2532,27132,2754,1986,610,70227,5655,4784,1294,7810,1597,7489,1717,1224,420,6876,1413,3445,901,716,412,2055,670,5835,1366,16143,2156,7789,2083,2600,771,3033,774,428,309,5925,1058,331,251,207,201,1019,460,0,187,339,324,388,282,0,187,171,187,1219,497,782,424,830,501,47,76,592,446,0,187,20109,2007,2187,685,584,357,1170,607,303,208,2823,716,366,223,374,327,415,340,946,403,5601,1201,3201,937,1222,625,666,406,251,73,17778,2592,1691,734,1181,692,2015,812,860,503,1732,587,893,342,165,193,642,432,2440,783,2028,694,2026,785,830,555,1220,586,55,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
305,244042,7533,9601,1446,13648,2233,20157,2615,8103,1232,16312,2037,6889,1278,9015,1330,24689,2563,58842,4162,41253,3493,10097,1474,18117,2112,4534,1142,2785,1151,0400000US17,5927604,21876,62431,3882,294877,9120,753532,14757,171803,6580,651468,12500,349914,10250,122545,5435,435381,9723,660556,12105,1346523,15239,538383,12079,290276,9732,233379,7619,16536,1188,4362024,21463,42980,3017,223599,7187,594898,12548,139859,5706,505162,11360,286344,9005,86203,4724,290874,7551,393661,8995,1035779,13266,364621,8676,207061,8070,184344,6260,6639,1199,526666,12110,4272,1011,41075,3400,91304,5587,13117,1619,54469,3929,23618,2582,8195,1640,26697,3341,60925,5049,104518,5276,56085,4196,23821,2307,17663,2156,907,426,506351,11780,731,426,8784,1799,26272,2879,6335,1074,46072,3412,19782,2622,12307,1612,74574,4979,112747,5578,95737,4932,62071,4190,20359,2363,20467,2039,113,121,186595,7673,3491,954,3981,1048,9189,1445,2023,722,19717,2412,5507,1188,3771,1378,13489,2377,18721,2606,51756,3477,29858,3012,15743,2505,3644,942,5705,1218,101926,5526,1356,668,3790,934,11712,1872,2366,810,9736,1595,7774,1441,3054,1196,5058,1424,15660,2583,17480,1859,15651,2315,5175,990,2727,717,387,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
