GEO_ID,B24081_001E,B24081_001M,B24081_002E,B24081_002M,B24081_003E,B24081_003M,B24081_004E,B24081_004M,B24081_005E,B24081_005M,B24081_006E,B24081_006M,B24081_007E,B24081_007M,B24081_008E,B24081_008M,B24081_009E,B24081_009M,NAME,B24081_001MA,B24081_001EA,B24081_002EA,B24081_002MA,B24081_003EA,B24081_003MA,B24081_004EA,B24081_004MA,B24081_005EA,B24081_005MA,B24081_006MA,B24081_006EA,B24081_007EA,B24081_007MA,B24081_008EA,B24081_008MA,B24081_009EA,B24081_009MA,state
0400000US06,32873,313,31566,128,31071,136,53032,3042,38322,921,47531,713,47132,818,55874,770,22789,683,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,35110,358,33799,881,32671,797,46510,3094,35927,775,41387,901,38182,1977,55771,2094,21776,647,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41061,314,40249,402,39562,911,60529,3221,40700,811,51398,1020,56800,1954,55971,2167,30330,1914,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36208,743,35100,1738,34877,2049,40943,5120,36977,1922,40116,4831,41901,2144,53858,3995,24428,4337,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,50891,921,41084,1092,40578,1469,80103,31298,50748,2318,54120,3741,55635,8124,86817,3670,32089,6664,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,29680,340,27521,338,26978,198,40720,621,32372,615,39499,491,36457,719,54058,1345,16987,361,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31169,207,30460,245,30082,326,41871,877,32981,1394,36416,773,35107,1233,51846,837,19918,1221,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,33135,1088,30563,438,30195,457,46215,5732,37254,3218,44849,5672,41831,1145,55507,3850,22510,3491,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,26842,445,25809,576,25153,605,42462,9294,28175,2994,31551,1106,33488,2457,51256,2430,20960,1161,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,35115,223,33224,493,32379,189,50635,689,35637,568,45770,946,41794,781,55615,1029,21981,464,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30837,199,30518,224,30297,239,40661,1790,30694,687,35965,682,35148,1053,55830,1900,21446,845,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31656,229,31364,237,31096,252,41494,1654,27929,1174,37875,1871,41773,1439,52436,3027,24397,2332,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
