GEO_ID,B07409_001E,B07409_001M,B07409_002E,B07409_002M,B07409_003E,B07409_003M,B07409_004E,B07409_004M,B07409_005E,B07409_005M,B07409_006E,B07409_006M,B07409_007E,B07409_007M,B07409_008E,B07409_008M,B07409_009E,B07409_009M,B07409_010E,B07409_010M,B07409_011E,B07409_011M,B07409_012E,B07409_012M,B07409_013E,B07409_013M,B07409_014E,B07409_014M,B07409_015E,B07409_015M,B07409_016E,B07409_016M,B07409_017E,B07409_017M,B07409_018E,B07409_018M,B07409_019E,B07409_019M,B07409_020E,B07409_020M,B07409_021E,B07409_021M,B07409_022E,B07409_022M,B07409_023E,B07409_023M,B07409_024E,B07409_024M,B07409_025E,B07409_025M,B07409_026E,B07409_026M,B07409_027E,B07409_027M,B07409_028E,B07409_028M,B07409_029E,B07409_029M,B07409_030E,B07409_030M,NAME,B07409_001EA,B07409_001MA,B07409_002MA,B07409_002EA,B07409_003EA,B07409_003MA,B07409_004EA,B07409_004MA,B07409_005MA,B07409_005EA,B07409_006EA,B07409_006MA,B07409_007MA,B07409_007EA,B07409_008EA,B07409_008MA,B07409_009EA,B07409_009MA,B07409_010MA,B07409_010EA,B07409_011MA,B07409_011EA,B07409_012MA,B07409_012EA,B07409_013MA,B07409_013EA,B07409_014EA,B07409_014MA,B07409_015MA,B07409_015EA,B07409_016MA,B07409_016EA,B07409_017MA,B07409_017EA,B07409_018MA,B07409_018EA,B07409_019EA,B07409_019MA,B07409_020EA,B07409_020MA,B07409_021MA,B07409_021EA,B07409_022MA,B07409_022EA,B07409_023MA,B07409_023EA,B07409_024MA,B07409_024EA,B07409_025EA,B07409_025MA,B07409_026MA,B07409_026EA,B07409_027MA,B07409_027EA,B07409_028MA,B07409_028EA,B07409_029MA,B07409_029EA,B07409_030EA,B07409_030MA,state
0400000US06,24653919,19230,4571353,27231,5101931,32496,7421880,30498,4805597,30751,2753158,25343,21381715,39479,4003213,27731,4415507,29785,6399153,28615,4152235,29343,2411607,23767,2313358,33193,443380,13815,498632,13848,718551,16438,434834,12545,217961,7819,625446,15909,90961,5395,124083,6610,201470,7704,137679,8110,71253,4561,333400,13024,33799,3901,63709,5151,102706,6976,80849,5378,52337,4426,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3399508,11017,321671,9279,746194,12722,1066411,13757,801327,13892,463905,10078,2889975,12770,265514,8429,636560,11661,899487,12227,681556,12642,406858,9403,265652,9665,32308,3760,59620,4668,86567,6444,60432,4208,26725,3072,147635,6899,17792,2466,30691,3114,50389,3764,34306,3014,14457,1919,96246,5771,6057,1364,19323,2697,29968,3442,25033,3189,15865,1956,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2449584,6702,246558,7650,679712,10620,613758,10299,505246,9858,404310,8604,2196464,9002,217261,7322,607228,9956,552276,9472,452575,9741,367124,8257,166420,7556,21607,2970,53238,3698,42122,3433,29111,3118,20342,2831,37329,3611,5259,1307,11149,2122,8980,1568,6785,1491,5156,1249,49371,4185,2431,703,8097,1504,10380,2134,16775,2148,11688,1866,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,610258,3999,71019,4445,191746,5517,168687,5267,110054,4910,68752,4444,548931,5491,62913,4160,172429,5238,152327,5707,98413,4867,62849,4093,42577,4047,6316,1521,15146,2301,10827,1718,7371,1822,2917,792,5114,1418,837,365,1467,644,1726,705,620,504,464,382,13636,2146,953,436,2704,856,3807,1140,3650,1044,2522,937,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,441351,5164,51851,3139,84200,4659,77656,4320,98235,4727,129409,4759,366480,3681,44928,2806,71142,4187,64784,3717,80906,4314,104720,4396,37265,3234,3996,1237,6857,1222,5464,1286,8459,1543,12489,1679,0,184,0,184,0,184,0,184,0,184,0,184,37606,4179,2927,1006,6201,1480,7408,1674,8870,1585,12200,2226,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,13304477,20711,1791851,25886,3968965,33338,3986480,28327,2288691,23594,1268490,18744,11596883,31056,1546423,22495,3470411,30925,3454785,27470,1999962,22117,1125302,17189,1095894,22171,163337,8513,332658,9977,342171,11858,176205,9095,81523,5393,342892,14276,52563,4530,96637,6522,107467,7560,56986,5013,29239,2943,268808,11677,29528,3508,69259,5060,82057,5765,55538,3601,32426,3655,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6364155,13584,950524,16387,1800219,18274,1811677,21855,1138699,18896,663036,12926,5540425,19476,811598,15989,1588556,18003,1556305,20388,993380,19086,590586,12439,422655,16070,85183,6731,116654,6974,131214,8000,63207,4927,26397,2623,257819,10786,40440,3901,66532,5147,81526,5434,45201,3901,24120,2943,143256,7777,13303,2377,28477,3053,42632,4139,36911,3833,21933,2716,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,941749,5533,91079,5269,265693,7452,301907,6902,185139,5501,97931,3973,824090,6729,81004,5028,233124,7353,262944,6609,160003,5020,87015,3769,80076,5609,7658,1801,24583,2626,25625,3256,15462,2006,6748,1281,3609,1215,575,458,1502,699,1116,571,297,226,119,155,33974,3683,1842,779,6484,1221,12222,2122,9377,1613,4049,1437,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1007890,5357,104927,5118,279569,8315,365836,9661,175106,7874,82452,5182,872262,7145,90065,4559,237625,7494,318518,9316,153784,7472,72270,4761,76906,4947,8181,1574,25939,2787,28245,3235,10292,1638,4249,1421,28796,3163,2740,995,9618,1851,10589,1991,3987,1103,1862,759,29926,3673,3941,1035,6387,1726,8484,1738,7043,1133,4071,1126,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,8550504,9573,1057782,15441,2316491,23901,2479307,19140,1674828,17664,1022096,14697,7578494,17558,925736,15390,2073218,21953,2204253,20962,1473235,16174,902052,13712,642718,14388,98925,6011,170853,6982,179017,6966,126613,7184,67310,4148,175734,7720,20695,2339,42502,3983,56351,4440,35205,3276,20981,2125,153558,7105,12426,2121,29918,2550,39686,3357,39775,3108,31753,3305,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
