GEO_ID,C25015_001E,C25015_001M,C25015_002E,C25015_002M,C25015_003E,C25015_003M,C25015_004E,C25015_004M,C25015_005E,C25015_005M,C25015_006E,C25015_006M,C25015_007E,C25015_007M,C25015_008E,C25015_008M,C25015_009E,C25015_009M,C25015_010E,C25015_010M,C25015_011E,C25015_011M,C25015_012E,C25015_012M,C25015_013E,C25015_013M,C25015_014E,C25015_014M,C25015_015E,C25015_015M,C25015_016E,C25015_016M,C25015_017E,C25015_017M,C25015_018E,C25015_018M,C25015_019E,C25015_019M,C25015_020E,C25015_020M,C25015_021E,C25015_021M,NAME,C25015_001MA,C25015_001EA,C25015_002EA,C25015_002MA,C25015_003EA,C25015_003MA,C25015_004EA,C25015_004MA,C25015_005EA,C25015_005MA,C25015_006EA,C25015_006MA,C25015_007EA,C25015_007MA,C25015_008EA,C25015_008MA,C25015_009EA,C25015_009MA,C25015_010EA,C25015_010MA,C25015_011EA,C25015_011MA,C25015_012MA,C25015_012EA,C25015_013EA,C25015_013MA,C25015_014EA,C25015_014MA,C25015_015EA,C25015_015MA,C25015_016EA,C25015_016MA,C25015_017EA,C25015_017MA,C25015_018EA,C25015_018MA,C25015_019EA,C25015_019MA,C25015_020EA,C25015_020MA,C25015_021EA,C25015_021MA,state
0400000US06,12552658,18433,6781817,25470,537858,10415,505040,10134,32818,2856,4314109,23017,4099331,22373,214778,6184,1929850,12500,1907025,12375,22825,2279,5770841,24980,1866721,16806,1587313,16326,279408,8568,3207419,21261,2751358,21948,456061,9560,696701,11384,673713,11272,22988,2499,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1278158,11129,144264,5106,140717,5069,3547,1005,827571,8943,817476,8783,10095,1622,306323,4891,305899,4913,424,253,717930,9538,301608,6167,283338,6302,18270,2225,341259,8017,322086,8334,19173,2324,75063,3778,74226,3675,837,497,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,908452,7756,67889,3853,66995,3892,894,384,591407,6021,586602,6068,4805,920,249156,3855,248667,3846,489,298,449360,8680,141767,5085,134820,4914,6947,1201,230024,7662,220793,7533,9231,1550,77569,3251,76635,3288,934,499,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,241050,3609,23536,1938,22929,1844,607,449,145264,3410,144185,3368,1079,448,72250,1960,71985,1968,265,249,99258,4117,34248,2139,32590,2152,1658,701,51087,3562,49008,3581,2079,849,13923,1408,13743,1461,180,212,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,110681,3549,12642,1392,12433,1406,209,204,66882,2930,65919,2812,963,550,31157,1605,31060,1609,97,77,155981,4855,62727,3108,59203,3090,3524,957,74694,3671,70234,3529,4460,1132,18560,1558,18316,1510,244,183,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,4724428,21345,343969,9527,333848,9368,10121,1802,2645020,18504,2590302,18281,54718,3595,1735439,12316,1728622,12304,6817,1136,2473515,22250,807867,14158,751318,13447,56549,4704,1306163,17420,1235789,17318,70374,4472,359485,8801,354297,8752,5188,1195,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,2248702,19411,231071,8126,226400,8099,4671,1075,1453870,14928,1434354,15088,19516,2175,563761,6249,561190,6244,2571,866,1284206,16668,491974,10582,461013,10497,30961,3183,660944,13046,631984,13285,28960,2806,131288,4720,130610,4685,678,392,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,254770,4107,18026,1921,16193,1954,1833,632,148661,3641,137590,3484,11071,1461,88083,2387,84871,2438,3212,663,192978,4122,64779,2732,56410,2492,8369,1469,102750,3092,89992,2930,12758,1734,25449,1947,24238,1964,1211,421,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,398671,5979,49757,3653,48202,3667,1555,705,237823,4765,232929,4783,4894,940,111091,2661,110817,2661,274,230,184435,6150,82585,4746,77906,4556,4679,1187,77886,4037,73393,3601,4493,1478,23964,2330,23491,2275,473,576,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3177104,16645,338216,6835,329421,6850,8795,1307,1993372,13382,1959068,13632,34304,2600,845516,6923,842679,6864,2837,616,1593090,15616,596259,9013,562189,8691,34070,2574,779546,11554,737482,11686,42064,3167,217285,6514,215543,6439,1742,555,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
