GEO_ID,C19101A_001E,C19101A_001M,C19101A_002E,C19101A_002M,C19101A_003E,C19101A_003M,C19101A_004E,C19101A_004M,C19101A_005E,C19101A_005M,C19101A_006E,C19101A_006M,C19101A_007E,C19101A_007M,C19101A_008E,C19101A_008M,C19101A_009E,C19101A_009M,C19101A_010E,C19101A_010M,C19101A_011E,C19101A_011M,NAME,C19101A_001MA,C19101A_001EA,C19101A_002EA,C19101A_002MA,C19101A_003MA,C19101A_003EA,C19101A_004EA,C19101A_004MA,C19101A_005EA,C19101A_005MA,C19101A_006MA,C19101A_006EA,C19101A_007MA,C19101A_007EA,C19101A_008EA,C19101A_008MA,C19101A_009MA,C19101A_009EA,C19101A_010EA,C19101A_010MA,C19101A_011EA,C19101A_011MA,state
0400000US06,5580705,28256,225746,7963,164262,7014,442160,10408,454388,10205,662258,11829,964381,16563,734339,13377,962780,13233,451099,7812,519292,7002,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1111521,9103,37120,3130,22974,2292,72108,4368,83025,4386,132428,5239,217898,6674,175698,5429,206360,5495,84813,4685,79097,3474,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,732446,8150,19331,2451,13407,1971,31366,3079,40813,2736,63213,3647,119308,4881,110113,4390,164794,5566,74904,3916,95197,4587,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,164007,3342,4097,901,2491,609,10028,1400,12190,1407,19208,1847,31218,2413,28456,2494,33820,2553,11977,1402,10522,1220,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,41095,2294,361,274,28,49,1044,610,769,371,1661,649,2564,753,3168,709,7970,1118,6537,1133,16993,1533,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3664479,20800,159109,7143,116279,6358,328885,8621,390797,9881,549743,10376,734665,13213,494123,11303,509217,10339,179129,7315,202532,6352,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1552921,12687,65912,4440,43375,3720,122825,5836,136424,6375,207030,7414,308480,7846,218582,7354,249465,7034,98350,4742,102478,5129,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,95284,3137,3172,1005,2015,938,6274,1183,5113,963,11403,1642,17228,2026,15072,1912,19080,1773,7678,1011,8249,1429,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,380018,6377,17360,2272,11205,1696,36357,2856,42962,3308,61295,3755,85741,4157,53184,3270,46647,3208,14294,2044,10973,1750,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2377800,13631,69507,3814,51761,3297,148282,5248,181181,5448,282515,7849,455871,9088,380387,9748,445019,10629,180072,5512,183205,5418,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1441837,11649,60456,3845,37157,3042,108071,4687,138453,5156,225164,5545,320279,6631,229533,6286,215006,6091,59510,3637,48208,2857,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,748635,6827,25198,2200,17784,1890,50027,3142,66298,3108,103585,4228,173545,4727,129161,3730,120026,4265,34164,2382,28847,2151,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,642510,5534,17474,1734,16226,1542,49396,2880,58154,3086,89048,3447,141960,4751,99365,3529,107766,3619,31840,2304,31281,2183,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,1026031,10020,59548,3390,43957,2783,104046,3984,107049,4746,152464,4850,211105,5857,143451,5388,135644,4623,37439,2598,31328,2137,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,749980,6715,26909,2640,24279,2519,58027,3147,67315,3918,97691,4271,143386,5648,116510,5164,127869,5381,44539,2699,43455,2736,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,335354,5207,13510,1745,10020,1389,28613,2343,33943,2657,48902,3130,76480,3864,50888,2406,48088,2516,12308,1433,12602,1433,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,887516,8464,16315,2030,13623,1742,34307,2577,42874,3191,75917,4197,140313,5194,131304,4282,204680,6118,109237,3798,118946,3589,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1319314,10922,36041,3083,26387,2440,68726,3509,80053,3811,121694,4737,211046,5851,197507,6406,285214,7967,139999,4561,152647,4808,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,2052154,12509,80489,3504,57077,2952,153420,4883,188871,4878,298758,6196,441006,7442,315736,5795,321129,7035,105671,3572,89997,3559,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1221950,8309,28198,1859,22753,2122,61870,3243,85438,3414,142225,4531,252819,5641,214526,4374,242457,6437,86371,3951,85293,3434,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,474342,6802,22125,2718,16587,2421,44808,3050,46979,3206,73448,4871,103380,4812,65467,4425,64457,3937,19131,2275,17960,2184,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1304339,11606,53029,3337,39698,3065,103229,4702,130442,4976,192825,5633,290397,7462,192693,6110,187489,6046,62646,3089,51891,3240,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,238563,4669,7561,1207,7731,1449,20123,2112,23140,2006,35824,2411,54116,3406,37621,2669,34933,2244,8908,1197,8606,1036,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,428595,5492,11813,1316,10228,1464,28205,2336,39496,2619,58603,3116,98859,3572,72538,3182,69589,3306,21110,1610,18154,1350,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,480349,8503,18381,2476,14237,1872,41996,3082,47423,3251,70631,3930,98856,5290,72525,3833,71007,4324,23954,2129,21339,1705,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,325108,5852,8738,1450,7083,1332,18098,2092,22346,2428,37675,2902,61007,2859,55295,3335,64388,2901,27992,2166,22486,1919,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
