GEO_ID,C19101I_001E,C19101I_001M,C19101I_002E,C19101I_002M,C19101I_003E,C19101I_003M,C19101I_004E,C19101I_004M,C19101I_005E,C19101I_005M,C19101I_006E,C19101I_006M,C19101I_007E,C19101I_007M,C19101I_008E,C19101I_008M,C19101I_009E,C19101I_009M,C19101I_010E,C19101I_010M,C19101I_011E,C19101I_011M,NAME,C19101I_001MA,C19101I_001EA,C19101I_002EA,C19101I_002MA,C19101I_003EA,C19101I_003MA,C19101I_004MA,C19101I_004EA,C19101I_005MA,C19101I_005EA,C19101I_006MA,C19101I_006EA,C19101I_007MA,C19101I_007EA,C19101I_008EA,C19101I_008MA,C19101I_009EA,C19101I_009MA,C19101I_010EA,C19101I_010MA,C19101I_011EA,C19101I_011MA,state
0400000US06,2852251,13626,198929,7338,156271,5550,396470,9641,358581,8880,470562,11984,531075,10562,307180,9018,294392,8071,85868,4248,52923,3015,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,224339,4560,17971,2386,12579,1683,32720,2677,30894,2868,35330,2717,39012,2778,26439,2706,21192,2510,5167,1066,3035,722,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,110775,2692,12323,1788,8107,1361,15500,1881,13757,2079,14368,1988,18119,2298,9924,1531,10701,1377,4401,1204,3575,865,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,15948,1350,1006,621,1228,617,1846,641,2034,707,2566,717,3853,917,1452,479,1140,524,491,275,332,313,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10751,1350,644,411,578,331,1359,642,970,657,2188,686,1551,739,682,400,1405,564,701,324,673,377,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,972475,10557,69929,4860,55955,4515,143506,6197,139000,6410,161252,7310,167518,6862,97190,5282,85143,4167,26486,2670,26496,2377,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,179168,5214,17102,2717,11241,2030,34793,3816,25128,3102,27056,3132,30060,3201,14905,2665,11517,2253,4534,1163,2832,897,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,22077,1757,1471,634,1348,746,2112,760,1123,410,3506,987,4759,1063,3127,932,3045,719,939,397,647,337,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35771,1952,3570,1178,1384,569,6817,1469,6641,1362,6789,1476,5759,1175,2714,862,1531,804,317,176,249,227,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,423911,7200,23515,2845,18411,2360,57006,3620,57562,3448,73494,4527,86491,4997,48648,2918,40435,3334,10960,1370,7389,1136,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,79632,3322,7532,1420,3982,1106,11022,1627,9751,1556,14341,1973,14228,1797,9066,1508,6358,1294,2408,901,944,605,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,31541,1975,2999,993,1078,505,4442,926,6014,1313,6300,1324,5442,1119,2570,788,1765,585,324,232,607,452,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,60560,2471,2850,945,3507,780,9254,1406,10308,1644,11623,1582,11744,1607,5912,1158,3565,858,902,452,895,406,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25287,1665,2789,920,1992,764,3906,986,4079,971,3803,1072,4082,890,1995,628,1931,655,362,280,348,269,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,41349,2434,2802,882,2856,1089,4385,1020,5551,1329,6852,1267,8553,1460,4666,1144,3022,809,1301,538,1361,541,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,2988,595,465,361,228,327,102,113,573,370,390,266,415,275,384,288,119,148,32,56,280,256,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,98356,2836,3528,926,3126,1026,9263,1691,10054,1730,14734,1974,22023,2175,11030,1958,13620,1687,6422,1238,4556,918,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,138549,4013,18359,2028,12232,1699,21753,2412,17369,1825,18759,2184,21039,2295,9765,1778,11024,1585,4849,998,3400,1014,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,88987,3500,8696,1353,5066,1016,14026,1744,10991,1401,15560,1967,13922,1611,8701,1277,7325,1265,2441,679,2259,598,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,48628,2331,3725,869,2554,683,6526,1067,7396,1459,7850,1388,8958,1535,4762,1083,3876,978,1418,598,1563,638,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,13593,1392,1218,603,952,512,2611,862,2851,840,1913,750,1603,463,892,412,647,433,497,369,409,341,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
