B27004_036E,B27004_036M,B27004_037E,B27004_037M,B27004_038E,B27004_038M,B27004_039E,B27004_039M,B27004_040E,B27004_040M,B27004_041E,B27004_041M,B27004_042E,B27004_042M,B27004_043E,B27004_043M,B27004_044E,B27004_044M,B27004_045E,B27004_045M,B27004_046E,B27004_046M,B27004_047E,B27004_047M,B27004_048E,B27004_048M,B27004_049E,B27004_049M,B27004_050E,B27004_050M,B27004_051E,B27004_051M,B27004_052E,B27004_052M,B27004_053E,B27004_053M,B27004_054E,B27004_054M,B27004_055E,B27004_055M,B27004_056E,B27004_056M,B27004_057E,B27004_057M,GEO_ID,B27004_001E,B27004_001M,B27004_002E,B27004_002M,B27004_003E,B27004_003M,B27004_004E,B27004_004M,B27004_005E,B27004_005M,B27004_006E,B27004_006M,B27004_007E,B27004_007M,B27004_008E,B27004_008M,B27004_009E,B27004_009M,B27004_010E,B27004_010M,B27004_011E,B27004_011M,B27004_012E,B27004_012M,B27004_013E,B27004_013M,B27004_014E,B27004_014M,B27004_015E,B27004_015M,B27004_016E,B27004_016M,B27004_017E,B27004_017M,B27004_018E,B27004_018M,B27004_019E,B27004_019M,B27004_020E,B27004_020M,B27004_021E,B27004_021M,B27004_022E,B27004_022M,B27004_023E,B27004_023M,B27004_024E,B27004_024M,B27004_025E,B27004_025M,B27004_026E,B27004_026M,B27004_027E,B27004_027M,B27004_028E,B27004_028M,B27004_029E,B27004_029M,B27004_030E,B27004_030M,B27004_031E,B27004_031M,B27004_032E,B27004_032M,B27004_033E,B27004_033M,B27004_034E,B27004_034M,B27004_035E,B27004_035M,B27004_036EA,B27004_036MA,B27004_037EA,B27004_037MA,B27004_038MA,B27004_038EA,B27004_039MA,B27004_039EA,B27004_040EA,B27004_040MA,B27004_041MA,B27004_041EA,B27004_042EA,B27004_042MA,B27004_043EA,B27004_043MA,B27004_044MA,B27004_044EA,B27004_045EA,B27004_045MA,B27004_046MA,B27004_046EA,B27004_047EA,B27004_047MA,B27004_048EA,B27004_048MA,B27004_049EA,B27004_049MA,B27004_050MA,B27004_050EA,B27004_051EA,B27004_051MA,B27004_052EA,B27004_052MA,B27004_053EA,B27004_053MA,B27004_054EA,B27004_054MA,B27004_055MA,B27004_055EA,B27004_056EA,B27004_056MA,B27004_057EA,B27004_057MA,NAME,B27004_001EA,B27004_001MA,B27004_002EA,B27004_002MA,B27004_003EA,B27004_003MA,B27004_004MA,B27004_004EA,B27004_005EA,B27004_005MA,B27004_006MA,B27004_006EA,B27004_007EA,B27004_007MA,B27004_008EA,B27004_008MA,B27004_009MA,B27004_009EA,B27004_010EA,B27004_010MA,B27004_011MA,B27004_011EA,B27004_012MA,B27004_012EA,B27004_013EA,B27004_013MA,B27004_014EA,B27004_014MA,B27004_015MA,B27004_015EA,B27004_016EA,B27004_016MA,B27004_017MA,B27004_017EA,B27004_018EA,B27004_018MA,B27004_019EA,B27004_019MA,B27004_020MA,B27004_020EA,B27004_021EA,B27004_021MA,B27004_022MA,B27004_022EA,B27004_023EA,B27004_023MA,B27004_024MA,B27004_024EA,B27004_025EA,B27004_025MA,B27004_026EA,B27004_026MA,B27004_027MA,B27004_027EA,B27004_028MA,B27004_028EA,B27004_029EA,B27004_029MA,B27004_030MA,B27004_030EA,B27004_031EA,B27004_031MA,B27004_032EA,B27004_032MA,B27004_033MA,B27004_033EA,B27004_034EA,B27004_034MA,B27004_035MA,B27004_035EA,state
1574360,18030,1928693,2947,892726,12713,1035967,12337,2646244,3681,1360167,15712,1286077,15957,2568332,3108,1491145,12598,1077187,12610,2620195,3499,1545216,11863,1074979,11988,2218320,2196,1245007,11231,973313,11233,1347910,2438,469932,7678,877978,7690,1172459,2953,335247,6238,837212,6580,0400000US06,37524274,5678,18510580,6787,1562760,8271,695850,13178,866910,12602,3149187,9024,1495408,19687,1653779,19164,1988264,5152,934919,13944,1053345,13843,2701952,5708,1314495,14088,1387457,13315,2525778,4908,1442210,14053,1083568,13309,2549460,3192,1501723,12584,1047737,12440,2051143,2638,1186898,14377,864245,13813,1163816,2547,453615,6591,710201,7178,818220,2646,282241,7058,535979,6660,19013694,5371,1491421,8827,664052,10810,827369,11309,3020120,8369,1445760,17012,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
187663,5885,244136,2035,127174,3791,116962,3612,359590,2532,199362,4846,160228,4804,343152,2236,215746,4367,127406,4992,362857,1835,237723,4484,125134,4611,326991,1566,200507,3684,126484,3643,185499,1542,67543,2683,117956,2584,141445,1522,45319,2314,96126,2510,0400000US08,5094766,2656,2528913,4620,210204,3535,103507,4727,106697,4501,416621,3777,222686,6410,193935,5923,250716,2922,132425,4742,118291,5307,368983,3444,196121,5823,172862,5324,349185,2671,217652,4437,131533,4758,352812,2474,218420,4293,134392,4558,311741,1629,194644,3928,117097,3729,168926,1211,67011,2709,101915,2922,99725,1230,36419,2084,63306,2497,2565853,3561,197096,3694,95244,3631,101852,4470,405087,3752,217424,5862,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
98859,4178,163549,1337,100599,3475,62950,3293,215168,1383,128744,3834,86424,3746,233977,1307,163958,3151,70019,3279,288293,1258,208760,3219,79533,3271,240939,1145,174680,2717,66259,2758,149678,1028,65754,2933,83924,2934,140943,1185,51777,2607,89166,2686,0400000US09,3534619,1149,1715299,2409,121916,2549,73078,3383,48838,3149,283136,2634,181483,4062,101653,4507,167713,1413,104712,2995,63001,3228,208160,1795,125945,3901,82215,4174,217228,1632,146257,3576,70971,3560,273742,1617,193792,3398,79950,3490,224390,1094,162460,3565,61930,3398,128363,850,63133,2323,65230,2240,90651,906,38190,1824,52461,1812,1819320,2365,114858,2415,65470,3169,49388,3707,271915,2626,173056,4044,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
27642,2651,46401,614,26787,1860,19614,1808,56800,821,35048,1818,21752,1982,58447,941,39006,1946,19441,1826,68418,662,46847,2115,21571,2155,62257,592,43671,1480,18586,1516,42604,513,22379,1424,20225,1524,33398,785,16205,1182,17193,1026,0400000US10,902915,849,434398,1313,33118,939,18226,1594,14892,1610,71184,1288,40854,2889,30330,2858,44961,988,27990,2157,16971,2048,53994,938,29942,1897,24052,1751,51631,1171,35424,1866,16207,1747,63593,1100,44876,1836,18717,1816,54715,482,38125,1487,16590,1537,37599,604,21536,1169,16063,1199,23603,506,12919,1117,10684,1160,468517,1018,33193,1225,18815,1879,14378,1700,66999,1394,39357,2459,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
18760,1611,44786,304,27224,1780,17562,1778,73890,230,50275,1769,23615,1733,42116,300,27867,1324,14249,1304,37648,182,21193,1433,16455,1453,36052,540,22977,1572,13075,1617,22029,324,12563,1001,9466,1032,19569,458,10336,743,9233,803,0400000US11,621380,727,290874,931,23594,1094,11887,1472,11707,1573,31172,1085,13758,1717,17414,1779,36519,657,20179,1592,16340,1579,62855,689,43342,1949,19513,2006,41896,551,29642,1465,12254,1428,36842,559,23019,1604,13823,1589,29786,698,17696,1269,12090,1315,17199,376,9890,922,7309,925,11011,369,6017,640,4994,706,330506,735,22630,777,11918,1317,10712,1335,31786,787,13026,1602,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
748776,13259,880260,4004,391090,9995,489170,10185,1172623,3922,559003,9626,613620,10337,1204043,3884,653258,9153,550785,9730,1390936,3225,776588,9631,614348,9582,1297511,2428,697821,9751,599690,9719,1006554,2839,295308,7162,711246,7375,891862,3134,231557,6927,660305,7243,0400000US12,19011070,3625,9208249,7257,659557,7044,238869,7774,420688,9416,1372554,8766,603939,12270,768615,14072,882948,4529,388878,9343,494070,10502,1132390,4932,490808,10952,641582,9459,1156700,4812,603380,10716,553320,10356,1314127,4954,694761,11039,619366,11166,1147075,3652,599359,10795,547716,10707,877145,3068,287291,6677,589854,6578,665753,3224,208060,5787,457693,6239,9802821,7129,633209,7067,233871,7819,399338,9379,1325823,7564,577047,11948,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
417655,9211,492447,4372,247850,7878,244597,7219,674462,5695,341985,7635,332477,8288,713334,4346,445571,8214,267763,7886,704136,3872,442625,7424,261511,7334,593602,2529,353987,5748,239615,5760,364383,2756,131614,4666,232769,5544,266602,2430,81053,3670,185549,3947,0400000US13,9719411,3607,4691533,8342,418692,6433,164799,7088,253893,7554,854557,7271,422531,11253,432026,12275,481381,5122,246621,6589,234760,7040,624427,5961,314111,8453,310316,8615,642912,4991,385288,8350,257624,7979,660638,4100,407490,6211,253148,6313,529938,2436,320254,5593,209684,5459,312163,2983,125726,3726,186437,4375,166825,2708,64946,3285,101879,3313,5027878,8176,398911,6024,159418,6149,239493,6776,820001,6567,402346,9715,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
42876,2489,60040,861,34438,1934,25602,2192,91508,877,52870,2388,38638,2427,84996,957,57909,2431,27087,2470,92438,731,66097,1998,26341,1971,91921,535,64118,1702,27803,1714,57878,480,33275,1693,24603,1704,56320,651,26310,1622,30010,1731,0400000US15,1341708,2427,659117,2704,55605,1534,23604,2019,32001,2127,99470,1698,55940,3285,43530,2966,61507,1630,38096,2674,23411,2233,89906,2217,58663,2327,31243,2402,81889,1220,58033,2071,23856,2179,90252,1221,64658,2174,25594,2040,89153,417,62209,2055,26944,2014,53534,634,31889,1459,21645,1489,37801,885,21439,1510,16362,1340,682591,1728,53105,1606,22527,1629,30578,2129,94385,1525,51509,2632,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
66411,4172,77660,1847,40947,2817,36713,3031,101524,2030,54454,2801,47070,3238,95929,1924,54853,2895,41076,2729,102404,1744,63833,2316,38571,2597,96658,1000,57126,2183,39532,2253,62053,919,18750,1572,43303,1676,47875,738,12139,1385,35736,1518,0400000US16,1575682,687,784512,3345,70179,2196,31502,2287,38677,3116,146680,2474,82587,3734,64093,3656,77676,2194,41342,2723,36334,3247,103558,2381,52466,2906,51092,3206,96927,1952,57900,3148,39027,2981,97870,1437,57613,2808,40257,2775,94753,1154,56453,2232,38300,2218,59858,866,18812,1695,41046,1744,37011,656,9516,1165,27495,1258,791170,3288,67098,2461,31008,2490,36090,2829,139969,2746,73558,3703,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
438941,9506,610291,2786,343565,6139,266726,6722,884025,3036,506632,5908,377393,6211,850529,2982,555139,7357,295390,7028,921628,2427,639367,7166,282261,6806,799871,1788,531042,6844,268829,7161,491313,1655,190973,4753,300340,4617,437790,2809,143324,3713,294466,3656,0400000US17,12698371,1130,6204342,5323,498651,4889,247534,7149,251117,6852,1061822,5209,601886,9506,459936,9810,618415,3601,357002,7652,261413,7082,871012,3798,495843,7840,375169,7714,827048,2985,545202,7539,281846,7447,881924,2731,597255,6678,284669,6266,741762,1809,498177,6233,243585,6167,421499,2035,184406,4175,237093,4263,282209,1493,111531,3395,170678,3439,6494029,5389,483391,4316,238436,6649,244955,7128,1015191,5079,576250,10172,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
