GEO_ID,C11001G_001E,C11001G_001M,C11001G_002E,C11001G_002M,C11001G_003E,C11001G_003M,C11001G_004E,C11001G_004M,C11001G_005E,C11001G_005M,NAME,C11001G_001EA,C11001G_001MA,C11001G_002EA,C11001G_002MA,C11001G_003EA,C11001G_003MA,C11001G_004EA,C11001G_004MA,C11001G_005MA,C11001G_005EA,state
0400000US06,376302,9010,247291,6603,155461,5225,91830,4387,129011,5854,California,null,null,null,null,null,null,null,null,null,null,06
0400000US08,42680,2939,27644,2457,19682,2216,7962,1224,15036,1987,Colorado,null,null,null,null,null,null,null,null,null,null,08
0400000US09,20589,2194,13691,1992,7472,1448,6219,1165,6898,1223,Connecticut,null,null,null,null,null,null,null,null,null,null,09
0400000US10,4632,987,3087,883,2018,708,1069,557,1545,509,Delaware,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5081,979,1869,553,1172,455,697,315,3212,761,District of Columbia,null,null,null,null,null,null,null,null,null,null,11
0400000US12,110716,4747,71557,4098,44951,3252,26606,2681,39159,2907,Florida,null,null,null,null,null,null,null,null,null,null,12
0400000US13,42977,3389,29745,2940,18706,2318,11039,1826,13232,1839,Georgia,null,null,null,null,null,null,null,null,null,null,13
0400000US15,69845,3643,50360,3041,32372,2508,17988,1968,19485,2081,Hawaii,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8925,1246,6641,1184,4771,1115,1870,697,2284,548,Idaho,null,null,null,null,null,null,null,null,null,null,16
0400000US17,59305,3826,37917,2918,23288,2061,14629,1928,21388,2382,Illinois,null,null,null,null,null,null,null,null,null,null,17
0400000US18,25488,2010,16198,1614,9461,1314,6737,1062,9290,1620,Indiana,null,null,null,null,null,null,null,null,null,null,18
0400000US19,11496,1765,7780,1499,4648,1168,3132,874,3716,948,Iowa,null,null,null,null,null,null,null,null,null,null,19
0400000US20,20653,2174,12894,1708,7908,1449,4986,1124,7759,1252,Kansas,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19367,1813,13603,1601,6977,1197,6626,1066,5764,1133,Kentucky,null,null,null,null,null,null,null,null,null,null,21
0400000US22,20000,2288,12032,1509,6648,1108,5384,1211,7968,1408,Louisiana,null,null,null,null,null,null,null,null,null,null,22
0400000US23,6635,1225,3754,730,2305,632,1449,500,2881,902,Maine,null,null,null,null,null,null,null,null,null,null,23
0400000US24,38550,2788,27450,2730,17064,2136,10386,1529,11100,1571,Maryland,null,null,null,null,null,null,null,null,null,null,24
