GEO_ID,C18107_001E,C18107_001M,C18107_002E,C18107_002M,C18107_003E,C18107_003M,C18107_004E,C18107_004M,C18107_005E,C18107_005M,C18107_006E,C18107_006M,C18107_007E,C18107_007M,C18107_008E,C18107_008M,C18107_009E,C18107_009M,C18107_010E,C18107_010M,C18107_011E,C18107_011M,C18107_012E,C18107_012M,C18107_013E,C18107_013M,C18107_014E,C18107_014M,C18107_015E,C18107_015M,NAME,C18107_001MA,C18107_001EA,C18107_002MA,C18107_002EA,C18107_003EA,C18107_003MA,C18107_004MA,C18107_004EA,C18107_005MA,C18107_005EA,C18107_006MA,C18107_006EA,C18107_007MA,C18107_007EA,C18107_008EA,C18107_008MA,C18107_009EA,C18107_009MA,C18107_010MA,C18107_010EA,C18107_011MA,C18107_011EA,C18107_012EA,C18107_012MA,C18107_013MA,C18107_013EA,C18107_014EA,C18107_014MA,C18107_015MA,C18107_015EA,state
0400000US06,28300786,5990,13798633,6546,11816597,6723,333528,8825,11483069,9952,1982036,3012,268346,7139,1713690,7491,14502153,4305,11981784,4242,384969,10820,11596815,10981,2520369,2794,562061,9244,1958308,9934,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3865758,2996,1902088,3643,1633437,3669,39906,3012,1593531,5002,268651,1391,24084,2175,244567,2496,1963670,2537,1636726,2764,47291,3525,1589435,4416,326944,1422,51755,2925,275189,3210,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2742794,1530,1310247,2360,1091233,2202,28170,2590,1063063,3043,219014,1191,21607,1640,197407,1884,1432547,1964,1141926,1728,35348,2607,1106578,3073,290621,1391,51071,2470,239550,2601,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,698421,815,330096,980,268894,960,8559,1533,260335,1835,61202,569,6388,1138,54814,1248,368325,695,292323,787,10779,1498,281544,1737,76002,683,11998,1197,64004,1319,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,512198,740,236108,840,207898,794,6653,1311,201245,1376,28210,316,3834,942,24376,947,276090,736,234492,636,6771,1084,227721,1269,41598,482,8051,1142,33547,1162,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15019927,4591,7176138,5426,5633240,5919,205303,8482,5427937,10721,1542898,3018,168905,6380,1373993,7019,7843789,4629,5945373,4955,224272,7151,5721101,8184,1898416,3412,319185,8988,1579231,9610,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7227250,5374,3418284,6176,2939296,6247,113539,6026,2825757,7991,478988,2652,61867,3741,417121,4253,3808966,5508,3177981,6012,124098,6245,3053883,8390,630985,2925,138488,4965,492497,5721,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1039143,2521,504042,2572,412707,2804,11083,1834,401624,3575,91335,939,11444,1377,79891,1546,535101,1435,420903,1332,12526,1893,408377,2423,114198,669,24515,1901,89683,1808,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1151756,1357,567653,2060,470784,2062,16751,2077,454033,2843,96869,875,10321,1451,86548,1652,584103,1980,474175,2041,18666,1960,455509,3232,109928,1077,17616,2150,92312,2296,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9639316,2624,4643869,4621,3940161,4352,114687,4524,3825474,5757,703708,1879,79301,3564,624407,4435,4995447,4296,4066344,4048,136073,5426,3930271,6518,929103,2947,178453,5588,750650,6285,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
