GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001EA,B12502_001MA,B12502_002EA,B12502_002MA,B12502_003MA,B12502_003EA,B12502_004EA,B12502_004MA,B12502_005MA,B12502_005EA,B12502_006EA,B12502_006MA,B12502_007EA,B12502_007MA,B12502_008MA,B12502_008EA,B12502_009EA,B12502_009MA,B12502_010EA,B12502_010MA,B12502_011EA,B12502_011MA,state
0400000US06,30416010,2937,15018551,4117,6049704,26391,8968847,25700,41805,2669,8927042,26044,15397459,3902,5092645,27301,10304814,26992,104369,4344,10200445,26868,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4152392,2040,2073202,2540,718460,8299,1354742,8309,5995,1273,1348747,8530,2079190,2871,566395,8436,1512795,8608,13491,1596,1499304,8786,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2945674,1273,1419508,1881,525179,7616,894329,7376,5058,980,889271,7650,1526166,1626,470937,8199,1055229,7938,10431,1434,1044798,7793,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,746748,660,357658,785,125252,3931,232406,3984,1298,520,231108,3921,389090,804,118858,3027,270232,2974,2931,780,267301,3274,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,539055,396,251998,318,148943,3430,103055,3390,178,185,102877,3397,287057,371,160809,3829,126248,3765,1097,364,125151,3820,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16016557,3446,7757505,5119,2694915,21432,5062590,22391,32136,3189,5030454,22862,8259052,4590,2290565,18059,5968487,17942,71741,4083,5896746,18327,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7830116,4910,3783669,5257,1376918,13599,2406751,14401,14772,2241,2391979,14953,4046447,5172,1226048,14779,2820399,13188,32296,2614,2788103,13804,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1137619,763,570172,1040,215002,5618,355170,5763,1646,514,353524,5734,567447,914,164861,3626,402586,3679,4778,950,397808,3710,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1239521,1574,614964,2172,178204,4918,436760,4859,1709,545,435051,4954,624557,2191,144329,4886,480228,4258,3770,913,476458,4492,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,10344646,2497,5026063,3881,1898189,14318,3127874,14271,17183,1638,3110691,14456,5318583,3541,1682675,13730,3635908,13077,39726,2280,3596182,13095,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5218923,3385,2542270,3365,843285,10027,1698985,10177,10116,1581,1688869,10653,2676653,3016,726927,10135,1949726,9907,21976,2054,1927750,9965,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2472319,2240,1215553,2362,382333,6725,833220,6705,5501,936,827719,6779,1256766,2543,318365,5035,938401,5187,10732,1262,927669,5355,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2281272,2255,1127129,2777,352894,6277,774235,6304,4053,730,770182,6264,1154143,2389,289368,5848,864775,5339,8754,1040,856021,5487,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3530921,2571,1720998,3055,539738,7852,1181260,7995,9185,1432,1172075,8126,1809923,2829,441056,7084,1368867,7711,14721,1552,1354146,8214,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,3663532,2497,1771878,3292,668775,7762,1103103,8383,6555,1156,1096548,8511,1891654,3170,594189,8829,1297465,7965,15888,1785,1281577,8071,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1111822,1226,538918,1691,161676,4218,377242,4307,2947,712,374295,4410,572904,1456,142692,3565,430212,3745,2664,586,427548,3901,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
