GEO_ID,B19001I_001E,B19001I_001M,B19001I_002E,B19001I_002M,B19001I_003E,B19001I_003M,B19001I_004E,B19001I_004M,B19001I_005E,B19001I_005M,B19001I_006E,B19001I_006M,B19001I_007E,B19001I_007M,B19001I_008E,B19001I_008M,B19001I_009E,B19001I_009M,B19001I_010E,B19001I_010M,B19001I_011E,B19001I_011M,B19001I_012E,B19001I_012M,B19001I_013E,B19001I_013M,B19001I_014E,B19001I_014M,B19001I_015E,B19001I_015M,B19001I_016E,B19001I_016M,B19001I_017E,B19001I_017M,NAME,B19001I_001MA,B19001I_001EA,B19001I_002EA,B19001I_002MA,B19001I_003EA,B19001I_003MA,B19001I_004MA,B19001I_004EA,B19001I_005EA,B19001I_005MA,B19001I_006EA,B19001I_006MA,B19001I_007EA,B19001I_007MA,B19001I_008EA,B19001I_008MA,B19001I_009EA,B19001I_009MA,B19001I_010MA,B19001I_010EA,B19001I_011EA,B19001I_011MA,B19001I_012EA,B19001I_012MA,B19001I_013EA,B19001I_013MA,B19001I_014EA,B19001I_014MA,B19001I_015MA,B19001I_015EA,B19001I_016EA,B19001I_016MA,B19001I_017EA,B19001I_017MA,state
0400000US06,3504293,15006,230183,7584,219216,6756,233285,6801,247855,8473,214394,7113,218881,8320,203206,7451,205953,8178,169449,7047,297743,9214,355071,8154,382522,9869,229964,7211,128618,5576,104646,4584,63307,3691,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,307342,5118,30018,2720,20311,2223,20896,2129,26074,2599,21888,2362,19009,2089,18099,2098,17064,2520,14159,1804,23515,2445,28421,2998,32686,2921,16532,1988,9245,1526,5973,1116,3452,774,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,150939,3407,21622,2305,13121,1676,9582,1487,10901,1564,9941,1730,7659,1318,6860,1326,6669,1484,6273,1397,9798,2012,13585,2037,12772,1944,8408,1289,4299,831,5271,1343,4178,880,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19698,1375,1858,654,947,531,623,503,1154,502,611,373,1908,727,963,481,1653,713,695,429,2300,827,1960,635,2161,569,1386,665,530,374,538,284,411,335,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,20748,1813,1603,695,915,530,595,381,1092,625,496,355,1803,759,1968,876,969,527,860,411,665,354,2285,848,1398,606,1444,694,1561,629,1432,565,1662,684,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1328169,11752,131092,6453,92849,5290,103708,6446,100574,5265,91497,5625,91740,4813,80955,4777,72076,4184,58433,4051,102149,5033,117714,5788,121328,5885,69265,4534,33486,3248,31103,2870,30200,2499,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,221261,5678,19830,2972,14179,2486,19148,2600,23657,3133,17031,2603,14093,2137,13606,1966,11249,2100,10126,2024,20974,2596,15918,2563,19224,2891,8867,1820,5068,1398,5197,1348,3094,962,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,32646,2004,1621,585,2590,837,1699,680,2342,979,983,398,1474,680,1763,632,2161,666,1606,665,2828,792,3317,982,4487,1024,2167,543,1755,622,968,404,885,365,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,44979,2277,4957,1270,1898,737,3802,1009,5005,1195,4191,1317,3629,1158,2486,779,3941,1389,1233,565,3840,962,4296,1042,3017,952,1793,874,250,180,392,205,249,227,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,526736,7799,35962,3190,24600,2858,32733,2711,36040,3348,34370,2976,36749,3270,31732,2805,29878,2723,30290,3358,51420,4106,53075,3688,60244,3398,33634,3217,14719,1643,12909,1436,8381,1326,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
