GEO_ID,B08505G_001E,B08505G_001M,B08505G_002E,B08505G_002M,B08505G_003E,B08505G_003M,B08505G_004E,B08505G_004M,B08505G_005E,B08505G_005M,B08505G_006E,B08505G_006M,B08505G_007E,B08505G_007M,NAME,B08505G_001EA,B08505G_001MA,B08505G_002MA,B08505G_002EA,B08505G_003MA,B08505G_003EA,B08505G_004MA,B08505G_004EA,B08505G_005EA,B08505G_005MA,B08505G_006EA,B08505G_006MA,B08505G_007MA,B08505G_007EA,state
0400000US06,553839,13586,394426,11876,66910,4982,31374,2917,17639,2121,13602,1826,29888,2918,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,60859,3873,43886,3467,6692,1417,2150,817,2619,786,1877,717,3635,973,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,29521,2775,20971,2510,3458,897,1445,602,2017,667,776,521,854,439,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6873,1386,5410,1171,735,640,139,175,162,158,19,42,408,339,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,17617,1921,6705,1348,2136,673,5962,1090,1210,715,1069,567,535,318,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,146566,7103,107919,5895,21024,3104,3991,986,4157,1340,3078,991,6397,1516,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,54509,4918,40238,4008,5904,1470,857,422,1386,532,1710,832,4414,1077,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,130217,5923,90970,5215,20291,2125,6961,1289,5529,1230,2939,873,3527,1079,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10351,1729,8188,1558,1406,554,0,184,348,248,351,211,58,91,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,81144,5476,52522,4068,9871,1736,9114,1664,4461,1273,2084,730,3092,826,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
