GEO_ID,B14007_001E,B14007_001M,B14007_002E,B14007_002M,B14007_003E,B14007_003M,B14007_004E,B14007_004M,B14007_005E,B14007_005M,B14007_006E,B14007_006M,B14007_007E,B14007_007M,B14007_008E,B14007_008M,B14007_009E,B14007_009M,B14007_010E,B14007_010M,B14007_011E,B14007_011M,B14007_012E,B14007_012M,B14007_013E,B14007_013M,B14007_014E,B14007_014M,B14007_015E,B14007_015M,B14007_016E,B14007_016M,B14007_017E,B14007_017M,B14007_018E,B14007_018M,B14007_019E,B14007_019M,NAME,B14007_001EA,B14007_001MA,B14007_002MA,B14007_002EA,B14007_003MA,B14007_003EA,B14007_004EA,B14007_004MA,B14007_005EA,B14007_005MA,B14007_006EA,B14007_006MA,B14007_007MA,B14007_007EA,B14007_008MA,B14007_008EA,B14007_009MA,B14007_009EA,B14007_010EA,B14007_010MA,B14007_011EA,B14007_011MA,B14007_012MA,B14007_012EA,B14007_013MA,B14007_013EA,B14007_014MA,B14007_014EA,B14007_015EA,B14007_015MA,B14007_016EA,B14007_016MA,B14007_017EA,B14007_017MA,B14007_018EA,B14007_018MA,B14007_019MA,B14007_019EA,state
0400000US06,36575440,13562,10678252,28487,591188,11678,520325,12125,510188,8793,501928,10096,505906,9641,499020,11455,505649,9547,520858,11171,502445,9774,518579,13647,518144,8936,545170,10532,548650,10993,638057,12292,2745166,21848,506979,14174,25897188,26975,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4989990,4419,1395046,9723,89363,4515,72856,4622,68692,3978,72637,3967,72684,3740,66884,3986,66019,3457,70544,4562,67537,4270,68552,4076,66162,3234,67112,3059,59516,3315,76317,4427,328655,9047,81516,4031,3594944,9719,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3479966,3754,954957,8253,64718,3728,44882,3643,41468,2830,45219,2715,41918,2610,42609,2655,48342,2877,48171,3360,47538,3218,46722,2954,49932,3264,50912,2659,48542,2916,55318,3279,220951,6372,57715,3209,2525009,7803,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,882536,1884,236066,3847,14250,1638,11009,1712,10310,1524,10559,1794,12877,1774,11302,1563,10102,1526,11553,1599,10590,1401,12009,1936,14587,1845,9611,1374,11714,1286,12853,1663,60950,2601,11790,1782,646470,4053,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,608482,1577,159737,3807,12886,1512,7876,1155,5433,983,5344,1083,5856,1172,4836,979,5262,1214,4575,1120,4295,1010,4435,1255,6772,1012,5357,876,7357,1246,7338,1455,44327,2585,27788,2928,448745,3907,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18689114,8594,4688008,21985,283912,9510,234235,6660,217032,7663,226319,7659,233301,8163,215232,8454,235352,9198,212658,7054,227915,8725,232167,10798,224923,7844,233320,7340,234185,8110,242151,7812,1214969,19659,220337,8779,14001106,22815,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9540591,7214,2797844,20311,193811,7089,148479,6133,130956,5851,142321,6959,141513,5236,140388,6015,138786,5853,149140,6844,149995,6591,140870,5681,143897,6329,140699,6108,129767,5361,135336,5978,647456,14124,124430,6681,6742747,19689,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1340261,2178,336071,4731,21389,2050,19065,2081,16761,1850,16602,1717,15527,1696,14606,1532,14977,1811,18738,1962,16946,1908,15383,1630,15405,1746,15717,1324,15447,1444,19384,1995,81969,4093,18155,2020,1004190,4421,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1529311,2426,454364,6647,20738,2236,23489,2323,23823,2452,23174,2143,22322,2628,25817,2746,24425,2425,22934,2339,26651,2626,24116,2487,22251,2057,22325,2110,24480,2201,23614,2060,107988,5401,16217,2227,1074947,6227,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12403972,7323,3478102,15404,235555,6454,169461,6565,167005,5462,165254,5571,172193,6289,170424,6334,168876,6157,177361,6290,173830,6314,175018,6834,178795,6311,176146,4578,178518,5931,190646,5618,779075,11173,199945,8129,8925870,15840,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
