GEO_ID,C27010_001E,C27010_001M,C27010_002E,C27010_002M,C27010_003E,C27010_003M,C27010_004E,C27010_004M,C27010_005E,C27010_005M,C27010_006E,C27010_006M,C27010_007E,C27010_007M,C27010_008E,C27010_008M,C27010_009E,C27010_009M,C27010_010E,C27010_010M,C27010_011E,C27010_011M,C27010_012E,C27010_012M,C27010_013E,C27010_013M,C27010_014E,C27010_014M,C27010_015E,C27010_015M,C27010_016E,C27010_016M,C27010_017E,C27010_017M,C27010_018E,C27010_018M,C27010_019E,C27010_019M,C27010_020E,C27010_020M,C27010_021E,C27010_021M,NAME,C27010_001MA,C27010_001EA,C27010_002MA,C27010_002EA,C27010_003MA,C27010_003EA,C27010_004MA,C27010_004EA,C27010_005EA,C27010_005MA,C27010_006EA,C27010_006MA,C27010_007MA,C27010_007EA,C27010_008MA,C27010_008EA,C27010_009MA,C27010_009EA,C27010_010EA,C27010_010MA,C27010_011EA,C27010_011MA,C27010_012MA,C27010_012EA,C27010_013MA,C27010_013EA,C27010_014MA,C27010_014EA,C27010_015MA,C27010_015EA,C27010_016EA,C27010_016MA,C27010_017EA,C27010_017MA,C27010_018MA,C27010_018EA,C27010_019MA,C27010_019EA,C27010_020MA,C27010_020EA,C27010_021EA,C27010_021MA,state
0400000US06,37524274,5678,9223488,2226,4736641,34500,3464048,32645,292707,11869,730092,21018,9265153,7536,5168740,30856,1166908,19720,151453,6749,2778052,26999,14533228,7183,9321998,33648,1685066,22276,402347,9565,3123817,25607,4502405,3414,160333,5249,1991716,17759,2272731,16764,77625,5203,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5094766,2656,1229008,1526,733763,12282,353621,11193,32929,4381,108695,8341,1223425,4064,778567,10614,115945,6136,24930,3256,303983,9020,2046738,4002,1468402,11614,178215,7275,65100,3667,335021,11261,595595,1720,21370,2061,196464,5397,374216,5939,3545,928,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3534619,1149,791825,1036,508005,8463,225533,8689,28359,3567,29928,4477,754590,2496,496097,8349,115430,5526,14152,2179,128911,6209,1478569,2389,1114439,9291,167956,7197,38008,3294,158166,6492,509635,1466,18185,1914,160511,4898,325972,5308,4967,1420,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,902915,849,204494,412,117648,4703,69993,5269,9688,1975,7165,1504,202156,1149,128135,3288,34483,3688,5230,1207,34308,3353,359061,1230,256987,4556,48035,3664,16767,2240,37272,3184,137204,760,2209,542,34149,2371,99697,2549,1149,542,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,621380,727,109182,272,51456,3465,47865,3663,7991,2081,1870,820,218050,855,158449,3591,36099,2999,6213,1434,17289,2527,224340,995,147355,3307,47007,2887,12710,1680,17268,2207,69808,467,5177,951,21470,1862,42734,2025,427,277,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19011070,3625,3991143,2753,1905041,24260,1550179,26663,99757,7339,436166,15549,4068221,7274,2108533,20892,471111,14956,65046,4768,1423531,19468,7510392,7789,4529085,28791,804170,21009,267882,9396,1909255,25136,3441314,4139,76390,5053,1497766,16983,1820270,16326,46888,4926,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9719411,3607,2492161,3756,1274771,20376,930647,18987,66782,5724,219961,12550,2272717,7453,1290899,13801,201735,8054,39709,4375,740374,14491,3844560,7599,2536955,18080,342736,11682,143977,6528,820892,16334,1109973,3903,25392,2681,427747,9580,645742,9401,11092,2392,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1341708,2427,302565,595,195379,5248,84684,4770,12039,2269,10463,2161,302961,2383,217679,4747,41719,3286,8801,1425,34762,3224,530649,1615,410190,5300,57717,3444,17523,1855,45219,3660,205533,814,9414,1541,52903,3133,141322,3818,1894,811,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1575682,687,423926,1170,238862,8698,129199,7446,19836,3933,36029,4991,360418,2466,220581,6238,34128,3148,9812,2018,95897,5479,584541,2526,390938,6612,45665,3934,25890,2441,122048,5025,206797,1353,4348,1132,67995,3794,133685,3939,769,353,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12698371,1130,3059055,2414,1714089,18225,1137576,18340,105924,7198,101466,6930,2983743,4393,1869082,13503,366239,8409,56599,4072,691823,12481,5022762,5245,3576369,16709,491311,10246,145411,5291,809671,12642,1632811,3327,48283,3263,534244,8844,1030779,9192,19505,2522,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
