GEO_ID,C19101_001E,C19101_001M,C19101_002E,C19101_002M,C19101_003E,C19101_003M,C19101_004E,C19101_004M,C19101_005E,C19101_005M,C19101_006E,C19101_006M,C19101_007E,C19101_007M,C19101_008E,C19101_008M,C19101_009E,C19101_009M,C19101_010E,C19101_010M,C19101_011E,C19101_011M,NAME,C19101_001MA,C19101_001EA,C19101_002MA,C19101_002EA,C19101_003EA,C19101_003MA,C19101_004EA,C19101_004MA,C19101_005EA,C19101_005MA,C19101_006MA,C19101_006EA,C19101_007MA,C19101_007EA,C19101_008EA,C19101_008MA,C19101_009EA,C19101_009MA,C19101_010EA,C19101_010MA,C19101_011EA,C19101_011MA,state
0400000US34,2211642,11388,83008,4157,51447,3290,122217,4951,148896,5661,215420,7502,359296,8644,307051,8219,441548,7695,236456,6712,246303,5830,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,501421,8215,38033,2761,24070,2379,54660,3411,58372,3417,68804,3868,91828,4015,63721,3134,62687,3318,23723,2402,15523,1539,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,4587857,19910,239830,6093,159211,6714,373423,10571,374179,8785,536482,8866,800299,12073,606945,9834,774291,12408,343346,7889,379851,8274,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2472230,16171,147389,6793,93887,5056,246690,8323,266601,7573,364056,8659,484978,10758,338608,8438,320370,8797,104524,4757,105127,4641,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,175380,3955,5488,922,3967,798,11635,1522,13220,1503,22448,1836,36816,2515,30061,2235,31537,2012,9747,1362,10461,1314,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2913312,14675,163025,5768,102013,4588,245788,7396,263816,7963,419903,8324,609987,9823,430241,9604,418717,8920,138239,4926,121583,4486,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,957067,7641,54695,2946,35133,2023,94181,3492,102220,3336,146407,4570,200137,5281,135219,4253,118868,3778,36578,2356,33629,2107,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,964892,8222,50466,3709,34150,2957,84497,4607,90367,3504,138170,4946,198549,6503,139729,5496,145912,5012,43921,2911,39131,2437,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3202089,14021,136161,5556,91599,4210,244366,6590,292375,6072,424959,8535,648684,10248,494286,9395,511847,8241,184709,5725,173103,4340,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,257419,5346,11819,1736,6764,1446,17684,1836,20722,2050,31036,2522,47427,3014,38989,2775,48463,2448,18455,1912,16060,1677,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
