GEO_ID,B22002_001E,B22002_001M,B22002_002E,B22002_002M,B22002_003E,B22002_003M,B22002_004E,B22002_004M,B22002_005E,B22002_005M,B22002_006E,B22002_006M,B22002_007E,B22002_007M,B22002_008E,B22002_008M,B22002_009E,B22002_009M,B22002_010E,B22002_010M,B22002_011E,B22002_011M,B22002_012E,B22002_012M,B22002_013E,B22002_013M,B22002_014E,B22002_014M,B22002_015E,B22002_015M,B22002_016E,B22002_016M,B22002_017E,B22002_017M,B22002_018E,B22002_018M,B22002_019E,B22002_019M,B22002_020E,B22002_020M,B22002_021E,B22002_021M,B22002_022E,B22002_022M,B22002_023E,B22002_023M,B22002_024E,B22002_024M,B22002_025E,B22002_025M,B22002_026E,B22002_026M,B22002_027E,B22002_027M,NAME,B22002_001EA,B22002_001MA,B22002_002EA,B22002_002MA,B22002_003MA,B22002_003EA,B22002_004MA,B22002_004EA,B22002_005EA,B22002_005MA,B22002_006EA,B22002_006MA,B22002_007EA,B22002_007MA,B22002_008MA,B22002_008EA,B22002_009MA,B22002_009EA,B22002_010MA,B22002_010EA,B22002_011MA,B22002_011EA,B22002_012MA,B22002_012EA,B22002_013EA,B22002_013MA,B22002_014EA,B22002_014MA,B22002_015MA,B22002_015EA,B22002_016MA,B22002_016EA,B22002_017MA,B22002_017EA,B22002_018EA,B22002_018MA,B22002_019MA,B22002_019EA,B22002_020MA,B22002_020EA,B22002_021MA,B22002_021EA,B22002_022MA,B22002_022EA,B22002_023EA,B22002_023MA,B22002_024EA,B22002_024MA,B22002_025MA,B22002_025EA,B22002_026MA,B22002_026EA,B22002_027MA,B22002_027EA,state
0400000US06,12552658,18433,1140716,14753,830577,12796,339331,8286,483178,9398,99989,5448,383189,8921,8068,1619,310139,8089,71137,4108,88769,4727,24338,2147,64431,4133,150233,5792,11411942,21154,3723470,21430,2663107,18960,1034350,17976,327101,8485,707249,13505,26013,2919,7688472,25871,3030524,22275,875391,14670,307860,8513,567531,10867,3782557,27243,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,186217,7033,104646,5989,39528,2979,63467,4838,12516,1886,50951,4204,1651,758,81571,3933,12050,1486,13902,1846,3210,906,10692,1783,55619,3255,1809871,10444,536035,9015,393950,8003,137550,5249,43754,3371,93796,4525,4535,1110,1273836,11202,529542,8984,88275,5083,32816,3185,55459,3653,656019,10582,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,163064,5739,75964,4544,21093,2373,54554,3696,7166,1592,47388,3078,317,247,87100,3921,9927,1610,20418,1871,5342,1065,15076,1683,56755,3699,1194748,8138,359510,8016,264542,5748,93116,5557,25041,2782,68075,4688,1852,601,835238,7685,365314,6624,73405,3443,25668,2587,47737,2549,396519,8116,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,48378,2973,28281,2630,9275,1734,18639,2265,3251,1106,15388,1968,367,333,20097,1820,3146,857,4093,806,856,297,3237,749,12858,1650,291930,3801,80645,3760,57151,2838,22922,2502,7607,1255,15315,1997,572,364,211285,4506,93888,3696,16479,2112,4547,915,11932,1889,100918,4138,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,40966,2609,17509,1804,2352,860,15014,1690,862,426,14152,1716,143,206,23457,1882,1632,600,6986,1210,1262,486,5724,1099,14839,1585,225696,3474,36596,2236,22396,1807,14103,1550,3404,917,10699,1353,97,111,189100,3675,35769,2222,14241,1515,3850,768,10391,1399,139090,4073,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,1093250,16970,535342,12292,202366,8953,326651,9829,54801,4241,271850,8170,6325,1615,557908,11004,118554,5726,128692,5420,33951,2676,94741,4611,310662,8073,6104693,28076,1479836,19347,1009083,16798,459043,11702,122572,6013,336471,9539,11710,1910,4624857,24259,1989617,17206,364216,8519,112577,6081,251639,6658,2271024,22661,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,582724,11277,332860,9674,110543,5720,220466,7801,30933,3332,189533,7412,1851,809,249864,7111,46798,4260,64197,3548,16149,1627,48048,3268,138869,5287,2950184,16729,919967,13468,664946,12204,249142,9198,62790,4390,186352,7462,5879,1218,2030217,17061,871099,12486,179035,6522,56546,3868,122489,5220,980083,14367,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,50600,3052,27001,2228,11005,1611,15736,1600,3465,766,12271,1432,260,354,23599,2376,4755,900,5659,1181,1489,427,4170,1031,13185,1954,397148,4412,121665,4614,92208,4007,29045,2549,7905,1280,21140,2260,412,319,275483,4982,121059,3958,29698,2229,10710,1381,18988,1779,124726,4625,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,80755,4839,47893,3791,23680,2667,23607,2980,4844,1428,18763,2556,606,475,32862,2928,5920,1394,5883,1397,648,321,5235,1330,21059,2112,502351,7035,150714,5587,117025,4970,33095,3218,11268,2007,21827,2507,594,359,351637,6317,175600,4362,21098,2325,7574,1644,13524,1805,154939,5674,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,613928,9806,333290,7730,112144,5061,216506,6323,33518,2969,182988,6189,4640,1232,280638,6531,44435,2680,67221,3554,17582,2027,49639,3009,168982,5066,4156266,14755,1213491,12884,903901,11811,299581,8036,85091,4716,214490,6956,10009,1777,2942775,14814,1228949,11526,248283,6787,83938,4086,164345,5839,1465543,15240,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
