GEO_ID,B16005B_001E,B16005B_001M,B16005B_002E,B16005B_002M,B16005B_003E,B16005B_003M,B16005B_004E,B16005B_004M,B16005B_005E,B16005B_005M,B16005B_006E,B16005B_006M,B16005B_007E,B16005B_007M,B16005B_008E,B16005B_008M,B16005B_009E,B16005B_009M,B16005B_010E,B16005B_010M,B16005B_011E,B16005B_011M,NAME,B16005B_001EA,B16005B_001MA,B16005B_002MA,B16005B_002EA,B16005B_003MA,B16005B_003EA,B16005B_004MA,B16005B_004EA,B16005B_005EA,B16005B_005MA,B16005B_006MA,B16005B_006EA,B16005B_007MA,B16005B_007EA,B16005B_008MA,B16005B_008EA,B16005B_009MA,B16005B_009EA,B16005B_010EA,B16005B_010MA,B16005B_011MA,B16005B_011EA,state
0400000US06,2126076,15191,1973173,17565,1877692,17572,95481,6973,83483,6347,11998,2387,152903,8222,52404,4498,100499,7642,60443,5544,40056,4250,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,202308,4911,171431,5599,161849,6311,9582,2440,8355,2292,1227,548,30877,4259,6958,1809,23919,4160,14935,3237,8984,2075,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,340955,5523,272611,6303,248120,6024,24491,3661,20149,3221,4342,1662,68344,5472,34766,3548,33578,4863,22053,3676,11525,2408,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,183907,2843,170016,3876,164354,4171,5662,1479,3985,1172,1677,917,13891,2750,5933,1883,7958,2106,5884,1695,2074,1021,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,293790,2141,271666,3896,263873,4239,7793,1540,6040,1303,1753,589,22124,3955,7902,1812,14222,3412,8320,1931,5902,2485,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2875050,15177,2248062,17411,2056425,18124,191637,10548,165514,10332,26123,3562,626988,15434,265551,10770,361437,14237,156354,9155,205083,9008,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2838386,10685,2685993,15258,2625150,16303,60843,5784,50871,5408,9972,1758,152393,11199,71365,8029,81028,9859,53958,8392,27070,4418,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,23323,1507,21917,1532,20910,1561,1007,534,755,440,252,208,1406,672,777,475,629,435,537,384,92,127,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8130,1352,7095,1218,6471,1248,624,374,356,286,268,292,1035,627,283,289,752,596,673,589,79,100,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1731376,8184,1671942,9411,1631836,10446,40106,4619,31355,4267,8751,1496,59434,6317,18332,3644,41102,5034,27002,4148,14100,2580,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,550944,5635,532267,5495,520521,5879,11746,2340,8362,2060,3384,1052,18677,3481,5167,1740,13510,2997,8665,2193,4845,1543,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,83339,3436,71190,4449,69036,4424,2154,846,1697,816,457,309,12149,2276,3595,1052,8554,2024,5339,1731,3215,933,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,153844,3609,143384,4093,140316,4099,3068,992,2902,995,166,173,10460,1844,2610,817,7850,1677,4850,1254,3000,973,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
