GEO_ID,B25027_001E,B25027_001M,B25027_002E,B25027_002M,B25027_003E,B25027_003M,B25027_004E,B25027_004M,B25027_005E,B25027_005M,B25027_006E,B25027_006M,B25027_007E,B25027_007M,B25027_008E,B25027_008M,B25027_009E,B25027_009M,B25027_010E,B25027_010M,B25027_011E,B25027_011M,B25027_012E,B25027_012M,B25027_013E,B25027_013M,B25027_014E,B25027_014M,B25027_015E,B25027_015M,B25027_016E,B25027_016M,B25027_017E,B25027_017M,NAME,B25027_001MA,B25027_001EA,B25027_002MA,B25027_002EA,B25027_003MA,B25027_003EA,B25027_004EA,B25027_004MA,B25027_005MA,B25027_005EA,B25027_006MA,B25027_006EA,B25027_007MA,B25027_007EA,B25027_008MA,B25027_008EA,B25027_009MA,B25027_009EA,B25027_010EA,B25027_010MA,B25027_011MA,B25027_011EA,B25027_012MA,B25027_012EA,B25027_013EA,B25027_013MA,B25027_014MA,B25027_014EA,B25027_015EA,B25027_015MA,B25027_016MA,B25027_016EA,B25027_017MA,B25027_017EA,state
0400000US06,6781817,25470,5013594,26823,478365,10446,1030678,13742,1399547,12901,656916,10053,558333,8926,623069,9190,266686,6269,1768223,13924,59493,3008,95959,3991,206746,5673,161208,5244,204722,5188,438380,7819,601715,7327,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1278158,11129,945039,10533,130204,4597,210424,5119,258076,5848,118553,4329,94775,3762,98521,4269,34486,2217,333119,5691,14060,1864,19319,2083,41398,2489,40292,2868,44734,2447,83746,3063,89570,2882,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,908452,7756,642602,8945,63760,3706,136245,4305,200466,4925,84804,3813,65680,3371,67657,2935,23990,1606,265850,5449,4129,1041,11753,1585,33520,2535,25910,2099,33029,2098,67468,3026,90041,2784,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,241050,3609,168064,4422,21327,1870,33373,2224,45746,2350,22176,1719,17622,1425,21515,1279,6305,978,72986,2939,2209,626,2948,726,8790,1227,6504,1147,8105,1035,21038,1468,23392,1289,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,110681,3549,87104,3340,11886,1446,21417,1666,18893,1788,9875,1253,8143,1101,10770,1249,6120,952,23577,2090,756,329,1156,485,2337,695,1626,489,3435,751,5392,946,8875,865,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4724428,21345,2888716,18233,286248,8372,544692,11338,766295,11931,358204,8108,308447,7659,423520,7608,201310,5300,1835712,18176,57721,3825,90570,4643,203624,6701,161524,5991,211664,5603,505167,7301,605442,8239,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2248702,19411,1560580,18192,197755,7464,358282,7866,432646,9041,192185,5634,155038,5653,169824,5271,54850,3352,688122,12099,33316,3036,51976,3912,106705,4916,70517,4110,86521,3977,175959,5471,163128,4181,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,254770,4107,172799,4553,15414,1807,27341,2161,43361,2534,23192,1760,23635,1708,27388,1773,12468,1489,81971,3305,2612,770,3180,692,8759,1225,9167,1350,10026,1217,18699,1544,29528,1543,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,398671,5979,270378,6063,44028,3469,55853,2716,66740,3152,30517,2393,27924,1992,32125,2126,13191,1809,128293,4525,5729,1093,7362,1230,16549,1623,14081,1502,18797,1803,33628,2262,32147,1753,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3177104,16645,2153509,15842,300448,6848,499186,7793,606334,8484,256569,6818,201618,5390,212629,5268,76725,3173,1023595,11279,37768,3253,58962,3339,132923,4707,110346,4018,127434,3980,247132,4919,309030,5461,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
