GEO_ID,C12002B_001E,C12002B_001M,C12002B_002E,C12002B_002M,C12002B_003E,C12002B_003M,C12002B_004E,C12002B_004M,C12002B_005E,C12002B_005M,C12002B_006E,C12002B_006M,NAME,C12002B_001EA,C12002B_001MA,C12002B_002MA,C12002B_002EA,C12002B_003EA,C12002B_003MA,C12002B_004EA,C12002B_004MA,C12002B_005MA,C12002B_005EA,C12002B_006EA,C12002B_006MA,state
0400000US06,1829661,11312,892742,12379,517959,12345,75321,5841,98773,4000,244866,7383,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,166443,3631,73805,3870,56496,3973,6396,1609,6336,902,23410,2382,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,287701,4573,150118,5704,84050,5142,8849,1683,12260,1389,32424,3001,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,153625,1893,72779,3194,49277,3411,5225,1304,7408,1041,18936,2063,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,257744,1803,147680,3441,50888,3494,8354,1359,19083,1495,31739,2910,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2410007,11784,1160132,13892,731746,14486,101491,5917,124772,5212,291866,10140,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2356512,8691,1119286,15518,711453,17508,104223,6370,122371,5424,299179,10343,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,19760,1247,7153,1087,9400,1573,856,694,292,198,2059,790,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,6933,965,3446,1180,1941,811,445,342,463,504,638,341,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1460035,6557,788930,9713,352985,10170,61810,4352,90789,3523,165521,6080,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,451994,3837,225163,5571,123475,5648,16639,2243,23428,1615,63289,4186,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,66382,2308,32740,2351,19985,1996,1853,684,2811,621,8993,1280,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,127839,3105,55114,3434,42308,3124,4301,905,6295,916,19821,2226,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,266905,4135,129449,4191,73509,3977,11568,1670,14546,1561,37833,2711,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,1129192,4113,552097,7969,305765,9300,53711,3804,74584,4003,143035,5709,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,9875,1091,4888,779,3272,716,347,260,249,188,1119,491,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
