GEO_ID,B13002A_001E,B13002A_001M,B13002A_002E,B13002A_002M,B13002A_003E,B13002A_003M,B13002A_004E,B13002A_004M,B13002A_005E,B13002A_005M,B13002A_006E,B13002A_006M,B13002A_007E,B13002A_007M,NAME,B13002A_001MA,B13002A_001EA,B13002A_002MA,B13002A_002EA,B13002A_003EA,B13002A_003MA,B13002A_004MA,B13002A_004EA,B13002A_005EA,B13002A_005MA,B13002A_006MA,B13002A_006EA,B13002A_007MA,B13002A_007EA,state
0400000US06,5640893,20397,284323,8440,199531,7186,84792,4210,5356570,21996,2329723,22058,3026847,20966,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1051044,6339,55369,3020,43931,2897,11438,1729,995675,6886,474465,7844,521210,9084,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,642086,4509,27778,2561,20068,2043,7710,1632,614308,5402,272425,6228,341883,5887,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,146389,2069,8740,1587,5882,1272,2858,1036,137649,2416,60894,2974,76755,2652,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,86070,1729,2903,743,2716,721,187,172,83167,1864,22237,1814,60930,2229,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3220106,10912,152367,6810,98422,5478,53945,4765,3067739,13047,1369853,14447,1697886,16652,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1422309,6362,87766,4826,65083,4765,22683,2988,1334543,8479,693902,11141,640641,11270,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,72896,1450,4563,1062,3638,937,925,404,68333,1819,37004,1886,31329,1897,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,334667,3216,21641,2600,16253,1998,5388,1280,313026,3845,161434,5060,151592,4862,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2211435,8539,108834,4806,79089,3830,29745,3123,2102601,9298,972060,11577,1130541,12444,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1289074,5075,68697,4147,44741,3169,23956,2439,1220377,7007,578195,7677,642182,8946,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,641323,3075,34798,2282,23897,1988,10901,1144,606525,3553,292617,5553,313908,5382,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,567396,3351,38401,3015,26489,2633,11912,1881,528995,4571,260462,5237,268533,5692,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,905548,3058,49425,3166,33487,2698,15938,2166,856123,4678,423072,6916,433051,6915,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,674145,3212,32958,3049,21295,2317,11663,2003,641187,4386,309661,6360,331526,6608,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,282895,1698,13499,1720,8487,1221,5012,1064,269396,2195,121254,4216,148142,4369,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,792293,5124,39995,2758,29737,2557,10258,1717,752298,5195,362896,7257,389402,7134,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,1276892,5210,49280,3121,37552,2874,11728,1569,1227612,6236,504053,7817,723559,8070,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,1788527,4349,85112,3944,58034,3251,27078,2282,1703415,6089,789339,8389,914076,8404,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,1065516,3043,54404,2817,42672,2591,11732,1414,1011112,3771,478926,6272,532186,6155,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,398635,3134,21763,2461,15704,2015,6059,1381,376872,4031,193302,5510,183570,6329,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,1148563,4121,61696,3776,41400,2833,20296,2431,1086867,5898,522304,9271,564563,9940,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,194404,1296,9077,1410,5993,1042,3084,885,185327,1933,92302,2575,93025,3077,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,375129,2203,22268,1918,16157,1753,6111,1160,352861,3135,174821,4078,178040,4098,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,439263,4737,22463,2288,15391,1919,7072,1523,416800,4764,186115,6585,230685,7248,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,289569,1826,11713,1744,7913,1353,3800,961,277856,2443,126969,3901,150887,4164,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1395348,8093,67301,4627,49483,3767,17818,2436,1328047,9171,619830,8552,708217,9401,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,334849,4814,18920,2139,11477,1808,7443,1342,315929,4968,137084,4849,178845,5668,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3004029,11517,135861,4615,101046,4081,34815,2800,2868168,11626,1232616,11294,1635552,13435,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,1595610,7086,84253,5541,64102,4127,20151,3040,1511357,8351,783736,10827,727621,9952,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,142004,1012,9841,1456,7145,1243,2696,744,132163,1806,63421,2515,68742,2684,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,2186871,4820,117854,5519,74632,4612,43222,3830,2069017,6885,963421,10040,1105596,10902,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,641587,3384,36951,2283,26014,2295,10937,1267,604636,3904,304741,4958,299895,5168,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,762206,4596,36839,3486,24768,2538,12071,1880,725367,5284,321993,6786,403374,7052,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,2366880,6658,113173,5517,77156,4491,36017,2823,2253707,8667,1039571,9070,1214136,10189,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,203180,2181,8066,1455,5147,1137,2919,976,195114,2431,77739,3271,117375,3726,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,727468,3195,35522,2960,23732,2386,11790,1972,691946,4289,347215,6664,344731,6607,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,157150,1627,11142,1679,7881,1397,3261,836,146008,1913,70775,2874,75233,2737,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,1179569,4519,60470,3983,43248,3086,17222,2545,1119099,5663,562683,8627,556416,9142,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,4756279,19055,294324,10051,199451,7922,94873,5748,4461955,17948,2206930,19020,2255025,20538,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,621515,3930,48749,3084,40321,2723,8428,1710,572766,4722,298040,5642,274726,5911,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,135636,688,5773,1035,3500,609,2273,785,129863,1264,55835,1960,74028,1937,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
