GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001MA,B19082_001EA,B19082_002MA,B19082_002EA,B19082_003EA,B19082_003MA,B19082_004EA,B19082_004MA,B19082_005MA,B19082_005EA,B19082_006MA,B19082_006EA,state
0400000US06,3.05,0.03,8.24,0.04,14.27,0.06,23.03,0.08,51.42,0.16,22.48,0.19,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3.50,0.06,9.01,0.11,14.94,0.14,23.13,0.17,49.41,0.38,21.38,0.42,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2.94,0.07,8.19,0.14,14.22,0.20,22.35,0.28,52.30,0.59,24.62,0.79,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3.78,0.18,9.55,0.22,15.68,0.29,23.79,0.40,47.20,0.78,19.69,0.86,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1.94,0.17,6.82,0.31,13.10,0.45,22.53,0.64,55.62,1.29,26.03,1.62,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3.29,0.05,8.47,0.06,14.07,0.07,22.31,0.12,51.86,0.25,23.88,0.30,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2.96,0.06,8.34,0.09,14.43,0.11,23.02,0.16,51.24,0.30,22.37,0.35,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3.56,0.17,9.96,0.21,16.25,0.24,24.14,0.29,46.10,0.58,18.35,0.63,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4.11,0.17,9.67,0.23,15.60,0.29,23.46,0.32,47.16,0.84,19.55,0.89,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3.15,0.05,8.59,0.08,14.74,0.10,23.12,0.14,50.40,0.30,22.13,0.39,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
