GEO_ID,B15002D_001E,B15002D_001M,B15002D_002E,B15002D_002M,B15002D_003E,B15002D_003M,B15002D_004E,B15002D_004M,B15002D_005E,B15002D_005M,B15002D_006E,B15002D_006M,B15002D_007E,B15002D_007M,B15002D_008E,B15002D_008M,B15002D_009E,B15002D_009M,B15002D_010E,B15002D_010M,B15002D_011E,B15002D_011M,B15002D_012E,B15002D_012M,B15002D_013E,B15002D_013M,B15002D_014E,B15002D_014M,B15002D_015E,B15002D_015M,B15002D_016E,B15002D_016M,B15002D_017E,B15002D_017M,B15002D_018E,B15002D_018M,B15002D_019E,B15002D_019M,NAME,B15002D_001MA,B15002D_001EA,B15002D_002MA,B15002D_002EA,B15002D_003EA,B15002D_003MA,B15002D_004EA,B15002D_004MA,B15002D_005EA,B15002D_005MA,B15002D_006MA,B15002D_006EA,B15002D_007MA,B15002D_007EA,B15002D_008MA,B15002D_008EA,B15002D_009MA,B15002D_009EA,B15002D_010MA,B15002D_010EA,B15002D_011MA,B15002D_011EA,B15002D_012MA,B15002D_012EA,B15002D_013EA,B15002D_013MA,B15002D_014EA,B15002D_014MA,B15002D_015MA,B15002D_015EA,B15002D_016MA,B15002D_016EA,B15002D_017MA,B15002D_017EA,B15002D_018EA,B15002D_018MA,B15002D_019EA,B15002D_019MA,state
0400000US06,3614707,10352,1653501,6299,103916,5041,83027,4869,219523,8469,20131,1989,273665,7723,121575,4919,505734,10244,325930,8046,1961206,6773,203881,6710,106904,4686,266561,7857,18217,2157,263984,7609,162988,6681,644429,11020,294242,7908,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,98886,2342,43522,1596,3129,861,2840,1054,5428,860,605,357,7135,1322,1685,532,13021,1597,9679,1283,55364,1564,6637,1486,2721,793,8100,1400,660,403,7596,1427,4182,997,14822,1834,10646,1709,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,96367,1321,44740,1011,1849,498,1647,563,4315,859,440,318,4691,965,2018,743,11097,1161,18683,1623,51627,862,4463,865,2022,619,6652,1189,363,277,4371,1021,3009,766,15229,1588,15518,1424,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20653,872,9459,563,351,248,360,328,943,480,281,219,710,379,128,149,2660,640,4026,799,11194,481,396,314,595,348,1106,429,124,150,2057,664,349,284,3584,734,2983,675,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16129,1087,6391,666,251,235,131,174,320,230,33,56,305,199,125,167,1239,515,3987,592,9738,641,573,317,116,151,616,400,0,197,795,445,263,224,3622,802,3753,703,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,338468,4747,150367,2909,8842,1742,8209,1566,22792,2621,3724,1218,18832,2272,12118,2079,38554,3299,37296,3038,188101,3189,18407,2110,13626,1700,29600,2614,3935,1022,22965,2494,16501,2398,56096,3775,26971,2390,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,218446,3531,101777,2200,5551,1415,5213,1260,12097,1990,743,296,11213,1625,7786,1827,29234,2203,29940,2518,116669,2314,10382,1971,6175,1293,19803,2180,1421,742,11548,1534,9238,1625,33905,2725,24197,2124,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,414923,6302,185570,3596,10748,1502,9838,1471,49894,3097,3674,861,36487,2902,20853,1827,37786,2332,16290,1439,229353,3962,19228,1918,12831,1633,54821,2901,3639,964,41776,3188,23285,1889,51347,2829,22426,2110,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,14203,1416,5876,912,143,133,543,509,665,434,282,287,1308,568,368,326,1182,621,1385,496,8327,1022,1416,585,138,165,1537,545,0,187,1313,724,725,447,2234,781,964,504,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,425997,3612,199524,2593,8638,1652,7565,1155,19203,2495,1074,360,21286,2216,9842,1557,68749,3364,63167,3453,226473,2071,15978,1692,10088,1638,24908,2478,1708,709,22783,2157,13680,1807,84239,3596,53089,2971,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,67540,2321,30755,1329,2248,887,1468,857,4103,1239,738,519,2709,849,1128,505,6317,1331,12044,1325,36785,1722,4130,1076,1408,592,4623,1253,995,535,4740,937,1585,567,11429,1701,7875,1111,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,33448,1424,15615,1193,1472,625,613,303,2634,776,444,242,2337,799,253,233,3268,788,4594,994,17833,1056,1931,638,931,339,3314,771,488,277,1470,397,950,513,4828,863,3921,742,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,45015,1513,21207,1171,2097,747,1705,652,2439,712,567,376,2781,780,993,579,3143,671,7482,911,23808,996,2190,672,1781,499,4460,943,738,465,3037,892,1426,607,5329,975,4847,766,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,33757,1897,15479,1072,1387,689,1016,595,1807,626,264,201,1207,520,516,360,4613,874,4669,904,18278,1321,1725,697,1204,503,3273,796,294,300,2294,646,1151,439,4935,892,3402,808,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,46231,1959,20247,1386,2659,743,1955,560,3300,777,495,255,2588,609,691,375,3382,921,5177,1168,25984,1342,3732,783,2448,849,4323,743,620,340,2688,762,1214,448,6896,1348,4063,1041,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8605,966,3616,767,521,373,565,441,634,378,227,271,582,413,24,46,247,202,816,371,4989,635,1026,312,625,336,961,489,239,245,633,372,181,122,592,305,732,347,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
