GEO_ID,C17006_001E,C17006_001M,C17006_002E,C17006_002M,C17006_003E,C17006_003M,C17006_004E,C17006_004M,C17006_005E,C17006_005M,C17006_006E,C17006_006M,C17006_007E,C17006_007M,NAME,C17006_001MA,C17006_001EA,C17006_002MA,C17006_002EA,C17006_003EA,C17006_003MA,C17006_004EA,C17006_004MA,C17006_005MA,C17006_005EA,C17006_006MA,C17006_006EA,C17006_007EA,C17006_007MA,state
0400000US06,9062459,9302,2128228,33104,898646,24350,1229582,26816,6934231,33628,5209612,42009,1724619,32684,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1206677,3701,218243,12128,88028,8218,130215,9873,988434,11533,762766,12424,225668,9652,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,782017,1790,113814,7055,27354,4362,86460,6257,668203,7511,499964,10186,168239,7492,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,200059,1466,34139,4221,11329,3305,22810,3248,165920,4194,115803,5089,50117,4616,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,107669,735,28415,3569,3591,1958,24824,3596,79254,3490,44428,3023,34826,3503,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3923354,7191,983191,25494,311331,17050,671860,21909,2940163,25036,2098010,29322,842153,23797,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2460130,4428,665229,21574,197882,13404,467347,19769,1794901,21106,1340393,21322,454508,16730,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,297269,1484,49347,5183,18432,3441,30915,4278,247922,5111,188268,6396,59654,5651,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,417052,2516,85094,7680,37959,5160,47135,6193,331958,7789,272500,7657,59458,5557,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3008992,5571,614493,17540,192704,12538,421789,13926,2394499,18325,1841135,22503,553364,14444,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,1554680,4607,342126,11836,105825,7489,236301,11299,1212554,12094,930736,13622,281818,12131,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,707369,3396,110156,7563,32083,3813,78073,5992,597213,7749,469117,8034,128096,6753,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
