GEO_ID,B25043_001E,B25043_001M,B25043_002E,B25043_002M,B25043_003E,B25043_003M,B25043_004E,B25043_004M,B25043_005E,B25043_005M,B25043_006E,B25043_006M,B25043_007E,B25043_007M,B25043_008E,B25043_008M,B25043_009E,B25043_009M,B25043_010E,B25043_010M,B25043_011E,B25043_011M,B25043_012E,B25043_012M,B25043_013E,B25043_013M,B25043_014E,B25043_014M,B25043_015E,B25043_015M,B25043_016E,B25043_016M,B25043_017E,B25043_017M,B25043_018E,B25043_018M,B25043_019E,B25043_019M,NAME,B25043_001MA,B25043_001EA,B25043_002MA,B25043_002EA,B25043_003EA,B25043_003MA,B25043_004EA,B25043_004MA,B25043_005MA,B25043_005EA,B25043_006MA,B25043_006EA,B25043_007MA,B25043_007EA,B25043_008EA,B25043_008MA,B25043_009EA,B25043_009MA,B25043_010EA,B25043_010MA,B25043_011MA,B25043_011EA,B25043_012MA,B25043_012EA,B25043_013EA,B25043_013MA,B25043_014EA,B25043_014MA,B25043_015EA,B25043_015MA,B25043_016MA,B25043_016EA,B25043_017MA,B25043_017EA,B25043_018EA,B25043_018MA,B25043_019EA,B25043_019MA,state
0400000US06,12552658,18433,6781817,25470,6704017,25553,524087,10293,4262502,23354,1917428,12228,77800,3872,13771,1464,51607,3360,12422,1525,5770841,24980,5589697,25703,1802310,17236,3113080,20604,674307,11206,181144,6299,64411,3841,94339,5017,22394,2242,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1996088,8553,1278158,11129,1259520,10984,140403,4905,815708,8966,303409,4954,18638,1731,3861,751,11863,1430,2914,668,717930,9538,690081,9332,289868,5884,327665,8173,72548,3760,27849,2435,11740,1568,13594,1734,2515,777,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1357812,6453,908452,7756,902347,7881,67002,3767,587204,6135,248141,3867,6105,1053,887,348,4203,900,1015,434,449360,8680,435533,8917,137414,4988,222885,7782,75234,3260,13827,1814,4353,1117,7139,1063,2335,704,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,340308,3122,241050,3609,237450,3630,22434,1896,143243,3461,71773,2015,3600,824,1102,439,2021,597,477,210,99258,4117,95435,4050,32943,2183,48864,3643,13628,1379,3823,798,1305,478,2223,761,295,206,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,266662,3138,110681,3549,109269,3535,12317,1396,66030,2896,30922,1573,1412,436,325,181,852,377,235,174,155981,4855,149344,4568,59643,2927,71625,3542,18076,1505,6637,1302,3084,821,3069,916,484,306,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7197943,25102,4724428,21345,4614837,21661,329643,9585,2572883,18397,1712311,12642,109591,5111,14326,1833,72137,3958,23128,2373,2473515,22250,2327893,22257,758147,13818,1228024,17310,341722,8696,145622,5982,49720,3245,78139,4374,17763,2130,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3532908,15691,2248702,19411,2189632,19789,218470,7911,1414857,14834,556305,6199,59070,4437,12601,2020,39013,3602,7456,1455,1284206,16668,1202931,16883,461153,10819,616888,13121,124890,4680,81275,3973,30821,2722,44056,3317,6398,1116,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,447748,4282,254770,4107,250343,4111,17384,1898,146080,3623,86879,2405,4427,823,642,329,2581,671,1204,485,192978,4122,185691,4090,62478,2829,98938,3101,24275,1907,7287,1300,2301,662,3812,1026,1174,475,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,583106,5317,398671,5979,390612,5854,48122,3551,232454,4908,110036,2665,8059,1298,1635,640,5369,1155,1055,389,184435,6150,175811,5969,78721,4570,73800,4063,23290,2325,8624,1566,3864,1026,4086,1025,674,322,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,4770194,13140,3177104,16645,3127372,16298,328850,7067,1960537,13269,837985,6803,49732,3261,9366,1249,32835,2512,7531,1275,1593090,15616,1533081,15565,574537,8707,747617,11536,210927,6469,60009,3671,21722,1972,31929,2776,6358,1336,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
