GEO_ID,B12002F_001E,B12002F_001M,B12002F_002E,B12002F_002M,B12002F_003E,B12002F_003M,B12002F_004E,B12002F_004M,B12002F_005E,B12002F_005M,B12002F_006E,B12002F_006M,B12002F_007E,B12002F_007M,B12002F_008E,B12002F_008M,B12002F_009E,B12002F_009M,B12002F_010E,B12002F_010M,B12002F_011E,B12002F_011M,B12002F_012E,B12002F_012M,B12002F_013E,B12002F_013M,NAME,B12002F_001MA,B12002F_001EA,B12002F_002EA,B12002F_002MA,B12002F_003MA,B12002F_003EA,B12002F_004MA,B12002F_004EA,B12002F_005MA,B12002F_005EA,B12002F_006MA,B12002F_006EA,B12002F_007MA,B12002F_007EA,B12002F_008MA,B12002F_008EA,B12002F_009MA,B12002F_009EA,B12002F_010MA,B12002F_010EA,B12002F_011MA,B12002F_011EA,B12002F_012MA,B12002F_012EA,B12002F_013EA,B12002F_013MA,state
0400000US06,3626455,40322,1856257,23898,900408,16547,782457,13406,44762,3509,22443,2333,106187,5767,1770198,21673,744871,13858,735780,12280,79134,4708,77470,4647,132943,6506,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,161115,8917,82602,5349,35046,3725,36653,3440,2161,880,1013,465,7729,1468,78513,5004,25310,2990,35258,3461,4836,1307,3830,1128,9279,1518,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,124749,8024,65622,5441,33712,3663,22429,2619,2328,855,581,379,6572,1622,59127,4116,25872,2832,19397,2099,2599,955,3051,884,8208,1728,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17016,3181,9264,2109,4735,1614,4056,1054,159,263,0,182,314,246,7752,1771,3027,1328,3672,1094,169,155,357,278,527,358,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,22385,3351,12502,1775,7734,1453,3781,1111,0,197,0,197,987,903,9883,1937,3951,1032,3689,1066,303,265,620,571,1320,657,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,355586,18198,185939,11070,85854,7460,76588,5776,5854,1696,1710,622,15933,2457,169647,9822,64354,5009,68762,5045,7359,1688,7124,1418,22048,3673,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,203681,9519,116503,6163,51453,4491,54604,4258,2790,1104,1911,1025,5745,1576,87178,5131,27935,3198,46479,3943,3183,1193,1955,859,7626,1849,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12698,2006,6838,1304,2736,973,3398,823,31,56,335,392,338,241,5860,1126,1624,668,2837,788,26,47,406,265,967,620,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,32263,4310,16708,2436,7217,1728,7434,1534,116,123,41,60,1900,956,15555,3135,6639,2226,6878,1386,263,237,298,395,1477,593,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,524215,16356,276921,9141,125778,7054,124734,6292,6928,1665,2960,984,16521,2170,247294,9045,96859,6127,111626,5708,9099,1564,9613,1621,20097,2918,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,106592,6879,56992,4215,26549,3031,25039,2528,523,358,203,204,4678,1116,49600,3699,20484,2526,21200,2359,1818,758,2223,678,3875,1294,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,26585,3456,15405,2146,7007,1555,6786,1077,367,311,322,336,923,528,11180,1894,4619,1342,4927,937,474,346,146,176,1014,522,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,42536,4429,23852,2544,9884,1724,10592,1450,287,282,387,198,2702,862,18684,2380,6078,1542,10010,1473,485,328,916,409,1195,498,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,25847,3747,15542,2667,6578,1412,7634,2386,380,304,31,51,919,494,10305,1794,4250,1240,4468,1110,531,374,0,181,1056,527,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,37111,5599,21140,3643,10598,2426,8020,1739,553,346,315,249,1654,678,15971,2938,6660,1732,6115,1460,367,294,822,427,2007,893,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
