GEO_ID,C16001_001E,C16001_001M,C16001_002E,C16001_002M,C16001_003E,C16001_003M,C16001_004E,C16001_004M,C16001_005E,C16001_005M,C16001_006E,C16001_006M,C16001_007E,C16001_007M,C16001_008E,C16001_008M,C16001_009E,C16001_009M,C16001_010E,C16001_010M,C16001_011E,C16001_011M,C16001_012E,C16001_012M,C16001_013E,C16001_013M,NAME,C16001_001EA,C16001_001MA,C16001_002MA,C16001_002EA,C16001_003MA,C16001_003EA,C16001_004MA,C16001_004EA,C16001_005EA,C16001_005MA,C16001_006EA,C16001_006MA,C16001_007MA,C16001_007EA,C16001_008MA,C16001_008EA,C16001_009MA,C16001_009EA,C16001_010EA,C16001_010MA,C16001_011EA,C16001_011MA,C16001_012MA,C16001_012EA,C16001_013MA,C16001_013EA,state
0400000US06,35504620,2553,19781507,58336,10301841,42422,144180,6677,145787,6252,235741,10614,1097810,27777,390015,13438,1092778,21897,539379,17694,791829,22890,651032,22264,332721,16744,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4850587,1857,4025066,17674,578348,12293,17061,1959,28278,2584,27557,4623,40399,5147,12055,2363,21971,2979,16907,2802,6522,1534,33065,4724,43358,6441,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3397277,984,2641980,13777,381942,6815,44330,4543,15070,2732,57940,5178,143175,8248,7141,1578,28209,3261,8227,2305,7152,1749,27247,2962,34864,6478,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,860907,333,749512,5604,60985,3704,6445,1652,4099,1118,2108,757,15844,2618,1823,703,5207,1846,1257,810,2158,1001,5476,1410,5993,1735,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,593321,267,494887,5162,47192,3337,6989,1494,3330,1039,2835,1150,12405,2241,1196,626,3515,1187,943,542,2096,1239,2695,952,15238,3779,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,18247223,3003,13156749,31693,3733476,23149,489064,17562,89172,6488,97602,8640,284258,13124,20277,3588,60916,6562,63026,7090,67149,5871,72877,6007,112657,9126,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9248840,3638,8011696,21145,726160,11879,62581,9509,28166,3495,32598,6736,122105,9959,45091,5049,38771,5831,37460,5210,16280,3154,55231,6315,72701,8084,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1303300,333,976716,11275,23637,3610,3693,1071,4551,1101,2020,911,9462,2244,17260,2867,27866,3817,7974,1906,67516,6152,160766,8655,1839,779,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1481992,1847,1327339,8052,113521,6132,2835,1025,5780,1225,6785,3335,5760,1679,957,496,2638,1131,1620,1200,3159,1128,6376,1675,5222,1400,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12061228,2147,9332459,22140,1584438,14210,41602,3984,58175,4824,304134,14513,295120,13040,49875,5273,96474,7867,19853,3921,76002,6306,90370,7111,112726,10069,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
