GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001EA,C01001G_001MA,C01001G_002EA,C01001G_002MA,C01001G_003EA,C01001G_003MA,C01001G_004EA,C01001G_004MA,C01001G_005MA,C01001G_005EA,C01001G_006MA,C01001G_006EA,C01001G_007EA,C01001G_007MA,C01001G_008EA,C01001G_008MA,C01001G_009EA,C01001G_009MA,state
0400000US06,1683860,31751,843350,18100,368905,11435,436406,11321,38039,2555,840510,18848,348862,10667,443485,12936,48163,2679,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,172713,8702,87475,5267,38094,3746,46657,3199,2724,681,85238,5419,38316,3275,43434,3313,3488,817,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,93884,5950,45875,3570,23231,2709,21339,2469,1305,498,48009,4331,22214,2956,24242,2628,1553,534,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23953,3638,11717,1905,6636,1436,4668,1247,413,221,12236,2314,6636,1715,5181,1332,419,280,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15871,2753,7894,1652,2622,826,5014,1312,258,173,7977,1747,2561,808,4921,1187,495,229,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,458760,15562,228371,10464,102649,6309,111747,6810,13975,1717,230389,8910,98430,5545,114373,5566,17586,2008,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,201856,12310,96731,7024,50105,5160,43524,4030,3102,773,105125,7332,52014,4944,47734,4263,5377,1295,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,323725,12485,163701,6696,61633,3583,94469,4645,7599,1048,160024,7300,61332,3478,87406,4543,11286,1429,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39524,3855,20142,2159,10437,1609,8904,1255,801,401,19382,2863,7817,1386,10275,1952,1290,637,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,282835,11522,139335,6781,75173,4794,58730,4395,5432,844,143500,7081,72450,5295,65429,4655,5621,857,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,141815,7369,72568,4905,41269,3679,28789,2561,2510,605,69247,4251,37504,3425,28879,2329,2864,690,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,59977,4965,31110,2875,17944,2005,12573,1736,593,271,28867,2958,16489,2186,11460,1805,918,404,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
