GEO_ID,B15002H_001E,B15002H_001M,B15002H_002E,B15002H_002M,B15002H_003E,B15002H_003M,B15002H_004E,B15002H_004M,B15002H_005E,B15002H_005M,B15002H_006E,B15002H_006M,B15002H_007E,B15002H_007M,B15002H_008E,B15002H_008M,B15002H_009E,B15002H_009M,B15002H_010E,B15002H_010M,B15002H_011E,B15002H_011M,B15002H_012E,B15002H_012M,B15002H_013E,B15002H_013M,B15002H_014E,B15002H_014M,B15002H_015E,B15002H_015M,B15002H_016E,B15002H_016M,B15002H_017E,B15002H_017M,B15002H_018E,B15002H_018M,B15002H_019E,B15002H_019M,NAME,B15002H_001MA,B15002H_001EA,B15002H_002MA,B15002H_002EA,B15002H_003EA,B15002H_003MA,B15002H_004MA,B15002H_004EA,B15002H_005MA,B15002H_005EA,B15002H_006MA,B15002H_006EA,B15002H_007MA,B15002H_007EA,B15002H_008EA,B15002H_008MA,B15002H_009MA,B15002H_009EA,B15002H_010MA,B15002H_010EA,B15002H_011MA,B15002H_011EA,B15002H_012EA,B15002H_012MA,B15002H_013MA,B15002H_013EA,B15002H_014MA,B15002H_014EA,B15002H_015MA,B15002H_015EA,B15002H_016MA,B15002H_016EA,B15002H_017EA,B15002H_017MA,B15002H_018MA,B15002H_018EA,B15002H_019MA,B15002H_019EA,state
0400000US06,11183681,4882,5509400,2886,89181,4515,241604,7625,898092,12553,155780,6016,1344679,13565,463988,10594,1398740,17116,917336,14311,5674281,3004,98241,4897,223979,7988,1028156,13707,97593,4711,1461869,17036,572713,11420,1368335,14360,823395,13062,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2572176,2398,1266079,1898,11584,1485,45066,3362,211425,5854,50455,3181,290276,6522,98957,4325,350975,7894,207341,5791,1306097,1130,11271,1432,36942,2752,231637,6320,33941,2667,310170,7513,127097,4818,355491,7554,199548,5504,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1834631,1697,873769,1265,19281,1810,43266,2724,211063,5806,31138,2572,150494,4839,55727,3442,204849,5715,157951,4673,960862,901,24144,2435,39001,2686,236193,5497,19104,1802,164228,5151,90286,3494,211733,5434,176173,5338,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,428493,1313,204107,813,7298,1478,13286,1567,56635,2740,7984,1269,39388,2470,14827,1530,39408,2549,25281,2129,224386,596,4878,949,13471,1773,64897,3032,6198,1341,44755,2648,19424,1861,43628,2539,27135,2239,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,168481,669,84863,559,298,245,289,275,1497,594,43,70,4530,1113,1754,733,30964,2439,45488,2168,83618,298,259,207,220,172,3302,897,452,542,4275,952,879,380,30725,2111,43506,2118,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8334192,4171,4027051,2298,96610,5602,284013,9632,920112,14224,222376,7599,870780,14380,343700,11474,804884,12671,484576,10811,4307141,2467,87858,5559,259308,9238,1174832,17672,163247,6071,969495,14282,439082,9580,785619,13304,427700,8241,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3817561,3168,1845758,1977,68907,4734,154927,6938,400217,9284,118379,6232,377161,8178,116257,4871,389341,9565,220569,6764,1971803,2298,66766,4587,145729,6016,472742,9326,96720,5075,426157,9560,148492,6524,384912,7994,230285,6835,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,245417,431,133278,401,1637,634,2697,593,22867,2333,4897,1182,33724,2413,12872,1751,30367,2566,24217,1889,112139,252,1248,559,2262,680,20105,2365,2327,726,27038,2152,11184,1574,29144,2081,18831,1826,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,882251,1238,433668,974,7537,1446,24696,2486,94188,4760,26416,2727,115628,4726,39450,3213,81593,4550,44160,3673,448583,558,7031,1397,23898,2339,108124,4629,18134,2090,133327,5142,44307,3451,81331,4654,32431,2932,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,5788704,3114,2784242,2637,62439,2520,131929,5354,650679,9487,113784,4559,614934,11914,210144,6352,622443,9616,377890,7432,3004462,1502,72179,3536,132476,4763,748965,12731,88130,3916,651726,10052,264825,6794,651100,10075,395061,8236,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
