GEO_ID,C24010I_001E,C24010I_001M,C24010I_002E,C24010I_002M,C24010I_003E,C24010I_003M,C24010I_004E,C24010I_004M,C24010I_005E,C24010I_005M,C24010I_006E,C24010I_006M,C24010I_007E,C24010I_007M,C24010I_008E,C24010I_008M,C24010I_009E,C24010I_009M,C24010I_010E,C24010I_010M,C24010I_011E,C24010I_011M,C24010I_012E,C24010I_012M,C24010I_013E,C24010I_013M,NAME,C24010I_001MA,C24010I_001EA,C24010I_002EA,C24010I_002MA,C24010I_003EA,C24010I_003MA,C24010I_004EA,C24010I_004MA,C24010I_005MA,C24010I_005EA,C24010I_006MA,C24010I_006EA,C24010I_007EA,C24010I_007MA,C24010I_008EA,C24010I_008MA,C24010I_009EA,C24010I_009MA,C24010I_010MA,C24010I_010EA,C24010I_011MA,C24010I_011EA,C24010I_012MA,C24010I_012EA,C24010I_013EA,C24010I_013MA,state
0400000US06,5926794,26580,3397036,17505,494713,9312,751287,13675,526167,12329,815917,14265,808952,16093,2529758,19078,576818,9872,785732,13695,833594,14289,79103,5380,254511,9579,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,452217,7067,255387,4352,40331,3598,57304,3552,40346,3126,69698,4133,47708,3985,196830,5144,48470,3372,69034,4836,60873,4369,3612,1036,14841,2008,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,214407,4966,113602,3579,20558,2309,34436,3446,17059,2364,21172,2876,20377,2008,100805,3666,24177,2156,32776,2931,30403,3013,926,431,12523,2150,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,34239,1690,19751,1072,2774,763,5155,1248,2431,689,4973,1227,4418,893,14488,1611,2578,813,5636,1267,4032,1268,551,441,1691,586,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,33782,1830,19184,1142,6536,1292,5619,1179,1303,516,4949,1517,777,485,14598,1226,5634,1054,7327,1258,1481,605,0,197,156,184,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2026677,16428,1108048,9550,240507,8704,226426,9258,216802,8460,252284,9741,172029,8590,918629,13042,273316,8292,241516,9676,337294,9944,14386,2243,52117,4518,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,365071,8205,236573,5313,32249,2889,54573,4787,23262,3541,78812,6016,47677,4869,128498,5584,29513,3155,41816,4134,34213,2858,3059,1042,19897,2710,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,50935,2032,26334,1738,5455,1221,7321,1310,3624,911,6033,1338,3901,922,24601,1436,8463,1370,5755,1115,9395,1279,268,231,720,304,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,75547,3047,44088,1450,3770,839,5822,1415,5089,1146,16957,2291,12450,1840,31459,2915,5653,1252,10137,1743,11224,2081,1537,584,2908,847,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,899184,9176,523424,5928,67810,4708,127465,5377,79130,5010,84055,5077,164964,6921,375760,6945,80083,4324,107600,5363,116892,5023,2736,822,68449,3990,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
