GEO_ID,C21007_001E,C21007_001M,C21007_002E,C21007_002M,C21007_003E,C21007_003M,C21007_004E,C21007_004M,C21007_005E,C21007_005M,C21007_006E,C21007_006M,C21007_007E,C21007_007M,C21007_008E,C21007_008M,C21007_009E,C21007_009M,C21007_010E,C21007_010M,C21007_011E,C21007_011M,C21007_012E,C21007_012M,C21007_013E,C21007_013M,C21007_014E,C21007_014M,C21007_015E,C21007_015M,C21007_016E,C21007_016M,C21007_017E,C21007_017M,C21007_018E,C21007_018M,C21007_019E,C21007_019M,C21007_020E,C21007_020M,C21007_021E,C21007_021M,C21007_022E,C21007_022M,C21007_023E,C21007_023M,C21007_024E,C21007_024M,C21007_025E,C21007_025M,C21007_026E,C21007_026M,C21007_027E,C21007_027M,C21007_028E,C21007_028M,C21007_029E,C21007_029M,C21007_030E,C21007_030M,C21007_031E,C21007_031M,NAME,C21007_001EA,C21007_001MA,C21007_002EA,C21007_002MA,C21007_003EA,C21007_003MA,C21007_004MA,C21007_004EA,C21007_005MA,C21007_005EA,C21007_006EA,C21007_006MA,C21007_007EA,C21007_007MA,C21007_008EA,C21007_008MA,C21007_009MA,C21007_009EA,C21007_010MA,C21007_010EA,C21007_011MA,C21007_011EA,C21007_012EA,C21007_012MA,C21007_013EA,C21007_013MA,C21007_014MA,C21007_014EA,C21007_015MA,C21007_015EA,C21007_016MA,C21007_016EA,C21007_017EA,C21007_017MA,C21007_018EA,C21007_018MA,C21007_019EA,C21007_019MA,C21007_020EA,C21007_020MA,C21007_021MA,C21007_021EA,C21007_022MA,C21007_022EA,C21007_023EA,C21007_023MA,C21007_024EA,C21007_024MA,C21007_025EA,C21007_025MA,C21007_026MA,C21007_026EA,C21007_027MA,C21007_027EA,C21007_028EA,C21007_028MA,C21007_029EA,C21007_029MA,C21007_030EA,C21007_030MA,C21007_031EA,C21007_031MA,state
0400000US06,28115420,6282,23613067,7099,955610,13953,90899,4841,30639,2871,60260,4173,864711,12328,118674,5161,746037,11413,22657457,15995,3597171,37297,492918,12902,3104253,37392,19060286,40747,1242038,19055,17818248,46078,4502353,3400,875158,10520,48468,3518,23453,2602,25015,2074,826690,10037,313974,6686,512716,9011,3627195,10827,419427,9355,206196,7245,213231,7509,3207768,14613,1104239,12221,2103529,15517,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3834535,2983,3238940,3285,244600,7005,19135,2477,4867,1163,14268,2124,225465,7069,28808,2538,196657,6649,2994340,7744,404534,11159,68024,4402,336510,9592,2589806,12174,173024,7418,2416782,13547,595595,1720,156164,3810,8350,1395,3938,983,4412,1052,147814,3830,52168,3017,95646,3375,439431,4145,38248,2566,17788,1681,20460,2093,401183,4857,119222,3715,281961,4989,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2694793,1744,2185158,2464,98013,4458,7416,1338,2623,914,4793,1137,90597,4331,11701,1352,78896,4475,2087145,5333,213452,9366,43440,3452,170012,8844,1873693,10559,123778,5584,1749915,10662,509635,1466,113445,3230,4210,967,1429,575,2781,779,109235,3341,37100,2406,72135,2997,396190,3393,30776,2574,14416,1721,16360,1835,365414,4073,108639,3671,256775,4430,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,687581,859,550377,1019,41214,3357,2612,957,998,589,1614,673,38602,3076,4387,993,34215,2971,509163,3267,59731,4936,10445,1543,49286,4306,449432,5402,40253,2860,409179,5950,137204,760,33823,1641,1240,701,515,355,725,437,32583,1505,11148,1268,21435,1622,103381,1737,8849,1199,3926,749,4923,970,94532,1989,28345,1905,66187,2044,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,488345,815,418537,898,18597,2139,2217,671,795,415,1422,519,16380,2109,2228,735,14152,1850,399940,2346,69577,5192,14589,1857,54988,4651,330363,5268,22463,2293,307900,5583,69808,467,11905,1184,831,581,291,272,540,521,11074,1133,3587,808,7487,951,57903,1242,7470,1227,3794,945,3676,886,50433,1584,15758,1783,34675,1862,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14933645,4731,11492331,5937,755758,16306,78316,5596,22786,2977,55530,5036,677442,15247,111982,5832,565460,13277,10736573,17653,1806673,27687,306061,10820,1500612,23284,8929900,29530,711469,15479,8218431,33991,3441314,4139,782643,9475,36567,2809,15322,1967,21245,2329,746076,9923,277237,7819,468839,9688,2658671,10526,315468,10002,134143,6753,181325,7594,2343203,13173,720538,11531,1622665,14563,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,7148836,5361,6038863,6354,436661,11981,43951,4297,13323,2580,30628,3511,392710,11133,63332,4547,329378,10692,5602202,13518,1007990,19565,180749,6981,827241,17269,4594212,22625,386391,11278,4207821,23206,1109973,3903,252159,5925,12702,1781,6094,1359,6608,1177,239457,5918,92590,3987,146867,5005,857814,6400,111418,5638,59667,3539,51751,3786,746396,7765,266195,5612,480201,7672,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,1031321,2520,825788,2625,69502,3822,4270,988,1577,655,2693,844,65232,3697,8151,1389,57081,3393,756286,4204,86847,5340,13515,2081,73332,4712,669439,5829,43924,3873,625515,6030,205533,814,45129,1941,1633,690,559,317,1074,613,43496,1996,16523,1259,26973,1673,160404,1948,12486,1553,6026,1186,6460,999,147918,2139,47615,2692,100303,2680,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1144336,1373,937539,1822,69216,4283,7052,1549,2088,726,4964,1298,62164,3972,11961,1887,50203,3619,868323,4589,134828,7075,25275,2979,109553,6247,733495,8568,63966,4051,669529,9327,206797,1353,52771,2501,3662,854,1880,670,1782,585,49109,2449,19802,1721,29307,2251,154026,2577,16392,2344,7751,1207,8641,2133,137634,2925,43085,3022,94549,3355,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9546531,2613,7913720,3776,381780,8824,37050,3108,11594,1355,25456,2769,344730,8654,46614,2889,298116,8461,7531940,8963,1045169,18177,174771,6759,870398,15336,6486771,18426,439694,10025,6047077,20125,1632811,3327,336268,4772,14380,1626,6110,921,8270,1307,321888,4875,115388,3596,206500,4385,1296543,5950,129691,4607,64922,3124,64769,3824,1166852,7523,385621,6729,781231,7711,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
