GEO_ID,C05003D_001E,C05003D_001M,C05003D_002E,C05003D_002M,C05003D_003E,C05003D_003M,C05003D_004E,C05003D_004M,C05003D_005E,C05003D_005M,C05003D_006E,C05003D_006M,C05003D_007E,C05003D_007M,C05003D_008E,C05003D_008M,C05003D_009E,C05003D_009M,C05003D_010E,C05003D_010M,C05003D_011E,C05003D_011M,C05003D_012E,C05003D_012M,C05003D_013E,C05003D_013M,C05003D_014E,C05003D_014M,C05003D_015E,C05003D_015M,NAME,C05003D_001EA,C05003D_001MA,C05003D_002MA,C05003D_002EA,C05003D_003MA,C05003D_003EA,C05003D_004EA,C05003D_004MA,C05003D_005MA,C05003D_005EA,C05003D_006EA,C05003D_006MA,C05003D_007EA,C05003D_007MA,C05003D_008MA,C05003D_008EA,C05003D_009EA,C05003D_009MA,C05003D_010MA,C05003D_010EA,C05003D_011EA,C05003D_011MA,C05003D_012EA,C05003D_012MA,C05003D_013MA,C05003D_013EA,C05003D_014MA,C05003D_014EA,C05003D_015MA,C05003D_015EA,state
0400000US06,5120354,18065,2421205,10531,518625,5678,444063,6738,74562,4297,1902580,7646,502360,10431,1400220,12438,2699149,10937,495525,6193,423785,7292,71740,4296,2203624,7908,484109,8978,1719515,10854,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,147082,4322,67432,2391,16053,1354,11645,1370,4408,1200,51379,1610,15469,1628,35910,1695,79650,2737,17962,1774,12340,1663,5622,1294,61688,1706,14048,1934,47640,2316,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,147830,2290,70594,1683,18213,1073,13401,1193,4812,1210,52381,1487,7302,1180,45079,1730,77236,1522,18696,1154,13035,1246,5661,1052,58540,972,9465,1487,49075,1427,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,30632,1597,14292,1003,3401,594,2957,586,444,291,10891,692,1685,565,9206,805,16340,853,3494,571,2484,544,1010,453,12846,488,1674,626,11172,844,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,21858,1613,8926,902,831,376,321,252,510,354,8095,720,3109,712,4986,626,12932,1060,1249,507,736,498,513,362,11683,815,4677,809,7006,899,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,488052,7850,225148,5220,50991,2754,41684,3028,9307,1841,174157,3654,34167,3274,139990,4073,262904,5212,51834,2945,40292,3248,11542,1718,211070,3418,31734,2918,179336,3807,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,337015,6051,162003,3900,40547,2144,33102,2164,7445,1477,121456,2723,19248,2068,102208,2593,175012,3414,40920,2127,31259,2577,9661,1761,134092,2601,16766,2279,117326,3329,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,531663,10568,247027,5583,41835,2675,36164,2755,5671,1294,205192,4172,136198,4581,68994,3454,284636,6165,36740,2731,30599,2489,6141,1403,247896,4509,137886,4729,110010,4450,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20613,2789,9340,1801,1896,688,1463,702,433,334,7444,1390,2364,879,5080,1222,11273,1497,1906,672,1235,523,671,416,9367,1202,2256,851,7111,988,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,617924,6059,298498,3803,68149,2581,53659,3033,14490,2105,230349,2747,42564,2812,187785,3945,319426,3569,65250,2341,49930,2458,15320,1894,254176,2321,40110,2975,214066,3535,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
