GEO_ID,B10059_001E,B10059_001M,B10059_002E,B10059_002M,B10059_003E,B10059_003M,B10059_004E,B10059_004M,B10059_005E,B10059_005M,B10059_006E,B10059_006M,B10059_007E,B10059_007M,B10059_008E,B10059_008M,B10059_009E,B10059_009M,B10059_010E,B10059_010M,B10059_011E,B10059_011M,NAME,B10059_001MA,B10059_001EA,B10059_002MA,B10059_002EA,B10059_003MA,B10059_003EA,B10059_004EA,B10059_004MA,B10059_005MA,B10059_005EA,B10059_006MA,B10059_006EA,B10059_007EA,B10059_007MA,B10059_008EA,B10059_008MA,B10059_009MA,B10059_009EA,B10059_010EA,B10059_010MA,B10059_011MA,B10059_011EA,state
0400000US06,1111273,19899,166557,7604,55221,4143,38342,3731,16879,2175,111336,6510,944716,18001,239117,8981,143077,7047,96040,4936,705599,15144,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,88294,6236,12250,2352,6571,1763,4671,1480,1900,760,5679,1442,76044,5531,29156,3564,20560,2963,8596,1449,46888,3700,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,65405,4403,7849,1790,4294,1411,3464,1288,830,658,3555,1121,57556,4369,16338,2403,10369,1733,5969,1499,41218,3774,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,26483,3422,2586,709,1416,567,755,440,661,362,1170,477,23897,3391,8755,1807,5210,1344,3545,1131,15142,2931,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,10341,1736,1904,810,1031,655,922,628,109,122,873,434,8437,1658,1931,813,911,430,1020,584,6506,1414,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463879,13582,87811,6470,37098,3471,22793,2839,14305,2154,50713,5483,376068,13757,124866,8069,76641,6660,48225,4300,251202,10227,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,265530,12042,53902,4413,31399,3033,20371,2420,11028,1844,22503,2753,211628,10052,93096,6597,61705,5643,31391,2934,118532,6856,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,54874,3546,5565,1663,3094,1222,2508,1161,586,411,2471,896,49309,3058,12081,1723,6365,1446,5716,966,37228,2919,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,23116,2838,4225,1431,2260,940,1591,795,669,440,1965,824,18891,2301,7618,1616,4406,1154,3212,1005,11273,1615,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,275433,9970,50111,4485,23120,2438,15699,2078,7421,1467,26991,3554,225322,8768,74738,5313,49771,4849,24967,2027,150584,7230,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,126034,7074,21172,2349,12364,1903,9537,1682,2827,825,8808,1448,104862,6835,44216,4029,28789,3324,15427,2003,60646,5384,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,39482,3176,5351,1217,2435,932,2158,908,277,184,2916,810,34131,3013,14307,1895,8415,1251,5892,1158,19824,2316,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,47220,3512,6548,1544,2928,787,2039,678,889,372,3620,1119,40672,3168,19831,2284,11967,1851,7864,1450,20841,2436,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,102902,5492,23477,2876,15545,2056,11754,1857,3791,984,7932,1630,79425,5011,41369,3475,26169,2832,15200,1977,38056,3421,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
