GEO_ID,B20017A_001E,B20017A_001M,B20017A_002E,B20017A_002M,B20017A_003E,B20017A_003M,B20017A_004E,B20017A_004M,B20017A_005E,B20017A_005M,B20017A_006E,B20017A_006M,B20017A_007E,B20017A_007M,NAME,B20017A_001EA,B20017A_001MA,B20017A_002EA,B20017A_002MA,B20017A_003EA,B20017A_003MA,B20017A_004MA,B20017A_004EA,B20017A_005MA,B20017A_005EA,B20017A_006EA,B20017A_006MA,B20017A_007EA,B20017A_007MA,state
0400000US06,31760,132,37203,266,52829,779,12432,135,26581,182,44359,566,11329,111,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,32236,240,38595,835,51488,393,11570,345,27187,393,41064,385,10349,266,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,40406,385,50080,995,63197,2208,12396,477,31852,478,50896,530,12231,322,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,34872,1311,40935,820,52439,1257,10759,1012,30105,1325,42421,1429,10385,629,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,60404,1688,70221,4757,85407,3665,20564,5184,54595,4133,67426,4970,12054,1821,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,28254,370,31824,221,42256,236,11286,167,25075,282,35724,273,10552,165,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,31376,271,37049,436,49181,1118,10417,309,25927,376,38114,800,9712,348,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,36355,974,40615,951,50370,2139,16068,1591,30552,1918,45775,1640,15384,1461,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,24542,686,30908,461,42287,1008,10087,631,19298,778,31491,559,8844,472,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,32732,452,41005,217,53625,646,11239,186,26532,271,40923,271,10417,185,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,28923,429,35786,318,46716,348,10177,287,22422,306,34031,668,9270,285,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30257,247,36350,366,45754,455,9549,503,23922,542,35581,349,9184,319,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,29796,511,35653,449,46080,569,9235,510,23491,539,35061,645,9113,316,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
