B17022_011M,B17022_012E,B17022_012M,B17022_013E,B17022_013M,B17022_014E,B17022_014M,B17022_015E,B17022_015M,B17022_016E,B17022_016M,B17022_017E,B17022_017M,B17022_018E,B17022_018M,B17022_019E,B17022_019M,B17022_020E,B17022_020M,B17022_021E,B17022_021M,B17022_022E,B17022_022M,B17022_023E,B17022_023M,B17022_024E,B17022_024M,B17022_025E,B17022_025M,B17022_026E,B17022_026M,B17022_027E,B17022_027M,B17022_028E,B17022_028M,B17022_029E,B17022_029M,B17022_030E,B17022_030M,B17022_031E,B17022_031M,B17022_032E,B17022_032M,B17022_033E,B17022_033M,B17022_034E,B17022_034M,B17022_035E,B17022_035M,B17022_036E,B17022_036M,B17022_037E,B17022_037M,B17022_038E,B17022_038M,B17022_039E,B17022_039M,B17022_040E,B17022_040M,B17022_041E,B17022_041M,B17022_042E,B17022_042M,B17022_043E,B17022_043M,B17022_044E,B17022_044M,B17022_045E,B17022_045M,B17022_046E,B17022_046M,B17022_047E,B17022_047M,B17022_048E,B17022_048M,B17022_049E,B17022_049M,B17022_050E,B17022_050M,B17022_051E,B17022_051M,B17022_052E,B17022_052M,B17022_053E,B17022_053M,B17022_054E,B17022_054M,B17022_055E,B17022_055M,B17022_056E,B17022_056M,B17022_057E,B17022_057M,B17022_058E,B17022_058M,B17022_059E,B17022_059M,B17022_060E,B17022_060M,B17022_061E,B17022_061M,B17022_062E,B17022_062M,B17022_063E,B17022_063M,B17022_064E,B17022_064M,B17022_065E,B17022_065M,B17022_066E,B17022_066M,B17022_067E,B17022_067M,B17022_068E,B17022_068M,B17022_069E,B17022_069M,B17022_070E,B17022_070M,B17022_071E,B17022_071M,B17022_072E,B17022_072M,B17022_073E,B17022_073M,B17022_074E,B17022_074M,B17022_075E,B17022_075M,B17022_076E,B17022_076M,B17022_077E,B17022_077M,B17022_078E,B17022_078M,B17022_079E,B17022_079M,B17022_080E,B17022_080M,B17022_081E,B17022_081M,GEO_ID,B17022_001E,B17022_001M,B17022_002E,B17022_002M,B17022_003E,B17022_003M,B17022_004E,B17022_004M,B17022_005E,B17022_005M,B17022_006E,B17022_006M,B17022_007E,B17022_007M,B17022_008E,B17022_008M,B17022_009E,B17022_009M,B17022_010E,B17022_010M,B17022_011E,B17022_011MA,B17022_012EA,B17022_012MA,B17022_013EA,B17022_013MA,B17022_014EA,B17022_014MA,B17022_015EA,B17022_015MA,B17022_016MA,B17022_016EA,B17022_017MA,B17022_017EA,B17022_018MA,B17022_018EA,B17022_019EA,B17022_019MA,B17022_020EA,B17022_020MA,B17022_021EA,B17022_021MA,B17022_022MA,B17022_022EA,B17022_023MA,B17022_023EA,B17022_024EA,B17022_024MA,B17022_025EA,B17022_025MA,B17022_026EA,B17022_026MA,B17022_027MA,B17022_027EA,B17022_028MA,B17022_028EA,B17022_029MA,B17022_029EA,B17022_030EA,B17022_030MA,B17022_031EA,B17022_031MA,B17022_032EA,B17022_032MA,B17022_033MA,B17022_033EA,B17022_034MA,B17022_034EA,B17022_035EA,B17022_035MA,B17022_036EA,B17022_036MA,B17022_037EA,B17022_037MA,B17022_038MA,B17022_038EA,B17022_039MA,B17022_039EA,B17022_040MA,B17022_040EA,B17022_041EA,B17022_041MA,B17022_042EA,B17022_042MA,B17022_043EA,B17022_043MA,B17022_044MA,B17022_044EA,B17022_045MA,B17022_045EA,B17022_046EA,B17022_046MA,B17022_047EA,B17022_047MA,B17022_048EA,B17022_048MA,B17022_049MA,B17022_049EA,B17022_050MA,B17022_050EA,B17022_051EA,B17022_051MA,B17022_052EA,B17022_052MA,B17022_053EA,B17022_053MA,B17022_054EA,B17022_054MA,B17022_055MA,B17022_055EA,B17022_056EA,B17022_056MA,B17022_057EA,B17022_057MA,B17022_058EA,B17022_058MA,B17022_059EA,B17022_059MA,B17022_060MA,B17022_060EA,B17022_061EA,B17022_061MA,B17022_062EA,B17022_062MA,B17022_063EA,B17022_063MA,B17022_064EA,B17022_064MA,B17022_065EA,B17022_065MA,B17022_066MA,B17022_066EA,B17022_067MA,B17022_067EA,B17022_068MA,B17022_068EA,B17022_069EA,B17022_069MA,B17022_070MA,B17022_070EA,B17022_071MA,B17022_071EA,B17022_072MA,B17022_072EA,B17022_073MA,B17022_073EA,B17022_074EA,B17022_074MA,B17022_075EA,B17022_075MA,B17022_076EA,B17022_076MA,B17022_077MA,B17022_077EA,B17022_078MA,B17022_078EA,B17022_079EA,B17022_079MA,B17022_080EA,B17022_080MA,B17022_081EA,B17022_081MA,NAME,B17022_001EA,B17022_001MA,B17022_002EA,B17022_002MA,B17022_003EA,B17022_003MA,B17022_004EA,B17022_004MA,B17022_005MA,B17022_005EA,B17022_006EA,B17022_006MA,B17022_007EA,B17022_007MA,B17022_008EA,B17022_008MA,B17022_009EA,B17022_009MA,B17022_010EA,B17022_010MA,B17022_011EA,state
5947,33037,2767,41015,3112,72599,3547,50903,3388,642327,12613,529410,11804,86699,4837,146303,6234,296408,9106,112917,5568,309270,8129,186661,6174,123679,5217,17856,2177,37398,3254,68425,4145,62982,3414,122609,5695,36704,3264,23332,2525,5361,1164,5860,1082,12111,1853,13372,1535,85905,4500,56745,3777,8666,1233,11329,2009,36750,3161,29160,2470,519542,11445,319087,8447,202524,7237,28575,2829,56565,4069,117384,5045,116563,4050,200455,7331,63837,4731,42295,3942,10095,1588,7397,1710,24803,2456,21542,2093,136618,6132,87471,4919,12936,1703,16343,2148,58192,4539,49147,3576,6167051,27614,4848308,26744,2147878,19648,432264,9299,377808,9799,1337806,16476,2700430,21880,1318743,17701,461193,11080,210966,8216,40477,3639,28030,3426,142459,7161,250227,7402,857550,11745,411446,9185,57910,3273,44895,3195,308641,7771,446104,9772,0400000US06,8585787,27380,1589924,17140,750043,11479,518454,8742,61477,3466,184491,5229,272486,6488,231589,7411,839881,14244,197554,6703,146651,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
2261,3665,946,2714,904,9111,1828,4865,1251,75224,4597,63377,4106,11640,1713,16298,2328,35439,2936,11847,1750,37262,3511,23226,2698,15464,2180,3100,1062,4934,1147,7430,1471,7762,1347,14036,1977,4301,1264,2817,1008,730,570,220,216,1867,780,1484,650,9735,1559,7503,1349,673,363,2159,698,4671,1124,2232,601,67659,3668,42692,3203,25231,2773,6417,1254,7986,1586,10828,1750,17461,1538,24967,2195,6702,1361,4402,1198,1849,702,625,358,1928,836,2300,791,18265,2051,13729,1825,2364,865,1889,693,9476,1528,4536,917,1004503,9970,835891,10305,340949,7069,71848,3690,59939,3606,209162,5688,494942,9402,168612,6187,60938,3689,33276,2825,7784,1669,2033,771,23459,2354,27662,2713,107674,4659,59759,3591,7740,1428,5407,1364,46612,3262,47915,3311,0400000US08,1278264,10500,168840,6137,73261,4240,50537,3729,8723,1519,19945,2417,21869,2277,22724,2148,95579,5100,20355,2381,15490,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1516,2541,835,1215,581,3909,1024,2494,769,57545,3633,47147,3414,7465,1519,12760,1915,26922,2753,10398,1535,19508,2131,9252,1553,5031,1127,1090,582,988,605,2953,891,4221,991,10256,1768,2008,839,1226,612,661,582,163,161,402,247,782,556,8248,1597,5632,1282,350,334,1439,567,3843,1046,2616,954,35981,2795,18985,1912,10855,1686,1525,730,3033,928,6297,1264,8130,1190,16996,1980,2518,784,1140,490,243,251,41,74,856,440,1378,539,14478,1831,11046,1596,1916,769,2090,799,7040,1269,3432,826,748054,8173,601517,8196,249494,5259,45863,3295,36445,2200,167186,4538,352023,6509,146537,5806,48532,3762,21913,2635,5042,1288,2144,820,14727,2129,26619,2607,98005,4462,51394,3354,6890,1314,4587,1077,39917,3209,46611,2904,0400000US09,902369,9154,98826,5226,31122,3005,19604,2401,3638,942,5159,1205,10807,1768,11518,1708,67704,3884,10159,1762,7665,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
693,1072,565,455,270,1080,404,547,254,14280,1981,11879,1852,2690,840,2952,972,6237,1415,2401,701,7965,1360,3763,994,1993,671,456,287,583,414,954,426,1770,625,4202,1027,372,259,277,230,22,38,133,168,122,153,95,127,3830,949,3041,820,534,430,543,327,1964,701,789,433,12720,1500,7716,1277,4104,1005,786,487,1587,607,1731,669,3612,851,5004,1095,1630,738,1235,685,353,397,55,66,827,520,395,295,3374,898,3050,901,155,137,399,286,2496,844,324,172,178281,4155,142788,4286,54239,2629,10482,1467,9633,1561,34124,2197,88549,3427,35493,3111,11105,1775,6530,1410,1514,605,791,423,4225,1155,4575,933,24388,2554,12554,1883,1674,723,927,435,9953,1628,11834,1790,0400000US10,225593,4537,26627,2444,9193,1523,6006,1336,593,387,1824,781,3589,1002,3187,771,17434,2071,3154,718,2607,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
520,182,163,128,157,881,446,861,429,15530,1553,11817,1392,1820,731,3223,862,6774,1044,3713,871,3388,877,1211,558,712,433,144,193,373,359,195,194,499,333,2177,747,106,92,82,99,36,60,0,197,46,77,24,39,2071,753,1482,575,48,81,334,295,1100,555,589,522,3490,873,1056,447,524,299,256,269,0,197,268,238,532,321,2434,706,735,344,521,308,186,214,0,197,335,226,214,179,1699,613,957,436,214,210,346,285,397,258,742,422,84557,3608,56406,2920,21209,1797,7328,996,3823,767,10058,1428,35197,2159,28151,2015,6485,1048,2472,813,676,380,548,433,1248,563,4013,771,21666,1773,10493,1394,2063,701,1325,548,7105,1098,11173,1341,0400000US11,112493,3951,21058,1745,3476,887,2138,848,493,325,866,624,779,438,1338,461,17582,1600,2052,678,1191,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
4268,16651,2320,14127,2289,32671,3231,24023,2240,379532,10261,308318,9519,57783,4212,78616,4912,171919,7290,71214,4326,182030,6245,108902,4800,53621,4203,7984,1725,14353,1683,31284,3405,55281,3208,73128,4623,16312,2327,9747,1849,2271,910,1698,736,5778,1341,6565,1351,56816,4090,37826,3577,6316,1576,7765,1495,23745,2768,18990,2187,311378,9920,195352,8157,91932,5773,16873,2465,23174,2606,51885,4770,103420,4874,116026,5991,28490,3386,13993,2114,3059,852,2677,941,8257,1599,14497,2125,87536,5262,58108,4392,11835,1980,10315,2056,35958,3223,29428,2521,3278631,22966,2656187,21638,864408,15009,165276,7718,125893,6612,573239,11849,1791779,17420,622444,11764,191627,7696,88248,4645,18140,2345,8185,1970,61923,4114,103379,5442,430817,8282,202124,6915,31399,3056,16441,2461,154284,6094,228693,6002,0400000US12,4598222,24279,826183,14697,359179,8834,198043,7330,28856,3141,60855,4371,108332,5959,161136,5538,467004,11654,87472,4853,63449,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
2826,7604,1520,8650,1810,18257,2047,14363,2054,257139,8489,212573,7571,38683,3685,58477,4530,115413,5335,44566,3435,93286,4752,53200,3916,31215,2971,5945,1477,7672,1435,17598,2213,21985,2625,40086,3050,10080,1567,5883,1423,565,387,1667,931,3651,1069,4197,1039,30006,2764,21642,2589,3652,1063,3451,1057,14539,2020,8364,1417,156447,7148,97617,5700,54864,4227,10684,1936,16165,2775,28015,2802,42753,3018,58830,4017,14355,1837,8490,1424,2461,759,858,472,5171,1294,5865,1181,44475,3475,31003,3179,4683,1419,3999,1209,22321,2581,13472,1605,1663824,15140,1355913,16207,567533,10989,100842,4611,98863,5854,367828,9455,788380,11449,307911,9392,93109,5067,43780,3501,8916,1644,4589,1181,30275,3109,49329,3558,214802,7671,109475,5708,16674,2407,10609,1991,82192,5531,105327,5082,0400000US13,2406226,16700,492669,12425,186656,8305,119556,6453,19109,2707,42021,3519,58426,4332,67100,4841,306013,8829,48874,3541,34511,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
885,1365,677,636,362,687,308,833,305,16867,1912,14214,1823,3251,930,4351,1052,6612,1227,2653,669,6476,1168,4306,907,2577,676,897,468,486,266,1194,441,1729,492,2170,713,355,210,150,126,87,110,31,36,32,53,205,164,1815,689,1094,517,352,395,215,178,527,304,721,393,14888,1351,9403,1305,5984,1035,553,313,2108,641,3323,832,3419,672,5485,1182,889,385,354,279,77,129,256,242,21,26,535,231,4596,1105,2878,887,287,203,550,367,2041,777,1718,635,249331,5744,197236,5805,83030,3794,18689,2258,15618,1991,48723,2893,114206,4041,52095,3003,18804,1893,7993,1365,1519,602,1072,518,5402,1224,10811,1339,33291,2393,15063,1896,3018,957,2519,658,9526,1474,18228,1653,0400000US15,309165,5759,38470,2728,18082,1852,11011,1690,1589,569,4216,1063,5206,1071,7071,1320,20388,2099,3521,908,2688,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
1189,1402,671,484,329,2984,1073,1491,631,26736,2884,23503,2697,5566,1361,5402,1322,12535,1775,3233,775,17343,2392,12442,1969,7180,1497,651,346,2956,1087,3573,972,5262,1017,4901,1194,2208,1020,1555,888,794,950,172,176,589,445,653,517,2693,788,1483,523,249,212,143,114,1091,435,1210,557,30270,2726,22923,2229,13791,1774,3449,1208,4382,893,5960,1354,9132,1286,7347,1293,1693,607,1312,593,241,298,302,258,769,450,381,270,5654,1136,3992,989,627,457,190,173,3175,842,1662,594,288330,6048,249992,5512,94892,4511,16067,1751,20344,2617,58481,3880,155100,4204,38338,3486,14072,2142,8067,1740,699,463,1044,693,6324,1477,6005,1473,24266,2607,11321,1698,1162,519,1101,475,9058,1586,12945,2032,0400000US16,405908,6386,69965,3970,36868,2959,24625,2660,5266,935,7895,1426,11464,1831,12243,1734,33097,3011,6361,1294,4870,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
3137,9603,1687,10945,1982,17627,1826,14460,2119,243479,7252,203139,6651,40074,3171,49166,3392,113899,5272,40340,2294,91964,4201,51734,2923,30587,2391,4519,1037,10197,1409,15871,1828,21147,1858,40230,2705,9172,1448,6286,1281,1923,714,1340,536,3023,869,2886,835,31058,2511,22010,2121,2683,748,4132,769,15195,1991,9048,1275,171040,5418,104712,4951,59209,3908,8380,1472,15680,2182,35149,2728,45503,2710,66328,3921,17818,2253,11921,1887,2577,712,2456,875,6888,1451,5897,1329,48510,2948,32633,2446,3997,989,6176,1528,22460,1942,15877,1692,2386670,16736,1957751,16713,806835,11199,154436,5796,135130,5822,517269,8457,1150916,11356,428919,10156,140504,6119,61490,3893,14547,1644,5897,1139,41046,3379,79014,3991,288415,8783,138520,5783,18895,2166,12348,1904,107277,5095,149895,5839,0400000US17,3121020,16046,471346,9399,175232,6202,116788,4920,16251,2339,39869,3127,60668,3930,58444,3241,296114,7892,52635,3819,38175,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
